display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
BURNS LAKE 850M,2018040103,True,-7.7,-13.7,True,62,True,20,True,8,True,0,44.80248,0.1193573,0.0376952
BURNS LAKE 850M,2018040104,True,-8,-14.2,True,61,True,317,True,6.8,True,0,45.9485,0.1337744,4.224838E-02
BURNS LAKE 850M,2018040105,True,-8.2,-13.8,True,64,True,277,True,9.8,True,0,47.09692,0.1836983,5.801524E-02
BURNS LAKE 850M,2018040106,True,-7.9,-14.3,True,60,True,314,True,6.4,True,0,48.20423,0.1801351,5.688992E-02
BURNS LAKE 850M,2018040107,True,-7.8,-14.8,True,57,True,312,True,9.3,True,0,49.43287,0.244407,7.718812E-02
BURNS LAKE 850M,2018040108,True,-6.1,-15.4,True,48,True,317,True,9.2,True,0,50.8682,0.2892454,0.0913489
BURNS LAKE 850M,2018040109,True,-5,-16.6,True,40,True,342,True,9.3,True,0,52.46456,0.3472432,0.1096657
BURNS LAKE 850M,2018040110,True,-3.7,-17,True,35,True,356,True,12.1,True,0,54.26396,0.4794378,0.1514151
BURNS LAKE 850M,2018040111,True,-2,-17.1,True,31,True,23,True,8.6,True,0,56.07411,0.4730506,0.1493979
BURNS LAKE 850M,2018040112,True,0.8,-16.2,True,27,True,39,True,11.1,True,0.2,55.51426,0.5112448,0.1614603
BURNS LAKE 850M,2018040113,True,2.2,-15.9,True,25,True,44,True,10.7,True,0.6,50.23214,0.289339,7.517003E-02
BURNS LAKE 850M,2018040114,True,2.2,-15.9,True,25,True,34,True,13.3,True,0.2,50.51403,0.3411367,8.862702E-02
BURNS LAKE 850M,2018040115,True,3.1,-15.2,True,25,True,36,True,10.4,True,0,53.10209,0.392296,0.1019182
BURNS LAKE 850M,2018040116,True,3.3,-16,True,23,True,33,True,11.1,True,0,55.66816,0.518177,0.1346219
BURNS LAKE 850M,2018040117,True,3.1,-16.2,True,23,True,44,True,8.9,True,0,57.99939,0.5592971,0.1453049
BURNS LAKE 850M,2018040118,True,0.9,-16.5,True,26,True,33,True,7.8,True,0,59.92926,0.6037486,0.1568533
BURNS LAKE 850M,2018040119,True,-2.5,-15.3,True,37,True,57,True,5.7,True,0,61.27583,0.5885434,0.1529031
BURNS LAKE 850M,2018040120,True,-6.1,-15.7,True,47,True,34,True,6.6,True,0,62.27618,0.6498792,0.168838
BURNS LAKE 850M,2018040121,True,-8.5,-15.5,True,57,True,40,True,7.8,True,0,63.04573,0.7172442,0.1863394
BURNS LAKE 850M,2018040122,True,-10.1,-16.4,True,60,True,26,True,8,True,0,63.70995,0.7471882,0.1941188
BURNS LAKE 850M,2018040123,True,-11.8,-16.8,True,66,True,25,True,8.9,True,0,64.25303,0.8007084,0.2080234
BURNS LAKE 850M,2018040124,True,-12.2,-17.2,True,66,True,31,True,10.5,True,0,64.79231,0.8877039,0.2306247
