display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
HOLY CROSS 2,2018040101,True,-9.7,-11.3,True,88,True,163,True,3.6,True,0,80.77904,1.482679,2.418132
HOLY CROSS 2,2018040102,True,-9.3,-10.8,True,89,True,225,True,2.1,True,0,80.59794,1.347521,2.099718
HOLY CROSS 2,2018040103,True,-9.1,-10.9,True,87,True,266,True,1.9,True,0,80.46494,1.314806,2.020025
HOLY CROSS 2,2018040104,True,-8.2,-14.4,True,61,True,114,True,6.4,True,0,80.536,1.662248,2.821166
HOLY CROSS 2,2018040105,True,-8.6,-14.4,True,63,True,112,True,5.4,True,0,80.58839,1.589641,2.660496
HOLY CROSS 2,2018040106,True,-9.6,-15.9,True,60,True,93,True,5.4,True,0,80.65141,1.600679,2.685108
HOLY CROSS 2,2018040107,True,-8.5,-16.6,True,52,True,101,True,6.8,True,0,80.77852,1.742012,2.994568
HOLY CROSS 2,2018040108,True,-5.7,-16.1,True,44,True,3,True,5.8,True,0,80.99947,1.697981,2.899227
HOLY CROSS 2,2018040109,True,-4.4,-16.1,True,40,True,15,True,8.1,True,0,81.28407,1.969708,3.474376
HOLY CROSS 2,2018040110,True,-1.4,-16.9,True,30,True,1,True,9.1,True,0,81.75885,2.190321,3.921316
HOLY CROSS 2,2018040111,True,-0.6,-16.2,True,30,True,46,True,10.9,True,0,82.23653,2.541146,4.602467
HOLY CROSS 2,2018040112,True,0.6,-15.2,True,30,True,353,True,9.9,True,0,82.70481,2.561317,4.640658
HOLY CROSS 2,2018040113,True,0.7,-14.2,True,32,True,3,True,11.5,True,0,83.11847,2.926563,5.376341
HOLY CROSS 2,2018040114,True,1.3,-14.2,True,31,True,345,True,11.6,True,0,83.53411,3.104411,5.697538
HOLY CROSS 2,2018040115,True,0.5,-14.9,True,31,True,2,True,6.9,True,0,83.87176,2.561292,4.695692
HOLY CROSS 2,2018040116,True,0.1,-15.2,True,31,True,355,True,10.9,True,0,84.19975,3.273492,5.997296
HOLY CROSS 2,2018040117,True,-0.4,-16.1,True,30,True,337,True,9,True,0,84.50114,3.098071,5.686193
HOLY CROSS 2,2018040118,True,-1.9,-15.8,True,34,True,343,True,8,True,0,84.69274,3.023567,5.552306
HOLY CROSS 2,2018040119,True,-5.2,-14,True,50,True,314,True,5.8,True,0,84.74035,2.723924,5.002428
HOLY CROSS 2,2018040120,True,-9.3,-13.4,True,72,True,295,True,6.8,True,0,84.5636,2.796577,5.137506
HOLY CROSS 2,2018040121,True,-12.1,-15.1,True,78,True,292,True,4.4,True,0,84.3457,2.405999,4.396788
HOLY CROSS 2,2018040122,True,-12.6,-15.6,True,78,True,278,True,5,True,0,84.1349,2.410558,4.405653
HOLY CROSS 2,2018040123,True,-14.4,-16.1,True,87,True,273,True,4.9,True,0,83.81552,2.298543,4.186249
HOLY CROSS 2,2018040124,True,-15.6,-17.3,True,87,True,292,True,4.7,True,0,83.52027,2.188729,3.967711
HOLY CROSS 2,2018040201,True,-16.5,-18.6,True,84,True,290,True,6.3,True,0,83.27489,2.297891,4.184961
HOLY CROSS 2,2018040202,True,-17.4,-19.3,True,85,True,274,True,5.1,True,0,83.03879,2.098247,3.784904
HOLY CROSS 2,2018040203,True,-17.9,-19.8,True,85,True,270,True,5.8,True,0,82.80968,2.111034,3.810897
HOLY CROSS 2,2018040204,True,-13.1,-18.6,True,63,True,282,True,8.2,True,0,82.79723,2.378656,4.343513
HOLY CROSS 2,2018040205,True,-18.1,-20.3,True,83,True,277,True,5.6,True,0,82.60563,2.036788,3.659231
HOLY CROSS 2,2018040206,True,-18.8,-20.7,True,85,True,285,True,4.1,True,0,82.40937,1.842836,3.253862
HOLY CROSS 2,2018040207,True,-14.3,-17.3,True,78,True,277,True,5.5,True,0,82.28701,1.947839,3.475049
HOLY CROSS 2,2018040208,True,-2.9,-19,True,28,True,29,True,5.2,True,0,82.66288,2.010551,3.605192
HOLY CROSS 2,2018040209,True,-0.8,-17.6,True,27,True,74,True,5,True,0,83.07541,2.097529,3.783443
HOLY CROSS 2,2018040210,True,-0.9,-18,True,26,True,105,True,11.1,True,0,83.52454,3.023382,5.551973
HOLY CROSS 2,2018040211,True,0.4,-18.5,True,23,True,59,True,6.4,True,0,83.99354,2.538349,4.651914
HOLY CROSS 2,2018040212,True,1.3,-19.2,True,20,True,100,True,9.4,True,0,84.54342,3.179332,5.831014
HOLY CROSS 2,2018040213,True,0.9,-17.5,True,24,True,82,True,8.9,True,0,84.95444,3.279184,6.10869
HOLY CROSS 2,2018040214,True,1.8,-18.8,True,20,True,80,True,9.4,True,0,85.44545,3.598846,6.667845
HOLY CROSS 2,2018040215,True,0.5,-17.4,True,25,True,95,True,6.7,True,0,85.75007,3.277267,6.105284
HOLY CROSS 2,2018040216,True,-0.1,-17.9,True,25,True,139,True,5.7,True,0,86.01645,3.234725,6.029506
HOLY CROSS 2,2018040217,True,-0.7,-17.1,True,28,True,145,True,7.3,True,0,86.21207,3.604148,6.676973
HOLY CROSS 2,2018040218,True,-1.8,-16.9,True,31,True,219,True,3.4,True,0,86.32606,3.009091,5.621902
HOLY CROSS 2,2018040219,True,-4.3,-13,True,51,True,199,True,2.9,True,0,86.3011,2.92391,5.465414
HOLY CROSS 2,2018040220,True,-7.3,-11.6,True,71,True,198,True,2.4,True,0,86.08574,2.765979,5.171234
HOLY CROSS 2,2018040221,True,-10.3,-14.4,True,72,True,225,True,7.7,True,0,85.832,3.486369,6.473079
HOLY CROSS 2,2018040222,True,-10.8,-14.5,True,74,True,223,True,7.7,True,0,85.56978,3.361019,6.253515
HOLY CROSS 2,2018040223,True,-10.8,-13.9,True,78,True,219,True,6.7,True,0,85.27824,3.069075,5.731223
HOLY CROSS 2,2018040224,True,-11.6,-13.9,True,83,True,145,True,5,True,0,84.94914,2.692166,5.031856
HOLY CROSS 2,2018040301,True,-8.7,-15.1,True,60,True,140,True,7.9,True,0,84.8786,3.085772,5.761528
HOLY CROSS 2,2018040302,True,-8.4,-14.8,True,60,True,133,True,7.8,True,0,84.81312,3.04286,5.683533
HOLY CROSS 2,2018040303,True,-8.9,-15,True,61,True,129,True,7.4,True,0,84.74105,2.952917,5.518869
HOLY CROSS 2,2018040304,True,-9.4,-14.2,True,68,True,119,True,7.2,True,0,84.605,2.869619,5.364889
