display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
NADINA,2018040101,TRUE,-12.7,-14.6,TRUE,86,TRUE,280,TRUE,4.4,TRUE,0,44.0319,0.0880864,1.76E-02
NADINA,2018040102,TRUE,-12.1,-14.3,TRUE,84,TRUE,279,TRUE,4.4,TRUE,0,44.52001,9.52E-02,1.90E-02
NADINA,2018040103,TRUE,-10.7,-12.7,TRUE,85,TRUE,264,TRUE,4.4,TRUE,0,45.00414,0.102727,0.0205454
NADINA,2018040104,TRUE,-9.9,-11.7,TRUE,87,TRUE,265,TRUE,1.8,TRUE,0,45.36863,9.53E-02,1.91E-02
NADINA,2018040105,TRUE,-9.6,-11.2,TRUE,88,TRUE,336,TRUE,2.5,TRUE,0,45.7337,0.1043187,2.09E-02
NADINA,2018040106,TRUE,-9.5,-11.1,TRUE,88,TRUE,319,TRUE,2.5,TRUE,0,46.09725,0.1101093,2.20E-02
NADINA,2018040107,TRUE,-8.9,-10.7,TRUE,87,TRUE,330,TRUE,1.9,TRUE,0,46.47036,0.1128159,2.26E-02
NADINA,2018040108,TRUE,-5.7,-9.7,TRUE,73,TRUE,333,TRUE,2,TRUE,0,47.2233,0.1262141,2.52E-02
NADINA,2018040109,TRUE,-3.7,-11,TRUE,57,TRUE,39,TRUE,4.3,TRUE,0,48.48754,0.1682447,3.36E-02
NADINA,2018040110,TRUE,-2.5,-11,TRUE,52,TRUE,63,TRUE,7.2,TRUE,0.2,47.72621,0.1758276,3.52E-02
NADINA,2018040111,TRUE,-1.1,-11.9,TRUE,44,TRUE,71,TRUE,8,TRUE,0,49.55711,0.2324939,4.65E-02
NADINA,2018040112,TRUE,0.9,-11,TRUE,41,TRUE,34,TRUE,8.9,TRUE,0.8,42.82187,9.04E-02,1.81E-02
NADINA,2018040113,TRUE,0.3,-10.6,TRUE,44,TRUE,41,TRUE,9.2,TRUE,1.4,32.63885,1.10E-02,4.67E-03
NADINA,2018040114,TRUE,1,-13.2,TRUE,34,TRUE,80,TRUE,5.5,TRUE,0.6,30.86444,5.75E-03,2.45E-03
NADINA,2018040115,TRUE,1,-10.3,TRUE,43,TRUE,336,TRUE,6.5,TRUE,1,26.77205,1.87E-03,7.98E-04
NADINA,2018040116,TRUE,-0.4,-12.5,TRUE,40,TRUE,33,TRUE,8,TRUE,0.8,24.74292,1.06E-03,4.52E-04
NADINA,2018040117,TRUE,-1.6,-11.5,TRUE,47,TRUE,322,TRUE,5.1,TRUE,0.4,24.6852,8.98E-04,3.83E-04
NADINA,2018040118,TRUE,-2.3,-10.1,TRUE,55,TRUE,354,TRUE,5.6,TRUE,0.2,25.4693,1.19E-03,5.07E-04
NADINA,2018040119,TRUE,-6.3,-10.8,TRUE,70,TRUE,326,TRUE,4.2,TRUE,0,26.64144,1.60E-03,6.83E-04
NADINA,2018040120,TRUE,-8.6,-12.2,TRUE,75,TRUE,265,TRUE,6,TRUE,0,27.66673,2.39E-03,1.02E-03
NADINA,2018040121,TRUE,-9.8,-12.9,TRUE,78,TRUE,206,TRUE,5.1,TRUE,0,28.52726,2.94E-03,1.26E-03
NADINA,2018040122,TRUE,-12.1,-15,TRUE,79,TRUE,246,TRUE,5.6,TRUE,0,29.30453,3.77E-03,1.61E-03
NADINA,2018040123,TRUE,-13.4,-15.8,TRUE,82,TRUE,191,TRUE,5.3,TRUE,0,29.95638,4.45E-03,1.90E-03
NADINA,2018040124,TRUE,-13.4,-15.3,TRUE,86,TRUE,191,TRUE,6.3,TRUE,0,30.51929,5.45E-03,2.33E-03
NADINA,2018040201,TRUE,-16.1,-18.2,TRUE,84,TRUE,277,TRUE,5.1,TRUE,0,31.05027,5.92E-03,2.52E-03
NADINA,2018040202,TRUE,-15.5,-18.5,TRUE,78,TRUE,198,TRUE,5,TRUE,0,31.72394,7.02E-03,0.0029952
NADINA,2018040203,TRUE,-17.3,-19.8,TRUE,81,TRUE,215,TRUE,5.7,TRUE,0,32.30754,8.45E-03,3.60E-03
NADINA,2018040204,TRUE,-17.4,-20.2,TRUE,79,TRUE,217,TRUE,6,TRUE,0,32.93452,1.00E-02,4.28E-03
