dNBR_median,dNBR_cor,CBI_TOT,,,,,
0.096279353,96.2793529,1.75,,,,,
0.578588724,578.5887241,2.83,,,,,
0.667988479,667.9884791,1.79,,,,,
-0.045689583,-45.68958282,0,,,,,
0.885846615,885.8466148,1.89,,,,,
0.650975466,650.9754658,1.92,,,,,
-0.029869318,-29.86931801,0,,,,,
-0.079585671,-79.58567142,0,,,,,
-0.054983914,-54.9839139,0,,,,,
-0.061258733,-61.25873327,0,,,,,
0.894009769,894.009769,2.39,,,,,
0.908455074,908.4550738,2.5,,,,,
-0.011859208,-11.85920835,0,,,,,
0.043489397,43.48939657,0,,,,,
0.19018802,190.1880205,0,,,,,
0.472889185,472.889185,2.15,,,,,
-0.035433412,-35.4334116,0,,,,,
0.624744922,624.7449219,2.83,,,,,
0.391647041,391.6470408,1.97,,,,,
0.63576299,635.7629895,2.08,,,,,
0.311821401,311.8214011,1.06,,,,,
0.473274902,473.2749015,0.87,,,,,
0.603706479,603.7064791,1.91,,,,,
0.887563705,887.5637054,2.69,,,,,
0.67313534,673.1353402,2.03,,,,,
0.722782969,722.7829695,1.75,,,,,
0.062108457,62.10845709,0,,,,,
0.579078078,579.0780783,1.25,,,,,
0.660960436,660.9604359,1.91,,,,,
0.803851664,803.8516641,1.97,,,,,
0.626196504,626.1965036,1.86,,,,,
0.880551398,880.5513978,2.29,,,,,
0.351030052,351.0300517,1.61,,,,,
0.614273906,614.2739058,1.62,,,,,
0.295888305,295.8883047,2.14,,,,,
-0.021536946,-21.5369463,0,,,,,
0.054749608,54.74960804,0,,,,,
0.423196316,423.1963158,1.61,,,,,
-0.012058377,-12.05837727,0.08,,,,,
0.661489487,661.4894867,2.75,,,,,
0.495288968,495.2889681,2.36,,,,,
0.423980772,423.9807725,2.42,,,,,
0.74450174,744.5017397,2.61,,,,,
0.693329453,693.3294535,2.72,,,,,
0.754088163,754.0881634,2.31,,,,,
0.918465734,918.4657335,2.28,,,,,
0.812484086,812.4840856,1.83,,,,,
0.924765527,924.7655272,2.81,,,,,
0.792181849,792.1818495,2.28,,,,,
0.822536439,822.5364387,2.19,,,,,
1.003629088,1003.629088,2.38,,,,,
0.926619083,926.6190827,1.64,,,,,
0.951738238,951.7382383,1.83,,,,,
0.684695244,684.6952438,1.86,,,,,
0.830093294,830.0932944,2.03,,,,,
0.048636615,48.63661528,1.81,,,,,
0.42439349,424.39349,2.25,,,,,
0.83136183,831.3618302,2,,,,,
0.764221132,764.2211318,2.33,,,,,
0.740049005,740.0490046,2.25,,,,,
0.898984432,898.9844322,2.78,,,,,
0.899692953,899.6929526,2.22,,,,,
0.764183581,764.1835809,1.94,,,,,
0.802051067,802.0510674,1.62,,,,,
0.27417019,274.1701901,0.11,,,,,
0.332724392,332.7243924,2.11,,,,,
0.768857062,768.8570619,2.75,,,,,
0.974022895,974.0228951,2.19,,,,,
0.304238617,304.2386174,1.28,,,,,
0.543345928,543.3459282,2.86,,,,,
0.699744374,699.7443736,2.69,,,,,
0.59104991,591.0499096,1.56,,,,,
0.307301596,307.3015958,0.61,,,,,
0.535469174,535.4691744,2.36,,,,,
0.574195117,574.1951168,1.67,,,,,
0.063874781,63.87478113,0,,,,,
0.504661322,504.6613216,2.17,,,,,
0.46589379,465.8937901,1.75,,,,,
0.834052086,834.0520859,2.72,,,,,
0.352345705,352.345705,1.11,,,,,
0.230620503,230.6205034,2.11,,,,,
0.648037672,648.037672,2.14,,,,,
0.724223256,724.2232561,2.44,,,,,
-0.039449573,-39.44957256,0,,,,,
-0.054170966,-54.17096615,0,,,,,
-0.053950697,-53.95069718,0.11,,,,,
0.668197513,668.1975126,2.44,,,,,
0.050974429,50.97442865,0,,,,,
0.806017995,806.0179949,2.53,,,,,
1.040874481,1040.874481,2.44,,,,,
0.686546028,686.5460277,2.24,,,,,
0.776688844,776.688844,1.14,,,,,
0.601998448,601.9984484,2.26,,,,,
0.592314124,592.3141241,2.47,,,,,
0.297469795,297.4697948,1.72,,,,,
0.724056482,724.0564823,1.47,,,,,
0.771481395,771.4813948,2.67,,,,,
0.739864111,739.8641109,1.78,,,,,
0.717691243,717.6912427,1.83,,,,,
0.524060369,524.0603685,1.31,,,,,
0.452978939,452.9789388,1.25,,,,,
0.651446164,651.4461637,1.14,,,,,
0.413705081,413.7050807,0.42,,,,,
0.700054884,700.054884,1.72,,,,,
0.669332445,669.3324447,0,,,,,
0.601997495,601.9974947,0.58,,,,,
0.486832231,486.8322313,2.22,,,,,
0.797117054,797.1170545,1.79,,,,,
0.781532347,781.5323472,1.91,,,,,
0.779921055,779.9210548,2.32,,,,,
0.78273648,782.7364802,2.79,,,,,
0.813788176,813.7881756,1.88,,,,,
0.560766816,560.7668161,1.81,,,,,
0.231616944,231.6169441,0,,,,,
0.386989385,386.9893849,2.33,,,,,
-0.027088046,-27.08804607,0,,,,,
0.579628289,579.6282887,2.53,,,,,
-0.103781462,-103.7814617,0,,,,,
0.499480128,499.4801283,1.86,,,,,
-0.040980577,-40.98057747,1.03,,,,,
0.692560166,692.5601661,2.41,,,,,
