Plot_ID,Burn_status,Fire_ID,Fire_Name,Field_Date,Aspect,Slope_%,UTM_Zone,UTM_E,UTM_N,LFH_cov,Moss_cov,Soil_Rock_cov,Fuelbed_cov,CBI_A,herb_cov,shrub_cov,tree_cov,CBI_B,CBI_C,CBI_D,CBI_US,CBI_Over,CBI_tot,DOB_average,CWD_Pattern,broadcast_burned,disc_trenched,mounded,brushed,spaced,Lv_Pli_BA,Dd_Pli_BA,Lv_Sx_BA,Dd_Sx_BA,Lv_Bl_BA,Dd_Bl_BA,Lv_At_BA,Dd_At_BA,Lv_Ac_BA,Dd_Ac_BA,Lv_W_BA,Dd_W_BA,Lv_oth_BA,Dd_oth_BA,Prism_BA,CanopyBaseHt,PCQ_density
PC01,burned,C10784,Plateau,2021-08-17,317,1,10,485364,5806361,30,40,1,5,2.4,40,40,35,2.75,2.75,1.416666667,2.633333333,1.416666667,2.188888889,7.2,few,0,0,0,0,0,2,2,0,8,0,1,9,0,0,0,0,0,0,0,44,2.37,1405
PC02,unburned,C10784,Plateau,2021-08-17,200,6,10,483126,5809493,20,50,0,8,0,45,20,55,0,0,0,0,0,0,0,few,0,0,0,0,0,2,0,24,2,10,2,0,0,0,0,0,0,0,0,80,3.47,2345
PC03,burned,C10784,Plateau,2021-08-17,122,8,10,481965,5810861,40,40,0,10,2.125,30,30,25,2.5,1.625,1.416666667,2.083333333,1.416666667,1.722222222,6.2,clusters,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,54,6.11,
PC04,burned,C10784,Plateau,2021-08-17,195,4,10,480220,5813113,30,40,1,10,3.375,25,25,40,2.625,2.625,2.5,2.875,2.5,2.833333333,8.8,clusters,0,0,0,,,0,19,0,0,0,0,0,0,0,0,0,0,0,0,38,4.88,2268
PC05,unburned,C10784,Plateau,2021-08-17,334,16,10,483313,5809154,70,15,3,1,0,20,60,85,0,0,0,0,0,0,0,sparse,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1.67,6746
PC06,burned,C10784,Plateau,2021-08-17,150,13,10,485354,5805068,45,25,1,10,2.375,25,30,40,2.625,2.375,2.166666667,2.458333333,2.166666667,2.305555556,8.1,clusters,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,42,3.09,5261
PC07,unburned,C10784,Plateau,2021-08-17,340,10,10,485521,5802354,30,35,1,7,0,50,30,55,0,0,0,0,0,0,0,few,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,34,1.1,5427
PC08,burned,C10784,Plateau,2021-08-17,230,14,10,488187,5796081,40,35,0,5,1.75,25,60,50,2.25,1.75,1,1.916666667,1,1.5,8.8,sparse,0,0,0,0,0,29,6,0,0,0,0,2,0,0,0,0,0,0,0,74,1.63,17873
PC09,unburned,C10784,Plateau,2021-08-17,225,6,10,488334,5793941,35,30,3,2,0,45,40,0,0,0,0,0,0,0,0,sparse,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2.18,5592
PC10,unburned,C10784,Plateau,2021-08-17,275,16,10,483185,5796200,30,20,1,3,0,55,35,50,0,0,0,0,0,0,0,sparse,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,52,1.7,3607
PC11,burned,C10784,Plateau,2021-08-17,260,11,10,483202,5796275,30,20,1,3,1.5,55,35,50,2.625,3,1.333333333,2.375,1.333333333,1.944444444,5.9,sparse,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,58,2.86,
PC12,unburned,C10784,Plateau,2021-08-18,71,20,10,452600,5816235,70,15,3,1,0,40,25,40,0,0,0,0,0,0,0,sparse,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.8,1285
PC13,burned,C10784,Plateau,2021-08-18,122,21,10,452577,5816480,70,15,3,1,2.75,40,25,40,2.75,2.75,2.083333333,2.75,2.083333333,2.527777778,8.2,clusters,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,50,8.12,2328
PC14,unburned,C10784,Plateau,2021-08-18,355,5,10,456597,5817458,30,35,1,5,0,40,60,30,0,0,0,0,0,0,0,sparse,0,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,58,5.78,8116
PC15,unburned,C10784,Plateau,2021-08-18,321,1,10,459675,5818253,40,20,2,5,0,25,50,30,0,0,0,0,0,0,0,sparse,1,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1.78,3846
PC16,unburned,C10784,Plateau,2021-08-18,190,2,10,461321,5818512,45,35,2,3,0,25,40,30,0,0,0,0,0,0,0,few,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,58,2.09,15922
PC17,burned,C10784,Plateau,2021-08-18,N/A,0,10,462514,5819076,,,,,2.75,,,,2.75,2.25,1.583333333,2.583333333,1.583333333,2.194444444,8,clusters,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,24,3.98,2323
PC18,burned,C10784,Plateau,2021-08-18,291,3,10,455103,5817235,,,,,2.7,,,,2.875,2.875,2.25,2.816666667,2.25,2.608333333,12.7,few,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,88,7.33,11228
