display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
AUGIER LAKE,2018053121,True,4.5,3.1,True,91,True,306,True,2,True,0,79.89615,1.244297,0.2488593
AUGIER LAKE,2018053122,True,3.1,2.5,True,96,True,267,True,3,True,0,79.50363,1.257659,0.2515318
AUGIER LAKE,2018053123,True,2.3,1.4,True,94,True,236,True,4.2,True,0,79.22839,1.300545,0.2601089
AUGIER LAKE,2018053124,True,1.6,1,True,96,True,229,True,4.3,True,0,78.8788,1.264538,0.2529076
AUGIER LAKE,2018060101,True,2,1.3,True,95,True,248,True,3.1,True,0,78.6189,1.16233,0.2324661
AUGIER LAKE,2018060102,True,1.2,0.6,True,96,True,314,True,1.8,True,0,78.34921,1.062841,0.2125682
AUGIER LAKE,2018060103,True,0.4,0.1,True,98,True,245,True,2.6,True,0,77.98879,1.072927,0.2145854
AUGIER LAKE,2018060104,True,-1.3,-1.6,True,98,True,253,True,2.1,True,0,77.66891,1.019104,0.2038208
AUGIER LAKE,2018060105,True,-0.7,-1,True,98,True,248,True,2.9,True,0,77.35825,1.035339,0.2070679
AUGIER LAKE,2018060106,True,6,2.6,True,79,True,73,True,2.9,True,0,77.49836,1.046718,0.2093436
AUGIER LAKE,2018060107,True,8.5,1,True,59,True,205,True,5.3,True,0,77.98832,1.229249,0.2458498
AUGIER LAKE,2018060108,True,7.8,0.3,True,59,True,238,True,11.8,True,0,78.5011,1.782926,0.3565852
AUGIER LAKE,2018060109,True,7.6,2.1,True,68,True,216,True,7,True,0,78.7859,1.436442,0.2872884
AUGIER LAKE,2018060110,True,7.6,1.7,True,66,True,200,True,6.5,True,0,79.07883,1.439595,0.2879191
AUGIER LAKE,2018060111,True,8,2.1,True,66,True,119,True,6.3,True,0,79.3592,1.4642,0.2928401
AUGIER LAKE,2018060112,True,9.8,2.4,True,60,True,158,True,8.1,True,0,79.76905,1.670172,0.3340344
AUGIER LAKE,2018060113,True,10.6,3,True,59,True,208,True,7.1,True,0,80.17475,1.656399,0.3312798
AUGIER LAKE,2018060114,True,11.1,2.7,True,56,True,193,True,6.9,True,0,80.61159,1.718816,0.3437632
AUGIER LAKE,2018060115,True,9.3,7.2,True,87,True,219,True,7.5,True,0.4,72.30318,0.988157,0.1976314
AUGIER LAKE,2018060116,True,12.5,5.7,True,63,True,222,True,4.6,True,0.6,62.91091,0.6064832,0.1212966
AUGIER LAKE,2018060117,True,9,6.1,True,82,True,224,True,8.9,True,0.2,60.60956,0.6653588,0.1330718
AUGIER LAKE,2018060118,True,7.4,5.8,True,90,True,90,True,4.1,True,1.4,42.74426,7.006434E-02,1.401287E-02
