display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
HOUSTON,2018040101,True,-5.4,-11.7,True,61,True,65,True,8.8,True,0,59.90754,0.6340799,0.160257
HOUSTON,2018040102,True,-7,-11.5,True,70,True,106,True,0,True,0,60.28341,0.4166081,0.1052933
HOUSTON,2018040103,True,-7,-11.5,True,70,True,50,True,0,True,0,60.65406,0.4260267,0.1076738
HOUSTON,2018040104,True,-8,-10.8,True,80,True,231,True,1.6,True,0,60.99666,0.4711438,0.1190766
HOUSTON,2018040105,True,-7.3,-10.5,True,78,True,143,True,1.7,True,0,61.37689,0.483836,0.1222844
HOUSTON,2018040106,True,-7.8,-10.2,True,83,True,120,True,1.6,True,0,61.6663,0.4891279,0.1236219
HOUSTON,2018040107,True,-8.9,-12.2,True,77,True,126,True,2.3,True,0,62.04421,0.5170125,0.1306695
HOUSTON,2018040108,True,-7.7,-12.4,True,69,True,301,True,1.6,True,0,62.51962,0.5114258,0.1292575
HOUSTON,2018040109,True,-2.6,-11.6,True,50,True,250,True,1.7,True,0,63.3873,0.535995,0.1354671
HOUSTON,2018040110,True,-1.2,-15.2,True,34,True,18,True,9.6,True,0,64.82744,0.849558,0.2147168
HOUSTON,2018040111,True,-0.7,-15.1,True,33,True,43,True,10.2,True,0,66.25819,0.9248435,0.2337444
HOUSTON,2018040112,True,0.9,-14.5,True,31,True,18,True,2.2,True,0,67.45959,0.6442073,0.1628166
HOUSTON,2018040113,True,0.1,-14.4,True,33,True,334,True,11.5,True,0,68.82408,1.075777,0.3058964
HOUSTON,2018040114,True,0.6,-14.3,True,32,True,339,True,11.8,True,0,70.16257,1.139662,0.3240621
HOUSTON,2018040115,True,1.8,-14.5,True,29,True,356,True,11.7,True,0,71.54384,1.187636,0.3377034
HOUSTON,2018040116,True,2.4,-13.2,True,31,True,345,True,12.3,True,0,72.84008,1.285367,0.3654932
HOUSTON,2018040117,True,2,-13,True,32,True,3,True,10.9,True,0,73.98244,1.259329,0.3580893
HOUSTON,2018040118,True,0.7,-12.4,True,37,True,349,True,9.3,True,0,74.87463,1.215514,0.3456306
HOUSTON,2018040119,True,-3.9,-11.2,True,57,True,93,True,0,True,0,75.13094,0.7715726,0.2193962
HOUSTON,2018040120,True,-5.6,-11.7,True,62,True,133,True,1.6,True,0,75.37902,0.8483232,0.2412201
HOUSTON,2018040121,True,-7.8,-13.8,True,62,True,132,True,1.6,True,0,75.59478,0.8592427,0.2443251
HOUSTON,2018040122,True,-11.2,-14.4,True,77,True,12,True,1.7,True,0,75.68296,0.8682126,0.2468757
HOUSTON,2018040123,True,-11.1,-14,True,79,True,102,True,0,True,0,75.7479,0.8001152,0.2275122
HOUSTON,2018040124,True,-13.3,-16,True,80,True,197,True,1.6,True,0,75.81007,0.870639,0.2475656
HOUSTON,2018040201,True,-14.4,-16.4,True,85,True,147,True,1.6,True,0,75.85474,0.8730687,0.2482565
HOUSTON,2018040202,True,-16.2,-17.6,True,89,True,35,True,1.6,True,0,75.87554,0.8742078,0.2485804
HOUSTON,2018040203,True,-16.6,-18.3,True,87,True,115,True,1.6,True,0,75.91929,0.8766201,0.2492663
HOUSTON,2018040204,True,-17.1,-20,True,78,True,150,True,1.7,True,0,75.97661,0.8842586,0.2514383
HOUSTON,2018040205,True,-17.8,-20.3,True,81,True,120,True,1.8,True,0,76.02134,0.8912702,0.2534321
HOUSTON,2018040206,True,-19.2,-21.6,True,81,True,105,True,1.7,True,0,76.06608,0.8893471,0.2528853
HOUSTON,2018040207,True,-14.4,-16.5,True,84,True,148,True,1.8,True,0,76.11083,0.8964343,0.2549005
HOUSTON,2018040208,True,-10.9,-14.3,True,76,True,98,True,2,True,0,76.19675,0.9106146,0.2589327
HOUSTON,2018040209,True,-7.1,-14.2,True,57,True,69,True,0,True,0,76.38676,0.8338159,0.237095
HOUSTON,2018040210,True,-2.7,-14.2,True,41,True,326,True,0,True,0,76.75906,0.8556482,0.243303
HOUSTON,2018040211,True,0.3,-12.8,True,37,True,24,True,0,True,0,77.2185,0.8850569,0.2516653
HOUSTON,2018040212,True,2.8,-15.8,True,24,True,259,True,1.6,True,0,78.03702,1.024344,0.2912716
HOUSTON,2018040213,True,2.3,-12.1,True,34,True,342,True,1.6,True,0,78.63001,1.078797,0.3691724
HOUSTON,2018040214,True,1.4,-14.1,True,31,True,297,True,1.6,True,0,79.2103,1.138856,0.3897253
HOUSTON,2018040215,True,2.2,-15.9,True,25,True,175,True,1.6,True,0,79.87747,1.217124,0.4165091
HOUSTON,2018040216,True,2.7,-11.3,True,35,True,227,True,1.7,True,0,80.3668,1.287904,0.4407305
HOUSTON,2018040217,True,2.7,-13.3,True,30,True,239,True,1.6,True,0,80.90026,1.358823,0.4649995
HOUSTON,2018040218,True,0.6,-10.1,True,45,True,201,True,1.7,True,0,81.1653,1.407371,0.481613
HOUSTON,2018040219,True,-1.3,-9.9,True,52,True,157,True,1.6,True,0,81.32267,1.425918,0.4879601
HOUSTON,2018040220,True,-2,-10.6,True,52,True,137,True,1.6,True,0,81.46573,1.449873,0.4961577
HOUSTON,2018040221,True,-2.7,-9,True,62,True,164,True,1.7,True,0,81.52341,1.467089,0.502049
HOUSTON,2018040222,True,-5.9,-10.8,True,68,True,62,True,1.7,True,0,81.56998,1.47515,0.5048074
HOUSTON,2018040223,True,-5.4,-9.3,True,74,True,44,True,1.8,True,0,81.57255,1.483052,0.5075117
HOUSTON,2018040224,True,-4.7,-9.1,True,71,True,153,True,1.6,True,0,81.60928,1.474559,0.5046054
HOUSTON,2018040301,True,-4.1,-9.1,True,68,True,57,True,1.7,True,0,81.65586,1.490203,0.5099587
HOUSTON,2018040302,True,-4.6,-8.2,True,76,True,191,True,0,True,0,81.64941,1.366817,0.467735
HOUSTON,2018040303,True,-3.9,-7.3,True,77,True,47,True,2.6,True,0,81.62022,1.552773,0.5313708
HOUSTON,2018040304,True,-5.2,-7.8,True,82,True,6,True,11.1,True,0,81.48325,2.344876,0.8024343
HOUSTON,2018040305,True,-5.4,-8.1,True,81,True,33,True,14.4,True,0,81.36546,2.731291,0.9346685
HOUSTON,2018040306,True,-5.7,-8.4,True,81,True,31,True,14.4,True,0,81.25463,2.696471,0.9227529
HOUSTON,2018040307,True,-6,-8.9,True,80,True,29,True,14,True,0,81.16849,2.616625,0.8954289
HOUSTON,2018040308,True,-5.4,-8.8,True,77,True,23,True,12.6,True,0,81.14207,2.431032,0.8319176
HOUSTON,2018040309,True,-4.8,-8.4,True,76,True,21,True,12.7,True,0,81.13691,2.441871,0.8356267
HOUSTON,2018040310,True,-3.4,-8.1,True,70,True,17,True,17.1,True,0,81.18334,3.064234,1.246826
HOUSTON,2018040311,True,-1.4,-7.5,True,63,True,24,True,14.5,True,0,81.26595,2.713634,0.9286263
HOUSTON,2018040312,True,-2,-5.5,True,77,True,22,True,13.4,True,0,81.26109,2.565873,0.8780612
HOUSTON,2018040313,True,-2.6,-4.5,True,87,True,348,True,12,True,0,81.04107,2.331642,0.7979057
HOUSTON,2018040314,True,0,-2.6,True,83,True,190,True,3,True,0,80.97814,1.470993,0.5033849
HOUSTON,2018040315,True,1.1,-2.8,True,75,True,37,True,1.9,True,1.8,50.40176,0.1895187,6.485472E-02
HOUSTON,2018040316,True,-0.1,-4.2,True,74,True,347,True,13.2,True,0,51.6572,0.3870884,0.1324646
HOUSTON,2018040317,True,0.1,-5.7,True,65,True,13,True,7.2,True,0,52.9416,0.3284051,0.1123827
HOUSTON,2018040318,True,-1.7,-5,True,78,True,256,True,1.6,True,0,53.56067,0.2637303,9.025052E-02
HOUSTON,2018040319,True,-2.8,-5.5,True,82,True,176,True,1.8,True,0,54.06409,0.279893,9.578152E-02
HOUSTON,2018040320,True,-4.4,-6.4,True,86,True,154,True,1.7,True,0,54.43684,0.2885776,9.875344E-02
HOUSTON,2018040321,True,-7.7,-9.4,True,88,True,149,True,1.9,True,0,54.72803,0.2995459,0.1025069
HOUSTON,2018040322,True,-9.1,-9.8,True,95,True,148,True,2.4,True,0,54.86679,0.311145,0.1064762
HOUSTON,2018040323,True,-12.1,-14.6,True,82,True,139,True,2.3,True,0,55.22224,0.3197297,0.1094139
HOUSTON,2018040324,True,-13.4,-14.6,True,91,True,130,True,2.1,True,0,55.40721,0.3217863,0.1101177
HOUSTON,2018040401,True,-13,-14.6,True,88,True,142,True,3.2,True,0,55.66438,0.3478972,6.957944E-02
HOUSTON,2018040402,True,-13.8,-15.4,True,88,True,117,True,0,True,0,55.80953,0.2998367,5.996734E-02
HOUSTON,2018040403,True,-11.4,-12.7,True,90,True,99,True,0,True,0,55.94308,0.3032938,6.065876E-02
HOUSTON,2018040404,True,-9.6,-11,True,90,True,356,True,2.4,True,0,56.17357,0.3490372,6.980744E-02
HOUSTON,2018040405,True,-9.8,-11.2,True,90,True,134,True,0,True,0,56.31231,0.3128909,6.257817E-02
HOUSTON,2018040406,True,-10.3,-11.8,True,89,True,358,True,0,True,0,56.45977,0.3167381,6.334762E-02
HOUSTON,2018040407,True,-9.8,-11.3,True,89,True,350,True,1.6,True,0,56.68597,0.3497434,6.994868E-02
HOUSTON,2018040408,True,-6.7,-9.7,True,79,True,246,True,1.8,True,0,57.1326,0.3661129,7.322257E-02
HOUSTON,2018040409,True,-2.5,-7.6,True,68,True,11,True,9.9,True,0,58.14141,0.5943547,0.118871
HOUSTON,2018040410,True,-3,-10.3,True,57,True,56,True,16.1,True,0,59.44818,0.8892741,0.1778548
HOUSTON,2018040411,True,-2.1,-9.9,True,55,True,60,True,16.7,True,0,60.7968,0.9966862,0.3411601
HOUSTON,2018040412,True,-1.3,-9.4,True,54,True,39,True,13.9,True,0,62.08914,0.9297756,0.318257
HOUSTON,2018040413,True,-0.8,-9.5,True,52,True,45,True,14,True,0.2,60.36353,0.8476761,0.2436452
HOUSTON,2018040414,True,-0.6,-10.9,True,46,True,68,True,15.1,True,0,61.89694,0.977776,0.2810394
HOUSTON,2018040415,True,0.1,-10.8,True,44,True,111,True,14.5,True,0,63.42136,1.023203,0.2940965
HOUSTON,2018040416,True,-0.1,-11,True,44,True,117,True,12.2,True,0,64.80296,0.9675188,0.2780913
HOUSTON,2018040417,True,0.7,-10.9,True,42,True,79,True,15.1,True,0,66.25758,1.183834,0.3402661
HOUSTON,2018040418,True,0.2,-10.7,True,44,True,119,True,12.9,True,0,67.51996,1.106768,0.3181154
HOUSTON,2018040419,True,-3.1,-11.8,True,51,True,36,True,9.5,True,0,68.3907,0.9593038,0.27573
HOUSTON,2018040420,True,-3.8,-11.3,True,56,True,67,True,7.9,True,0,69.0986,0.9051458,0.2601636
HOUSTON,2018040421,True,-4.3,-11.5,True,57,True,164,True,5,True,0,69.69698,0.797065,0.2290982
HOUSTON,2018040422,True,-3.6,-12.1,True,52,True,7,True,10.7,True,0,70.45425,1.088457,0.3128521
HOUSTON,2018040423,True,-4.1,-12.5,True,52,True,18,True,15.8,True,0,71.22134,1.443921,0.4150223
HOUSTON,2018040424,True,-4.7,-13.1,True,52,True,27,True,19.3,True,0,71.96299,1.76824,0.5082403
HOUSTON,2018040501,True,-4.8,-12.7,True,54,True,28,True,18.8,True,0,72.62911,1.768498,0.5083145
HOUSTON,2018040502,True,-5.4,-14,True,51,True,24,True,19.1,True,0,73.28551,1.844673,0.5302093
HOUSTON,2018040503,True,-6.4,-15.2,True,50,True,28,True,19.4,True,0,73.89338,1.924559,0.5531706
HOUSTON,2018040504,True,-7.2,-15.9,True,50,True,28,True,16.3,True,0,74.42648,1.689517,0.4856133
HOUSTON,2018040505,True,-8.3,-16.2,True,53,True,21,True,15.2,True,0,74.86622,1.635605,0.4701175
HOUSTON,2018040506,True,-8.3,-16.2,True,53,True,33,True,15.6,True,0,75.28769,1.708601,0.4910985
HOUSTON,2018040507,True,-8,-16.4,True,51,True,41,True,16.4,True,0,75.72201,1.82541,0.5246724
HOUSTON,2018040508,True,-6.6,-17.2,True,43,True,55,True,15,True,0,76.25322,1.759738,0.5057966
HOUSTON,2018040509,True,-5.6,-16.9,True,41,True,71,True,15.8,True,0,76.81347,1.904382,0.5473711
HOUSTON,2018040510,True,-4.8,-16.7,True,39,True,61,True,14.9,True,0,77.38428,1.899186,0.5458779
HOUSTON,2018040511,True,-3.7,-15.4,True,40,True,53,True,14.4,True,0,77.93407,1.935611,0.5563474
HOUSTON,2018040512,True,-2.9,-15.7,True,37,True,75,True,13.1,True,0,78.50584,1.904436,0.5473868
HOUSTON,2018040513,True,-3,-14.2,True,42,True,55,True,20.4,True,0,79.01247,2.882049,0.8284274
HOUSTON,2018040514,True,-2.2,-15.4,True,36,True,68,True,17.1,True,0,79.57932,2.578711,0.7412348
HOUSTON,2018040515,True,-2,-13.9,True,40,True,58,True,14.8,True,0,80.03822,2.406809,0.6918225
HOUSTON,2018040516,True,-2.4,-10,True,56,True,64,True,10,True,0,80.23869,1.930068,0.5547863
HOUSTON,2018040517,True,-3.4,-9,True,65,True,37,True,13.1,True,0,80.33301,2.279222,0.6551484
HOUSTON,2018040518,True,-4.1,-7.2,True,79,True,21,True,11.5,True,0,80.34476,2.105327,0.6051633
HOUSTON,2018040519,True,-4.7,-6.7,True,86,True,357,True,7.9,True,0,80.22514,1.733768,0.4983611
HOUSTON,2018040520,True,-4.7,-8.3,True,76,True,61,True,1.9,True,0,80.27127,1.287711,0.3701446
HOUSTON,2018040521,True,-4.7,-7.9,True,78,True,292,True,2.3,True,0,80.30149,1.318175,0.3789013
HOUSTON,2018040522,True,-3.4,-14.3,True,43,True,45,True,12.7,True,0,80.63129,2.307261,0.6632081
HOUSTON,2018040523,True,-3.5,-15.3,True,40,True,73,True,12.6,True,0,80.97706,2.385857,0.6858001
HOUSTON,2018040524,True,-3.9,-15.3,True,41,True,60,True,14.8,True,0,81.28988,2.762593,0.7940904
HOUSTON,2018040601,True,-4.5,-15.3,True,43,True,58,True,12.9,True,0,81.54097,2.584966,0.7430326
HOUSTON,2018040602,True,-4.9,-14.8,True,46,True,58,True,12.7,True,0,81.73616,2.618879,0.7527809
HOUSTON,2018040603,True,-5.5,-14.6,True,49,True,85,True,12,True,0,81.87931,2.571812,0.7392518
HOUSTON,2018040604,True,-6.2,-13.3,True,57,True,49,True,9.2,True,0,81.93366,2.248058,0.6461905
HOUSTON,2018040605,True,-6.9,-12.2,True,66,True,69,True,9.7,True,0,81.97945,2.318207,0.6663544
HOUSTON,2018040606,True,-7.4,-10.9,True,76,True,37,True,8.5,True,0,81.90979,2.163906,0.6220016
HOUSTON,2018040607,True,-7.4,-9.7,True,84,True,16,True,6.2,True,0,81.73173,1.886424,0.542241
HOUSTON,2018040608,True,-6.8,-9.4,True,82,True,6,True,7.6,True,0,81.59404,1.991523,0.5724511
HOUSTON,2018040609,True,-6.4,-9.8,True,77,True,11,True,7.9,True,0,81.54083,2.009218,0.5775374
HOUSTON,2018040610,True,-5.3,-8.2,True,80,True,2,True,7.4,True,0,81.45394,1.939363,0.557458
HOUSTON,2018040611,True,-5.1,-8.2,True,79,True,6,True,13.5,True,0,81.37694,2.613676,0.7512851
HOUSTON,2018040612,True,-4.4,-9,True,70,True,33,True,10.5,True,0,81.42345,2.25919,0.6493903
HOUSTON,2018040613,True,-4,-6.5,True,83,True,343,True,9.6,True,0,81.29001,2.125816,0.6110877
HOUSTON,2018040614,True,-3.2,-7,True,75,True,351,True,11.9,True,0,81.30406,2.390922,0.6872951
