display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
MCBRIDE LAKE,2018040706,True,-5.9,-7.2,True,91,True,193,True,1.6,True,0,82.33591,1.609999,0.3219997
MCBRIDE LAKE,2018040707,True,-5.2,-6.5,True,91,True,261,True,1.7,True,0,82.01808,1.556368,0.3112736
MCBRIDE LAKE,2018040708,True,-3.4,-5.6,True,85,True,215,True,1.8,True,0,81.85021,1.532863,0.3065726
MCBRIDE LAKE,2018040709,True,-2,-5.1,True,79,True,247,True,2.8,True,0,84.74083,2.341918,0.4683835
MCBRIDE LAKE,2018040710,True,-0.8,-4.8,True,74,True,47,True,3.4,True,0,84.57037,2.358418,0.4716836
MCBRIDE LAKE,2018040711,True,-1.2,-4.9,True,76,True,150,True,3,True,0,84.38444,2.253867,0.4507734
MCBRIDE LAKE,2018040712,True,-0.2,-4.4,True,73,True,105,True,4,True,0,84.25005,2.327805,0.4655609
MCBRIDE LAKE,2018040713,True,-0.2,-3.9,True,76,True,248,True,3.4,True,0,84.08447,2.208877,0.4417753
MCBRIDE LAKE,2018040714,True,0.4,-3.7,True,74,True,252,True,3.2,True,0,84.81652,2.414444,0.4828889
MCBRIDE LAKE,2018040715,True,0.9,-2.8,True,76,True,211,True,3.2,True,0,84.61585,2.349247,0.4698493
MCBRIDE LAKE,2018040716,True,1.7,-2.6,True,73,True,217,True,2.9,True,0,84.83768,2.385116,0.4770232
MCBRIDE LAKE,2018040717,True,1.1,-2.1,True,79,True,221,True,4.3,True,0,84.57285,2.468664,0.4937329
MCBRIDE LAKE,2018040718,True,0.8,-1.9,True,82,True,272,True,1.9,True,0,84.29744,2.107462,0.4214923
MCBRIDE LAKE,2018040719,True,-0.4,-2,True,89,True,150,True,0,True,0,83.96338,1.831252,0.3662504
MCBRIDE LAKE,2018040720,True,-1.5,-2.4,True,94,True,59,True,1.7,True,0,83.41508,1.855978,0.3711957
MCBRIDE LAKE,2018040721,True,-2.1,-2.8,True,95,True,151,True,0,True,0,82.97305,1.609143,0.3218286
MCBRIDE LAKE,2018040722,True,-2.1,-2.7,True,96,True,332,True,0,True,0,82.521,1.519833,0.3039666
MCBRIDE LAKE,2018040723,True,-2.1,-2.7,True,96,True,185,True,1.6,True,0,81.99976,1.545111,0.3090221
MCBRIDE LAKE,2018040724,True,-2,-2.6,True,96,True,100,True,0,True,0,81.60218,1.359201,0.2718402
MCBRIDE LAKE,2018040801,True,-2.1,-2.7,True,96,True,236,True,0,True,0,81.22778,1.301132,0.2602265
MCBRIDE LAKE,2018040802,True,-2.2,-2.8,True,96,True,335,True,0,True,0,80.87502,1.250024,0.2500048
MCBRIDE LAKE,2018040803,True,-2.3,-2.9,True,96,True,297,True,0,True,0,80.54244,1.204877,0.2409755
MCBRIDE LAKE,2018040804,True,-2.6,-3.2,True,96,True,234,True,0,True,0,84.43756,1.95162,0.3903239
MCBRIDE LAKE,2018040805,True,-3.5,-4.1,True,96,True,188,True,0,True,0,83.91874,1.820407,0.3640815
MCBRIDE LAKE,2018040806,True,-3.1,-3.7,True,96,True,186,True,1.6,True,0,83.31516,1.822809,0.3645619
MCBRIDE LAKE,2018040807,True,-2.1,-3,True,94,True,132,True,1.8,True,0,82.81516,1.726871,0.3453742
MCBRIDE LAKE,2018040808,True,0.3,-2.3,True,83,True,173,True,1.9,True,0,82.64039,1.697733,0.3395466
MCBRIDE LAKE,2018040809,True,4.1,-1,True,69,True,99,True,1.9,True,0,82.68732,1.707785,0.3415569
MCBRIDE LAKE,2018040810,True,7.2,0,True,60,True,148,True,4.3,True,0,82.79395,1.953456,0.3906912
MCBRIDE LAKE,2018040811,True,8.7,0.2,True,55,True,112,True,2.6,True,0,82.9666,1.832887,0.3665774
MCBRIDE LAKE,2018040812,True,8.3,0.8,True,59,True,340,True,3.4,True,0,83.07793,1.935683,0.3871366
MCBRIDE LAKE,2018040813,True,8,1.9,True,65,True,356,True,4.8,True,0,83.12501,2.089775,0.4179549
MCBRIDE LAKE,2018040814,True,9.7,1.9,True,58,True,6,True,4.4,True,0,83.25999,2.084068,0.4168135
MCBRIDE LAKE,2018040815,True,10.6,1.7,True,54,True,316,True,4.1,True,0,83.45293,2.104936,0.4209872
MCBRIDE LAKE,2018040816,True,9.3,1.5,True,58,True,304,True,4.8,True,0,83.55988,2.211231,0.4422461
MCBRIDE LAKE,2018040817,True,8.2,2.1,True,65,True,257,True,3.9,True,0,83.60712,2.126329,0.4252657
MCBRIDE LAKE,2018040818,True,6.1,2.2,True,76,True,319,True,2.7,True,0.2,79.07578,1.188378,0.2376757
MCBRIDE LAKE,2018040819,True,3.2,1.1,True,86,True,300,True,3.1,True,0,79.11614,1.217241,0.2434481
MCBRIDE LAKE,2018040820,True,3.3,0.5,True,82,True,229,True,5.6,True,0.2,74.98293,1.014738,0.2029476
MCBRIDE LAKE,2018040821,True,1.7,0.1,True,89,True,339,True,3,True,0,75.051,0.8934891,0.1786978
MCBRIDE LAKE,2018040822,True,1,0,True,93,True,119,True,4.2,True,0,75.09542,0.9515362,0.1903072
MCBRIDE LAKE,2018040823,True,0.4,-0.3,True,95,True,162,True,2.6,True,0.2,71.12212,0.7399493,0.1479899
MCBRIDE LAKE,2018040824,True,-0.1,-0.7,True,96,True,148,True,2.7,True,0,71.17438,0.7450131,0.1490026
MCBRIDE LAKE,2018040901,True,-0.1,-0.7,True,96,True,57,True,2.5,True,0,84.24175,2.155935,0.431187
MCBRIDE LAKE,2018040902,True,-0.1,-0.7,True,96,True,102,True,2.3,True,0,83.54864,1.946632,0.3893264
MCBRIDE LAKE,2018040903,True,-0.8,-1.4,True,96,True,225,True,2,True,0,82.92695,1.769329,0.3538657
MCBRIDE LAKE,2018040904,True,-0.7,-1.1,True,97,True,349,True,1.8,True,0,82.30743,1.620597,0.3241195
MCBRIDE LAKE,2018040905,True,-0.6,-1,True,97,True,229,True,0,True,0,81.84076,1.39836,0.2796721
MCBRIDE LAKE,2018040906,True,-0.8,-1.2,True,97,True,133,True,1.7,True,0,81.30427,1.430072,0.2860144
MCBRIDE LAKE,2018040907,True,0.6,0.2,True,97,True,73,True,2.5,True,0,84.1761,2.137009,0.4274018
MCBRIDE LAKE,2018040908,True,3.4,1.1,True,85,True,144,True,2,True,0.2,79.52759,1.198706,0.2397411
MCBRIDE LAKE,2018040909,True,6.3,2.6,True,77,True,227,True,2.2,True,0,79.60547,1.2203,0.2440601
MCBRIDE LAKE,2018040910,True,7.4,2.7,True,72,True,106,True,3.1,True,0,79.74683,1.295267,0.2590533
MCBRIDE LAKE,2018040911,True,8.1,2.6,True,68,True,0,True,3.9,True,0,79.94341,1.376017,0.2752034
MCBRIDE LAKE,2018040912,True,8.6,3.3,True,69,True,336,True,4.7,True,0,80.12804,1.460504,0.2921009
MCBRIDE LAKE,2018052519,True,8.9,-0.7,True,51,True,222,True,9.1,True,0,86.05733,3.861338,7.759076
MCBRIDE LAKE,2018052520,True,6.7,0.2,True,63,True,212,True,7,True,0,85.97263,3.432537,6.975505
MCBRIDE LAKE,2018052521,True,4.2,0.4,True,76,True,212,True,5.1,True,0,85.66902,2.989381,6.129818
MCBRIDE LAKE,2018052522,True,3.4,-0.1,True,78,True,229,True,4.8,True,0,85.35349,2.818087,5.791831
MCBRIDE LAKE,2018052523,True,2.3,-0.3,True,83,True,18,True,2.6,True,0,84.98489,2.397243,4.931035
MCBRIDE LAKE,2018052524,True,1.3,-0.5,True,88,True,191,True,2.6,True,0,84.51852,2.249346,4.616964
MCBRIDE LAKE,2018052601,True,0.4,-0.9,True,91,True,348,True,1.6,True,0,84.02306,2.000863,4.07355
MCBRIDE LAKE,2018052602,True,-0.3,-1.2,True,94,True,87,True,3.5,True,0,83.41155,2.031256,4.141162
MCBRIDE LAKE,2018052603,True,-0.5,-1.4,True,94,True,276,True,1.7,True,0,82.89175,1.734989,3.46665
MCBRIDE LAKE,2018052604,True,-0.5,-1.2,True,95,True,63,True,2.5,True,0,82.34736,1.687081,3.354036
MCBRIDE LAKE,2018052605,True,0.6,-0.1,True,95,True,103,True,2.2,True,0,81.84035,1.562221,3.055126
MCBRIDE LAKE,2018052606,True,2.4,0.9,True,90,True,81,True,1.8,True,0,81.56216,1.481238,2.8566
MCBRIDE LAKE,2018052607,True,3.5,1,True,84,True,75,True,1.7,True,0,81.46989,1.457908,2.79865
MCBRIDE LAKE,2018052608,True,4.7,0.1,True,72,True,334,True,3.1,True,0,81.51643,1.573033,3.081338
MCBRIDE LAKE,2018052609,True,4.6,2.3,True,85,True,292,True,2.9,True,0,81.40278,1.536692,2.992965
MCBRIDE LAKE,2018040913,True,9.8,2.2,True,59,True,203,True,3.6,True,0,80.45091,1.430226,0.2860452
