display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
NORTH CHILCO,2018040104,True,-8,-15.9,True,53,True,15,True,10.4,True,0,83.81248,3.031381,5.808662
NORTH CHILCO,2018040105,True,-8.6,-17.4,True,49,True,8,True,11.6,True,0,83.8598,3.240597,6.192693
NORTH CHILCO,2018040106,True,-9.1,-18.2,True,48,True,5,True,5.8,True,0,83.90714,2.434594,4.661388
NORTH CHILCO,2018040107,True,-8.4,-18.8,True,43,True,357,True,9.9,True,0,83.96011,3.014476,5.777254
NORTH CHILCO,2018040108,True,-6.3,-19.4,True,35,True,358,True,13,True,0,84.12042,3.600383,6.834256
NORTH CHILCO,2018040109,True,-3.2,-19.2,True,28,True,3,True,12.8,True,0,84.42005,3.710931,7.026968
NORTH CHILCO,2018040110,True,-1.4,-19,True,25,True,0,True,14.5,True,0,84.79672,4.255316,7.948822
NORTH CHILCO,2018040111,True,0.4,-17.9,True,24,True,15,True,12.5,True,0,85.19795,4.065501,7.632276
NORTH CHILCO,2018040112,True,0.5,-17.4,True,25,True,3,True,15.5,True,0,85.56352,4.974947,9.106719
NORTH CHILCO,2018040113,True,1.6,-17.9,True,22,True,358,True,13.8,True,0,85.98328,4.842575,8.986643
NORTH CHILCO,2018040114,True,2,-18.2,True,21,True,357,True,14.7,True,0,86.40594,5.378046,9.823617
NORTH CHILCO,2018040115,True,2,-19.2,True,19,True,14,True,14.5,True,0,86.8406,5.662321,10.25572
NORTH CHILCO,2018040116,True,1,-19.4,True,20,True,7,True,13.8,True,0,87.1862,5.741623,10.37485
NORTH CHILCO,2018040117,True,-0.6,-18.7,True,24,True,1,True,11.7,True,0,87.38053,5.310295,9.719426
NORTH CHILCO,2018040118,True,-2,-18.2,True,28,True,3,True,12.2,True,0,87.46934,5.515295,10.03324
NORTH CHILCO,2018040119,True,-3.4,-17.1,True,34,True,352,True,12.2,True,0,87.51786,5.553668,10.09152
NORTH CHILCO,2018040120,True,-4.5,-17.4,True,36,True,355,True,10.8,True,0,87.55587,5.203572,9.554326
NORTH CHILCO,2018040121,True,-5.5,-17.7,True,38,True,359,True,10.5,True,0,87.56655,5.133333,9.445004
NORTH CHILCO,2018040122,True,-6.1,-18.5,True,37,True,13,True,12.1,True,0,87.58083,5.575714,10.12493
NORTH CHILCO,2018040123,True,-7.2,-18.3,True,41,True,13,True,9.3,True,0,87.55475,4.823983,8.957006
NORTH CHILCO,2018040124,True,-8.1,-20,True,38,True,353,True,9.3,True,0,87.55161,4.821819,8.953554
NORTH CHILCO,2018040201,True,-8.4,-20.3,True,38,True,1,True,10.5,True,0,87.54556,5.117953,9.420994
NORTH CHILCO,2018040202,True,-9.7,-19.8,True,44,True,347,True,8.8,True,0,87.48569,4.65777,8.690222
NORTH CHILCO,2018040203,True,-10.2,-19.7,True,46,True,339,True,8.6,True,0,87.41033,4.56169,8.534475
NORTH CHILCO,2018040204,True,-11.6,-20,True,50,True,315,True,6.2,True,0,87.3106,3.984933,7.574103
NORTH CHILCO,2018040205,True,-12,-20.8,True,48,True,331,True,6.8,True,0,87.22813,4.059221,7.700387
NORTH CHILCO,2018040206,True,-12.3,-20.2,True,52,True,326,True,8,True,0,87.11134,4.241063,8.006183
NORTH CHILCO,2018040207,True,-10.7,-20.4,True,45,True,324,True,6.6,True,0,87.06444,3.925872,7.473124
NORTH CHILCO,2018040208,True,-4.7,-20.2,True,29,True,344,True,6.4,True,0,87.12583,3.920638,7.464149
NORTH CHILCO,2018040209,True,-2.2,-20.7,True,23,True,43,True,9.1,True,0,87.31064,4.611979,8.616138
NORTH CHILCO,2018040210,True,-0.4,-20.6,True,20,True,59,True,9.8,True,0,87.57426,4.960886,9.174305
NORTH CHILCO,2018040211,True,1.9,-19.9,True,18,True,103,True,8.6,True,0,87.90457,4.895844,9.071337
NORTH CHILCO,2018040212,True,3.2,-21,True,15,True,90,True,7.7,True,0,88.3102,4.95889,9.171152
NORTH CHILCO,2018040213,True,3.2,-21.8,True,14,True,127,True,8.4,True,0,88.7159,5.444883,10.20467
NORTH CHILCO,2018040214,True,4.1,-21.1,True,14,True,92,True,8,True,0,89.10659,5.644086,10.51343
NORTH CHILCO,2018040215,True,2.8,-19.2,True,18,True,173,True,6.5,True,0,89.32375,5.398896,10.13281
NORTH CHILCO,2018040216,True,2.2,-20.3,True,17,True,149,True,8,True,0,89.54241,6.008377,11.06796
NORTH CHILCO,2018040217,True,1.2,-19.3,True,20,True,128,True,4.7,True,0,89.65289,5.169178,9.770484
NORTH CHILCO,2018040218,True,-1,-18.7,True,25,True,208,True,5.5,True,0,89.70213,5.419957,10.16575
NORTH CHILCO,2018040219,True,-2.8,-14.3,True,41,True,210,True,3.8,True,0,89.61213,4.911198,9.356591
NORTH CHILCO,2018040220,True,-2.6,-18,True,30,True,204,True,6.6,True,0,89.62505,5.665888,10.54698
NORTH CHILCO,2018040221,True,-3.9,-19.1,True,30,True,266,True,5.1,True,0,89.6328,5.25926,9.913247
NORTH CHILCO,2018040222,True,-4.8,-16.1,True,41,True,16,True,5.6,True,0,89.53109,5.31533,10.00166
NORTH CHILCO,2018040223,True,-5.9,-16,True,45,True,19,True,7.9,True,0,89.37895,5.839601,10.81262
NORTH CHILCO,2018040224,True,-7.2,-16.4,True,48,True,17,True,7.9,True,0,89.20198,5.693142,10.58885
NORTH CHILCO,2018040301,True,-7.8,-16,True,52,True,23,True,8.7,True,0,88.98715,5.747328,10.67188
NORTH CHILCO,2018040302,True,-8.6,-16.3,True,54,True,25,True,8.8,True,0,88.7626,5.593121,10.43482
NORTH CHILCO,2018040303,True,-9.4,-15.9,True,59,True,20,True,7.6,True,0,88.50637,5.074814,9.619969
NORTH CHILCO,2018040304,True,-9.7,-15.4,True,63,True,29,True,6.2,True,0,88.23284,4.547153,8.75906
NORTH CHILCO,2018040305,True,-9.2,-14.5,True,65,True,37,True,9,True,0,87.92849,5.012671,9.520299
NORTH CHILCO,2018040306,True,-9.3,-14.6,True,65,True,38,True,8.2,True,0,87.64707,4.624521,8.887431
NORTH CHILCO,2018040307,True,-8.4,-14.2,True,63,True,36,True,9.3,True,0,87.39432,4.714671,9.036053
NORTH CHILCO,2018040308,True,-6.8,-12.3,True,65,True,62,True,9.7,True,0,87.12778,4.631213,8.898498
NORTH CHILCO,2018040309,True,-5.5,-10.4,True,68,True,81,True,10.6,True,0,86.8322,4.646525,8.9238
NORTH CHILCO,2018040310,True,-3.7,-9.3,True,65,True,82,True,11.7,True,0,86.58969,4.745279,9.086284
NORTH CHILCO,2018040311,True,-1.9,-8.6,True,60,True,73,True,12.5,True,0,86.43148,4.831113,9.226533
NORTH CHILCO,2018040312,True,1,-7.5,True,53,True,69,True,10.8,True,0,86.39686,4.412855,8.534385
NORTH CHILCO,2018040313,True,1.7,-7.9,True,49,True,73,True,10.9,True,0,86.42036,4.449901,8.596601
NORTH CHILCO,2018040314,True,0.8,-8.2,True,51,True,68,True,8.9,True,0,86.41159,4.018313,7.860001
NORTH CHILCO,2018040315,True,2.1,-3.6,True,66,True,77,True,7.8,True,0,86.21817,3.69929,7.297731
NORTH CHILCO,2018040316,True,1.1,-3.7,True,70,True,76,True,9.8,True,0,85.9638,3.947773,7.737044
NORTH CHILCO,2018040317,True,-0.6,-4.1,True,77,True,75,True,10.2,True,0,85.60352,3.830214,7.530426
NORTH CHILCO,2018040318,True,-1.7,-3.2,True,90,True,25,True,8,True,0,84.96593,3.138741,6.267747
NORTH CHILCO,2018040319,True,-3.3,-4.7,True,90,True,337,True,6.8,True,0,84.41228,2.73982,5.496744
NORTH CHILCO,2018040320,True,-4.5,-5.9,True,90,True,352,True,4.7,True,0,83.9382,2.312855,4.629122
NORTH CHILCO,2018040321,True,-4.7,-6.3,True,89,True,335,True,7.7,True,0,83.493,2.536853,5.090297
NORTH CHILCO,2018040322,True,-5.5,-7.3,True,87,True,345,True,5.7,True,0,83.1543,2.194992,4.38061
NORTH CHILCO,2018040323,True,-6.8,-8.6,True,87,True,352,True,5.5,True,0,82.8442,2.088484,4.152247
NORTH CHILCO,2018040324,True,-7.1,-9.2,True,85,True,359,True,6,True,0,82.59185,2.07467,4.122353
NORTH CHILCO,2018040401,True,-8.5,-10.4,True,86,True,343,True,6,True,0,82.33774,2.010082,0.4020165
NORTH CHILCO,2018040409,True,-3.9,-12.3,True,52,True,345,True,6.8,True,0,81.7458,1.947592,0.3895184
NORTH CHILCO,2018040410,True,-2.5,-12.6,True,46,True,35,True,7.9,True,0,81.9494,2.109519,0.4219038
NORTH CHILCO,2018040411,True,-1,-12.7,True,41,True,9,True,8.3,True,0,82.22705,2.226511,0.4453022
NORTH CHILCO,2018040412,True,0.3,-13.1,True,36,True,40,True,7.9,True,0,82.57904,2.279461,4.601962
NORTH CHILCO,2018040413,True,0.3,-13.5,True,35,True,41,True,9.8,True,0,82.93388,2.623544,5.35461
NORTH CHILCO,2018040414,True,0.8,-14.6,True,31,True,20,True,8.8,True,0,83.33279,2.626038,5.359669
NORTH CHILCO,2018040415,True,1,-13.6,True,33,True,77,True,9,True,0,83.67664,2.774668,5.658387
NORTH CHILCO,2018040416,True,-0.3,-15.1,True,32,True,55,True,7,True,0,83.97385,2.609409,5.325906
NORTH CHILCO,2018040417,True,-1.9,-15.4,True,35,True,47,True,7.3,True,0,84.18314,2.724335,5.557832
NORTH CHILCO,2018040418,True,-3.3,-15.4,True,39,True,40,True,8.2,True,0,84.31275,2.900853,5.907861
NORTH CHILCO,2018040419,True,-4.9,-15.7,True,43,True,28,True,8.7,True,0,84.37453,2.999763,6.100898
NORTH CHILCO,2018040420,True,-6.7,-15.7,True,49,True,10,True,5.8,True,0,84.42204,2.608619,5.324301
NORTH CHILCO,2018040421,True,-7.7,-16.1,True,51,True,9,True,8.1,True,0,84.46008,2.944285,5.992889
NORTH CHILCO,2018040422,True,-8.6,-16,True,55,True,13,True,8.9,True,0,84.45686,3.064064,6.225251
NORTH CHILCO,2018040423,True,-9.4,-16.8,True,55,True,18,True,9.7,True,0,84.44822,3.186377,6.459415
NORTH CHILCO,2018040424,True,-10.2,-17.3,True,56,True,15,True,8,True,0,84.42979,2.917505,5.94051
NORTH CHILCO,2018040501,True,-11.1,-17.9,True,57,True,6,True,8.1,True,0,84.39989,2.920411,5.946202
NORTH CHILCO,2018040502,True,-11.8,-18.2,True,59,True,359,True,9.3,True,0,84.3501,3.081661,6.25913
NORTH CHILCO,2018040503,True,-12.4,-18.4,True,61,True,354,True,6.8,True,0,84.29024,2.695073,5.499092
NORTH CHILCO,2018040504,True,-12.1,-18.7,True,58,True,13,True,7.5,True,0,84.25579,2.77892,5.666853
NORTH CHILCO,2018040505,True,-12,-19,True,56,True,16,True,8.4,True,0,84.23703,2.900522,5.907212
NORTH CHILCO,2018040506,True,-11.5,-19.4,True,52,True,27,True,8.2,True,0,84.25152,2.877037,5.861055
NORTH CHILCO,2018040507,True,-10,-19.2,True,47,True,25,True,10.6,True,0,84.29898,3.267694,6.613421
NORTH CHILCO,2018040508,True,-8.1,-19.4,True,40,True,31,True,14.5,True,0,84.36338,4.011997,7.967566
NORTH CHILCO,2018040509,True,-5.7,-18.8,True,35,True,30,True,14.3,True,0,84.50906,4.050822,8.035706
NORTH CHILCO,2018040510,True,-3.5,-19.1,True,29,True,33,True,17.3,True,0,84.77373,4.88475,9.448386
NORTH CHILCO,2018040511,True,-2.6,-18.7,True,28,True,39,True,14.2,True,0,85.04448,4.336374,8.530059
