weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180514,AUGIER LAKE,startup,True,23.5,True,20,True,250,True,15,True,0,,85,25,30,,,,
20180515,AUGIER LAKE,estimate,True,18,True,25,True,280,True,5,True,0,,90.12521,28.77129,35.644,5.615421,28.41027,10.63519,3
20180516,AUGIER LAKE,estimate,True,19.5,True,25,True,280,True,6,True,0,,91.69674,32.83875,41.558,7.388398,32.47544,14.2254,3
20180517,AUGIER LAKE,estimate,True,21,True,25,True,80,True,9,True,0,,92.26644,37.20238,47.742,9.315202,36.83169,18.08729,3
20180518,AUGIER LAKE,estimate,True,19.5,True,28,True,250,True,5,True,0,,92.31654,41.10714,53.656,7.668755,40.73174,16.48375,3
20180519,AUGIER LAKE,estimate,True,23,True,30,True,60,True,10,True,0,,92.36667,45.54844,60.2,9.936048,45.16358,21.02649,4
20180520,AUGIER LAKE,estimate,True,15,True,65,True,280,True,8,True,4,,62.3098,34.01831,60.64045,0.698585,33.83072,0.8948203,2
20180521,AUGIER LAKE,estimate,True,14,True,45,True,80,True,4,True,0,,77.11579,36.20473,65.56445,1.074352,36.02217,2.274487,2
20180522,AUGIER LAKE,estimate,True,14,True,55,True,80,True,3,True,0,,81.92045,37.99363,70.48846,1.64223,37.82174,4.032157,2
20180523,AUGIER LAKE,estimate,True,19.5,True,38,True,60,True,5,True,0.6,,86.81555,41.35606,76.40246,3.49583,41.17616,8.832733,3
20180524,AUGIER LAKE,estimate,True,15,True,43,True,250,True,6,True,0,,87.50306,43.77205,81.50645,4.0549,43.59265,10.35722,3
20180525,AUGIER LAKE,estimate,True,11,True,40,True,280,True,12,True,0,,87.65009,45.68336,85.89046,5.602915,45.50648,13.76043,3
20180526,AUGIER LAKE,estimate,True,12,True,60,True,130,True,8,True,0.4,,86.51364,47.06288,90.45446,3.895961,46.89727,10.45711,3
20180527,AUGIER LAKE,estimate,True,12.5,True,50,True,80,True,6,True,0,,86.56185,48.85308,95.10846,3.546581,48.69265,9.886937,3
20180528,AUGIER LAKE,estimate,True,10,True,39,True,250,True,10,True,0,,87.33749,50.63566,99.31246,4.84448,50.47713,13.00679,3
20180529,AUGIER LAKE,estimate,True,8,True,55,True,60,True,4,True,0,,86.67807,51.71373,103.1565,3.259819,51.56454,9.531568,3
20180530,AUGIER LAKE,actual,True,11.4,True,47,True,243,True,12,True,0,,86.72633,53.45787,107.6125,4.91178,53.31211,13.55819,3
20180531,AUGIER LAKE,actual,True,13.1,True,41,True,60,True,8.4,True,0,,87.51127,55.66351,112.3745,4.581537,55.5164,13.13438,3
20180601,AUGIER LAKE,actual,True,9.8,True,60,True,158,True,8.1,True,0.4,,86.28709,56.81135,117.5425,3.792307,56.67949,11.42895,3
20180602,AUGIER LAKE,actual,True,11.4,True,47,True,279,True,7,True,3.2,,66.46201,45.51588,119.3548,0.7928729,46.60233,1.871297,3
20180603,AUGIER LAKE,actual,True,6.4,True,91,True,261,True,7.2,True,2.2,,48.87776,40.02878,123.9108,0.2048729,44.28911,0.3163424,2
20180604,AUGIER LAKE,actual,True,7.5,True,69,True,231,True,6.4,True,0,,62.47188,40.73065,128.6648,0.6498042,45.47328,1.143369,3
