weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,BURNS LAKE 850M,actual,True,0.8,True,27,True,39,True,11.1,True,2.6,,,,,,,,
20180402,BURNS LAKE 850M,actual,True,-1.1,True,26,True,215,True,12.4,True,0.8,,,,,,,,
20180403,BURNS LAKE 850M,actual,True,-0.4,True,64,True,134,True,8.5,True,2,,,,,,,,
20180404,BURNS LAKE 850M,actual,True,-2.7,True,63,True,278,True,4.4,True,1.4,,,,,,,,
20180405,BURNS LAKE 850M,actual,True,-1.3,True,34,True,72,True,15.6,True,0,,,,,,,,
20180406,BURNS LAKE 850M,actual,True,-2.8,True,58,True,285,True,5.5,True,0,,,,,,,,
20180407,BURNS LAKE 850M,actual,True,2.1,True,56,True,18,True,10.1,True,0.6,,,,,,,,
20180408,BURNS LAKE 850M,actual,True,7.6,True,43,True,213,True,7.1,True,0,,,,,,,,
20180409,BURNS LAKE 850M,actual,True,8.3,True,58,True,212,True,10.6,True,0,,,,,,,,
20180410,BURNS LAKE 850M,actual,True,7.8,True,56,True,133,True,13.7,True,0,,,,,,,,
20180411,BURNS LAKE 850M,actual,True,10.3,True,42,True,169,True,9.3,True,0,,,,,,,,
20180412,BURNS LAKE 850M,actual,True,5.2,True,45,True,261,True,12.1,True,0.8,,,,,,,,
20180413,BURNS LAKE 850M,actual,True,3.8,True,59,True,143,True,12.2,True,0,,,,,,,,
20180414,BURNS LAKE 850M,actual,True,6.4,True,42,True,216,True,14.4,True,1,,,,,,,,
20180415,BURNS LAKE 850M,actual,True,7.6,True,44,True,149,True,5.6,True,0,,,,,,,,
20180416,BURNS LAKE 850M,actual,True,8.6,True,35,True,48,True,16.3,True,0,,,,,,,,
20180417,BURNS LAKE 850M,actual,True,5,True,42,True,268,True,15.2,True,0,,,,,,,,
20180418,BURNS LAKE 850M,actual,True,6,True,45,True,222,True,11.9,True,0,,,,,,,,
20180419,BURNS LAKE 850M,actual,True,5,True,52,True,157,True,12.8,True,0,,,,,,,,
20180420,BURNS LAKE 850M,actual,True,5.3,True,64,True,163,True,9.1,True,0,,,,,,,,
