weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,CHILAKO,actual,True,-0.6,True,31,True,17,True,11.4,True,2,,,,,,,,
20180402,CHILAKO,actual,True,3,True,18,True,33,True,5.9,True,0,,,,,,,,
20180403,CHILAKO,actual,True,4.9,True,30,True,151,True,9.5,True,0,,,,,,,,
20180404,CHILAKO,actual,True,1.4,True,37,True,72,True,7.9,True,1.8,,,,,,,,
20180405,CHILAKO,actual,True,-1.1,True,35,True,77,True,12.5,True,0,,,,,,,,
20180406,CHILAKO,actual,True,-2.1,True,55,True,56,True,6.9,True,0,,,,,,,,
20180407,CHILAKO,actual,True,2.5,True,44,True,7,True,8.6,True,0,,,,,,,,
20180408,CHILAKO,actual,True,8.4,True,46,True,140,True,8.7,True,0.2,,,,,,,,
20180409,CHILAKO,actual,True,12.1,True,44,True,148,True,11.2,True,0.2,,,,,,,,
20180410,CHILAKO,actual,True,10.7,True,42,True,119,True,12,True,0,,,,,,,,
20180411,CHILAKO,actual,True,11.3,True,32,True,112,True,12.6,True,1,,,,,,,,
20180412,CHILAKO,actual,True,7.6,True,42,True,287,True,13.8,True,3.4,,,,,,,,
20180413,CHILAKO,actual,True,2.6,True,75,True,142,True,10.3,True,0,,,,,,,,
20180414,CHILAKO,actual,True,9,True,27,True,222,True,9.4,True,0.4,,,,,,,,
20180415,CHILAKO,actual,True,9.2,True,27,True,13,True,12.6,True,0,,,,,,,,
20180416,CHILAKO,actual,True,6.5,True,37,True,5,True,11.4,True,0,,,,,,,,
20180417,CHILAKO,actual,True,7.7,True,35,True,224,True,11.9,True,0,,,,,,,,
20180418,CHILAKO,actual,True,10,True,37,True,352,True,6.5,True,0,,,,,,,,
20180419,CHILAKO,actual,True,8.2,True,38,True,197,True,9.3,True,0,,,,,,,,
20180420,CHILAKO,actual,True,5.5,True,80,True,168,True,6.3,True,0,,,,,,,,
20180421,CHILAKO,actual,True,6,True,42,True,246,True,13.4,True,0.8,,,,,,,,
20180422,CHILAKO,actual,True,10.3,True,24,True,308,True,7,True,0,,,,,,,,
20180423,CHILAKO,actual,True,13.9,True,19,True,192,True,13,True,0,,,,,,,,
20180424,CHILAKO,actual,True,13.5,True,23,True,77,True,3.8,True,0,,,,,,,,
20180425,CHILAKO,actual,True,14.9,True,29,True,325,True,9.1,True,0,,,,,,,,
20180426,CHILAKO,actual,True,19.7,True,23,True,77,True,5.2,True,0,,,,,,,,
20180427,CHILAKO,actual,True,22.3,True,24,True,191,True,6.2,True,0,,,,,,,,
20180428,CHILAKO,actual,True,18.7,True,28,True,295,True,12.9,True,0,,,,,,,,
20180429,CHILAKO,actual,True,11.8,True,29,True,359,True,10.7,True,0,,,,,,,,
20180430,CHILAKO,actual,True,15.9,True,23,True,291,True,11.5,True,0,,,,,,,,
20180501,CHILAKO,startup,True,13.9,True,30,True,263,True,10.5,True,0,,80,6,15,,,,
20180502,CHILAKO,actual,True,16.6,True,32,True,275,True,16.2,True,0,,87.94907,9.16867,20.392,7.22628,9.113682,7.323724,2
20180503,CHILAKO,actual,True,13.1,True,52,True,196,True,8.2,True,0,,87.63413,10.96309,25.154,4.615971,10.92239,5.250281,2
20180504,CHILAKO,actual,True,11.1,True,63,True,293,True,10.5,True,2.6,,67.51611,9.372785,29.556,0.9805717,10.45604,0.6060556,2
20180505,CHILAKO,actual,True,17.8,True,35,True,164,True,7.3,True,0,,83.50373,12.60701,35.164,2.489722,13.29642,2.996401,2
20180506,CHILAKO,actual,True,20.2,True,29,True,86,True,6.6,True,0,,89.63194,16.58838,41.204,5.67148,16.58522,7.998617,2
20180507,CHILAKO,actual,True,18,True,46,True,283,True,5.6,True,0.2,,89.41283,19.30371,46.848,5.225895,19.28892,8.079848,2
20180508,CHILAKO,actual,True,19,True,40,True,83,True,7.8,True,0,,89.46199,22.47869,52.672,5.879896,22.44571,9.716797,3
20180509,CHILAKO,actual,True,14.3,True,72,True,84,True,8.4,True,0.4,,85.58365,23.6139,57.65001,3.488423,23.6017,6.28371,2
20180510,CHILAKO,actual,True,15.9,True,36,True,283,True,8.5,True,9.2,,61.41619,14.79381,48.69753,0.6830605,16.81617,0.5560297,2
20180511,CHILAKO,actual,True,18.9,True,29,True,268,True,8.8,True,0,,83.6424,18.53218,54.50353,2.734491,20.03431,4.436852,2
20180512,CHILAKO,actual,True,21.8,True,27,True,281,True,10.9,True,0,,90.62415,22.9332,60.83153,8.118701,23.61219,12.97816,3
20180513,CHILAKO,actual,True,22.4,True,25,True,273,True,7.8,True,0,,92.27412,27.57327,67.26752,8.778128,27.5603,14.92259,3
20180514,CHILAKO,actual,True,26.7,True,18,True,293,True,10.7,True,0,,94.65294,33.57468,74.47752,14.15279,33.50807,23.33716,3
20180515,CHILAKO,actual,True,23.1,True,26,True,296,True,8.5,True,0,,94.17589,38.28925,81.03952,11.86101,38.19252,21.94613,3
20180516,CHILAKO,actual,True,22.3,True,24,True,200,True,12.7,True,0,,94.20524,42.97117,87.45752,14.71625,42.84643,26.99586,4
20180517,CHILAKO,actual,True,21.8,True,25,True,25,True,11.8,True,0,,94.01622,47.49276,93.78552,13.70062,47.3434,26.97533,4
20180518,CHILAKO,actual,True,21,True,33,True,65,True,7.3,True,0,,92.7784,51.39094,99.96952,9.189228,51.22585,21.19775,4
20180519,CHILAKO,actual,True,24.5,True,24,True,120,True,9.3,True,0,,93.13628,56.51305,106.7835,10.68627,56.31924,24.74841,4
20180520,CHILAKO,actual,True,17.6,True,54,True,282,True,14.6,True,3.2,,73.21188,45.81717,108.8081,1.465792,45.78503,4.121393,3
