display_name,weather_date,temp_valid,temperature,dewpoint,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,ffmc,isi,fwi
EAST OOTSA,2018040913,True,8.3,0.3,True,57,True,211,True,7.9,True,0,80.70351,1.826045,0.365209
EAST OOTSA,2018040914,True,8.8,0.5,True,56,True,184,True,9,True,0,81.05995,2.008822,0.4017643
EAST OOTSA,2018040915,True,10.7,-0.5,True,46,True,178,True,5.3,True,0,81.57363,1.769319,0.3538638
EAST OOTSA,2018040916,True,9.3,-0.6,True,50,True,132,True,6.3,True,0,81.94988,1.946229,0.3892459
EAST OOTSA,2018040917,True,8.9,-0.7,True,51,True,127,True,4.6,True,0,82.2567,1.854541,0.3709081
EAST OOTSA,2018040918,True,7.3,-0.4,True,58,True,130,True,3.8,True,0,82.41391,1.816211,0.3632421
EAST OOTSA,2018040919,True,3.9,-0.8,True,71,True,130,True,2.2,True,0,82.46076,1.685312,0.3370624
EAST OOTSA,2018040920,True,1.3,-1.8,True,80,True,18,True,6.5,True,0,82.34715,2.063771,0.4127542
EAST OOTSA,2018040921,True,2.7,-1.3,True,75,True,11,True,7.7,True,0,82.34336,2.191385,0.4382769
EAST OOTSA,2018040922,True,1.9,-1.5,True,78,True,24,True,6.7,True,0,82.28099,2.067721,0.4135441
EAST OOTSA,2018040923,True,1.6,-1.5,True,80,True,21,True,6.1,True,0,82.1849,1.982597,0.3965194
EAST OOTSA,2018040924,True,1.7,-1.9,True,77,True,40,True,4.7,True,0,82.1552,1.840848,0.3681697
EAST OOTSA,2018041001,True,1.1,-1.6,True,82,True,18,True,4.8,True,0,82.03049,1.822246,0.3644491
EAST OOTSA,2018041002,True,0.7,-2,True,82,True,356,True,6.1,True,0,81.90752,1.916893,0.3833786
EAST OOTSA,2018041003,True,0.2,-2.4,True,83,True,12,True,5,True,0,81.7749,1.784907,0.3569814
EAST OOTSA,2018041004,True,0.2,-2.2,True,84,True,328,True,4.2,True,0,81.63451,1.685998,0.3371996
EAST OOTSA,2018041005,True,1.3,-3,True,73,True,306,True,7.4,True,0,81.68111,1.991983,0.3983966
EAST OOTSA,2018041006,True,0.5,-2.7,True,79,True,340,True,5.6,True,0,81.64262,1.810972,0.3621943
EAST OOTSA,2018041007,True,1.8,-3.4,True,68,True,38,True,7.9,True,0,81.68922,2.044776,0.4089552
EAST OOTSA,2018041008,True,2.8,-3.3,True,64,True,22,True,4.3,True,0,81.76577,1.721166,0.3442332
EAST OOTSA,2018041009,True,2.9,-3.4,True,63,True,43,True,7.9,True,0,81.85331,2.085248,0.4170496
EAST OOTSA,2018041010,True,3.9,-3.4,True,59,True,58,True,6.3,True,0,81.98793,1.955205,0.391041
EAST OOTSA,2018041011,True,7.7,-3,True,47,True,120,True,10.6,True,0,82.37434,2.545937,0.5091874
EAST OOTSA,2018041012,True,13.2,-2.8,True,33,True,148,True,13.3,True,0,83.24984,3.259187,0.6518374
EAST OOTSA,2018041013,True,8.4,-2.3,True,47,True,236,True,32.3,True,0,83.61712,8.906549,3.037094
EAST OOTSA,2018041014,True,7.7,-3.6,True,45,True,228,True,15.8,True,0,83.91767,4.035301,0.8070602
EAST OOTSA,2018041015,True,8.1,-5.8,True,37,True,250,True,13.6,True,0,84.34611,3.825188,0.7650377
EAST OOTSA,2018041016,True,8,-7,True,34,True,233,True,10.5,True,0,84.77373,3.467609,0.6935219
EAST OOTSA,2018041017,True,8.1,-8.6,True,30,True,233,True,13.6,True,0,85.27067,4.340626,0.8681251
EAST OOTSA,2018041018,True,5.5,-8.2,True,37,True,216,True,9.6,True,0,85.49454,3.660185,0.7320369
