weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,EAST OOTSA,actual,True,-4,True,62,True,10,True,9.4,True,0,,,,,,,,
20180402,EAST OOTSA,actual,True,-1,True,31,True,105,True,7.4,True,5,,,,,,,,
20180405,EAST OOTSA,actual,True,-6.8,True,62,True,70,True,12.2,True,0,,,,,,,,
20180406,EAST OOTSA,actual,True,-4.4,True,66,True,34,True,7.6,True,0,,,,,,,,
20180407,EAST OOTSA,actual,True,-2.2,True,74,True,24,True,11.9,True,0.2,,,,,,,,
20180408,EAST OOTSA,actual,True,7.2,True,65,True,141,True,4.8,True,5.6,,,,,,,,
20180409,EAST OOTSA,actual,True,6.6,True,66,True,196,True,7.2,True,5.8,,,,,,,,
20180410,EAST OOTSA,actual,True,13.2,True,33,True,148,True,13.3,True,0,,,,,,,,
20180411,EAST OOTSA,actual,True,7.9,True,40,True,128,True,9.9,True,0,,,,,,,,
20180412,EAST OOTSA,actual,True,5.1,True,40,True,233,True,7.8,True,1,,,,,,,,
20180413,EAST OOTSA,actual,True,0.2,True,86,True,130,True,9.6,True,0.2,,,,,,,,
20180414,EAST OOTSA,actual,True,5.7,True,38,True,229,True,11,True,1.2,,,,,,,,
20180415,EAST OOTSA,actual,True,7.6,True,38,True,49,True,8.5,True,0,,,,,,,,
20180416,EAST OOTSA,actual,True,3.5,True,42,True,28,True,9.4,True,0,,,,,,,,
20180417,EAST OOTSA,actual,True,4.4,True,38,True,295,True,16,True,0,,,,,,,,
20180418,EAST OOTSA,actual,True,5.9,True,45,True,267,True,8.6,True,0,,,,,,,,
20180419,EAST OOTSA,actual,True,5.6,True,45,True,184,True,10,True,0,,,,,,,,
20180420,EAST OOTSA,actual,True,9.1,True,42,True,181,True,10.4,True,0,,,,,,,,
20180421,EAST OOTSA,actual,True,7,True,30,True,278,True,17.7,True,0.8,,,,,,,,
20180422,EAST OOTSA,actual,True,7.4,True,33,True,219,True,8.3,True,0,,,,,,,,
20180423,EAST OOTSA,actual,True,12.6,True,25,True,191,True,12.2,True,0,,,,,,,,
20180424,EAST OOTSA,actual,True,8.4,True,37,True,18,True,10.9,True,0,,,,,,,,
20180425,EAST OOTSA,actual,True,16.1,True,26,True,200,True,5.2,True,0,,,,,,,,
20180426,EAST OOTSA,actual,True,19,True,22,True,137,True,9.2,True,0,,,,,,,,
20180427,EAST OOTSA,actual,True,20.6,True,15,True,156,True,6.5,True,0,,,,,,,,
20180428,EAST OOTSA,actual,True,15.6,True,22,True,324,True,10.7,True,0,,,,,,,,
20180429,EAST OOTSA,actual,True,10.6,True,21,True,343,True,8,True,0,,,,,,,,
20180430,EAST OOTSA,actual,True,14.8,True,23,True,288,True,11,True,0,,,,,,,,
20180501,EAST OOTSA,actual,True,13.5,True,32,True,99,True,6.8,True,0,,,,,,,,
20180502,EAST OOTSA,actual,True,13.7,True,31,True,291,True,13.1,True,0,,,,,,,,
20180503,EAST OOTSA,actual,True,14.5,True,39,True,264,True,10.8,True,0,,,,,,,,
20180504,EAST OOTSA,actual,True,9.1,True,55,True,291,True,12.2,True,0.6,,,,,,,,
20180505,EAST OOTSA,actual,True,13.3,True,43,True,342,True,4.8,True,0.2,,,,,,,,
20180506,EAST OOTSA,actual,True,17,True,35,True,130,True,6.5,True,0,,,,,,,,
20180507,EAST OOTSA,actual,True,13.5,True,55,True,320,True,7.6,True,3.2,,,,,,,,
20180508,EAST OOTSA,actual,True,17.5,True,32,True,125,True,11.3,True,0,,,,,,,,
20180509,EAST OOTSA,actual,True,8.4,True,78,True,320,True,11.5,True,3.6,,,,,,,,
20180510,EAST OOTSA,actual,True,11.2,True,52,True,150,True,5.7,True,5.8,,,,,,,,
20180511,EAST OOTSA,actual,True,15.6,True,36,True,39,True,7.7,True,0,,,,,,,,
20180512,EAST OOTSA,actual,True,18,True,37,True,40,True,8.2,True,0,,,,,,,,
20180513,EAST OOTSA,actual,True,20.7,True,26,True,98,True,5.8,True,0,,,,,,,,
20180514,EAST OOTSA,startup,True,23.4,True,15,True,289,True,13.1,True,0,,60,6,15,,,,
20180515,EAST OOTSA,actual,True,21.7,True,19,True,237,True,9.3,True,0,,87.05988,10.862,21.31,4.495118,10.74758,5.066311,2
20180516,EAST OOTSA,actual,True,17.8,True,29,True,72,True,3.9,True,0,,89.91183,14.39476,26.918,5.152719,14.25545,6.75614,2
20180517,EAST OOTSA,actual,True,19.8,True,27,True,85,True,10.6,True,0,,91.40299,18.41141,32.886,8.935352,18.24648,12.29915,2
20180518,EAST OOTSA,actual,True,19.4,True,30,True,67,True,8.1,True,0,,91.45281,22.18928,38.782,7.933688,22.00924,12.29272,3
20180519,EAST OOTSA,actual,True,21.3,True,27,True,128,True,8.6,True,0,,91.90297,26.4942,45.02,8.672317,26.29385,14.43439,3
20180520,EAST OOTSA,actual,True,12.9,True,62,True,240,True,9.9,True,1.8,,75.4483,25.84887,49.746,1.294087,25.71291,2.139525,2
20180521,EAST OOTSA,actual,True,13.2,True,44,True,217,True,12.6,True,0,,83.63966,27.95711,54.526,3.310395,27.8258,6.621312,2
20180522,EAST OOTSA,actual,True,17.2,True,36,True,202,True,8,True,0,,87.95401,31.04048,60.026,4.783798,30.90115,9.753539,3
20180523,EAST OOTSA,actual,True,22.4,True,28,True,130,True,7.3,True,0,,91.22777,35.49494,66.462,7.38031,35.33207,14.85797,3
20180524,EAST OOTSA,actual,True,15.4,True,49,True,262,True,9.8,True,0.2,,89.22167,37.71032,71.638,6.282892,37.55231,13.55006,3
20180525,EAST OOTSA,actual,True,6.1,True,72,True,275,True,17.6,True,0,,84.92146,38.24106,75.14,5.060477,38.10159,11.49889,3
20180526,EAST OOTSA,actual,True,6.2,True,72,True,220,True,15.2,True,0.2,,83.59529,38.77918,78.66,3.751858,38.65737,9.038057,3
20180527,EAST OOTSA,actual,True,12.6,True,58,True,223,True,14.5,True,0,,84.43834,40.29401,83.33199,4.052848,40.18184,9.871839,3
20180528,EAST OOTSA,actual,True,11.1,True,30,True,269,True,16.3,True,0,,88.22127,42.5423,87.73399,7.551762,42.42599,16.64705,3
20180529,EAST OOTSA,actual,True,7.4,True,48,True,259,True,12.6,True,0,,87.61416,43.70594,91.46999,5.745296,43.59726,13.70576,3
