weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,FORT ST JAMES,actual,True,1,True,24,True,4,True,17.2,True,0,,,,,,,,
20180402,FORT ST JAMES,actual,True,2.6,True,21,True,4,True,7.2,True,0,,,,,,,,
20180403,FORT ST JAMES,actual,True,-1.6,True,60,True,4,True,7.7,True,0.2,,,,,,,,
20180404,FORT ST JAMES,actual,True,-1,True,39,True,4,True,8.9,True,1,,,,,,,,
20180405,FORT ST JAMES,actual,True,-2.4,True,31,True,5,True,15.4,True,0,,,,,,,,
20180406,FORT ST JAMES,actual,True,-0.3,True,31,True,4,True,11.7,True,0,,,,,,,,
20180407,FORT ST JAMES,actual,True,0.5,True,50,True,4,True,14.5,True,0,,,,,,,,
20180408,FORT ST JAMES,actual,True,8,True,30,True,3,True,8.4,True,0,,,,,,,,
20180409,FORT ST JAMES,actual,True,11,True,41,True,3,True,4.1,True,0,,,,,,,,
20180410,FORT ST JAMES,actual,True,8.6,True,47,True,4,True,22,True,0,,,,,,,,
20180411,FORT ST JAMES,actual,True,6.4,True,59,True,4,True,11.6,True,5.2,,,,,,,,
20180412,FORT ST JAMES,actual,True,6.3,True,52,True,4,True,13.6,True,3.6,,,,,,,,
20180413,FORT ST JAMES,actual,True,5.3,True,42,True,4,True,16.5,True,0,,,,,,,,
20180414,FORT ST JAMES,actual,True,7.4,True,33,True,4,True,17.6,True,1.6,,,,,,,,
20180415,FORT ST JAMES,actual,True,8.3,True,42,True,4,True,7.7,True,0,,,,,,,,
20180416,FORT ST JAMES,actual,True,6.1,True,36,True,4,True,20.1,True,0,,,,,,,,
20180417,FORT ST JAMES,actual,True,6.6,True,41,True,4,True,10.4,True,0,,,,,,,,
20180418,FORT ST JAMES,actual,True,8,True,34,True,4,True,14.8,True,0,,,,,,,,
20180419,FORT ST JAMES,actual,True,6.6,True,40,True,4,True,16.6,True,0,,,,,,,,
20180420,FORT ST JAMES,actual,True,4,True,75,True,4,True,12.6,True,0,,,,,,,,
20180421,FORT ST JAMES,actual,True,5.5,True,53,True,4,True,20.6,True,4,,,,,,,,
20180422,FORT ST JAMES,actual,True,9.4,True,33,True,3,True,8.3,True,0,,,,,,,,
20180423,FORT ST JAMES,actual,True,11.9,True,26,True,3,True,14,True,0,,,,,,,,
20180424,FORT ST JAMES,actual,True,6.6,True,54,True,4,True,7,True,0,,,,,,,,
20180425,FORT ST JAMES,actual,True,13.8,True,34,True,3,True,6.4,True,0,,,,,,,,
20180426,FORT ST JAMES,actual,True,19.8,True,25,True,3,True,3.5,True,0,,,,,,,,
20180427,FORT ST JAMES,actual,True,18.2,True,30,True,3,True,7.4,True,0,,,,,,,,
20180428,FORT ST JAMES,actual,True,15.7,True,30,True,3,True,16.4,True,0,,,,,,,,
20180429,FORT ST JAMES,startup,True,10.5,True,28,True,3,True,12.8,True,0,,80,6,15,,,,
20180430,FORT ST JAMES,actual,True,14.3,True,24,True,3,True,13.2,True,0,90,88.62608,8.837424,18.528,6.845935,8.754897,6.837683,2
20180501,FORT ST JAMES,actual,True,12.6,True,33,True,3,True,14.2,True,0,90,89.13107,11.25394,23.2,7.741072,11.16257,8.580968,2
20180502,FORT ST JAMES,actual,True,15.3,True,33,True,3,True,16.6,True,0,90,89.61909,14.14671,28.358,9.369962,14.04058,11.24866,2
20180503,FORT ST JAMES,actual,True,10.1,True,71,True,4,True,7.4,True,0.6,90,84.82201,15.0018,32.58,2.985775,14.93366,4.015513,2
20180504,FORT ST JAMES,actual,True,10.7,True,56,True,3,True,6.4,True,0.8,90,81.85915,16.36868,36.91,1.934801,16.31828,2.525114,2
20180505,FORT ST JAMES,actual,True,16.4,True,37,True,3,True,12.4,True,0,90,87.35866,19.27118,42.266,5.483793,19.20608,8.408768,2
20180506,FORT ST JAMES,actual,True,18,True,34,True,3,True,8.5,True,0,90,89.37497,22.58991,47.91,6.015414,22.50625,9.919028,3
20180507,FORT ST JAMES,actual,True,16.9,True,40,True,3,True,6.4,True,0,90,89.42412,25.43319,53.356,5.449693,25.34207,9.740124,3
20180508,FORT ST JAMES,actual,True,21.3,True,26,True,2,True,8.2,True,0,90,91.69731,29.79708,59.594,8.255259,29.67714,14.78565,3
20180509,FORT ST JAMES,actual,True,10.9,True,81,True,3,True,7.8,True,0.6,90,83.84805,30.39733,63.96,2.671705,30.30404,5.700238,2
20180510,FORT ST JAMES,actual,True,15.8,True,41,True,3,True,20.8,True,2.6,90,77.15263,27.55034,69.208,2.511883,27.61661,5.040501,2
20180511,FORT ST JAMES,actual,True,18.5,True,31,True,3,True,12.7,True,0,90,87.78487,31.11075,74.942,5.917096,31.09049,11.66067,3
20180512,FORT ST JAMES,actual,True,18.8,True,33,True,3,True,17.7,True,0,90,89.88017,34.62088,80.73,10.28172,34.58169,18.83941,3
20180513,FORT ST JAMES,actual,True,21,True,29,True,2,True,5.9,True,0,90,91.17957,38.75178,86.914,6.830591,38.68838,14.69032,3
20180514,FORT ST JAMES,actual,True,25.1,True,20,True,2,True,14,True,0,90,93.8679,44.26984,93.836,14.99523,44.16834,27.74978,4
20180515,FORT ST JAMES,actual,True,20.9,True,26,True,2,True,13.9,True,0,90,93.65839,48.55581,100.002,14.49181,48.43158,28.34462,4
20180516,FORT ST JAMES,actual,True,22.1,True,14,True,2,True,10.4,True,0,90,95.02446,53.80849,106.384,14.66971,53.65015,30.03471,4
20180517,FORT ST JAMES,actual,True,21.7,True,25,True,2,True,14.8,True,0,90,94.24294,58.31034,112.694,16.44436,58.12866,33.70071,4
20180518,FORT ST JAMES,actual,True,20.9,True,31,True,2,True,12,True,0,90,93.04751,62.30671,118.86,12.09256,62.10795,28.30235,4
20180519,FORT ST JAMES,actual,True,25.4,True,24,True,2,True,8.2,True,0,90,93.30376,67.60889,125.836,10.34949,67.38007,26.49351,4
