weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,GRASSY PLAINS HUB,actual,True,-2.3,True,32,True,15,True,14.4,True,0.2,,,,,,,,
20180402,GRASSY PLAINS HUB,actual,True,-1.1,True,26,True,163,True,7,True,0.8,,,,,,,,
20180403,GRASSY PLAINS HUB,actual,True,-1.2,True,63,True,76,True,12.8,True,1,,,,,,,,
20180404,GRASSY PLAINS HUB,actual,True,-2.7,True,56,True,87,True,9.9,True,0.6,,,,,,,,
20180405,GRASSY PLAINS HUB,actual,True,-5.5,True,42,True,55,True,16.5,True,0,,,,,,,,
20180406,GRASSY PLAINS HUB,actual,True,-5.5,True,74,True,34,True,11,True,0,,,,,,,,
20180407,GRASSY PLAINS HUB,actual,True,-1.2,True,69,True,28,True,7.9,True,1.4,,,,,,,,
20180408,GRASSY PLAINS HUB,actual,True,4.9,True,54,True,259,True,6.9,True,1.6,,,,,,,,
20180409,GRASSY PLAINS HUB,actual,True,6.7,True,70,True,197,True,9.5,True,0,,,,,,,,
20180410,GRASSY PLAINS HUB,actual,True,8,True,53,True,102,True,19,True,0,,,,,,,,
20180411,GRASSY PLAINS HUB,actual,True,6.9,True,50,True,72,True,13.5,True,0,,,,,,,,
20180412,GRASSY PLAINS HUB,actual,True,4.1,True,47,True,246,True,15.1,True,1.2,,,,,,,,
20180413,GRASSY PLAINS HUB,actual,True,0.7,True,85,True,77,True,10.1,True,0,,,,,,,,
20180414,GRASSY PLAINS HUB,actual,True,4.3,True,43,True,258,True,17.6,True,0.8,,,,,,,,
20180415,GRASSY PLAINS HUB,actual,True,10,True,30,True,43,True,4.4,True,0,,,,,,,,
20180416,GRASSY PLAINS HUB,actual,True,5,True,42,True,25,True,7.5,True,0,,,,,,,,
20180417,GRASSY PLAINS HUB,actual,True,4.4,True,42,True,238,True,26.9,True,0,,,,,,,,
20180418,GRASSY PLAINS HUB,actual,True,4.9,True,47,True,231,True,18.2,True,0,,,,,,,,
20180419,GRASSY PLAINS HUB,actual,True,4.4,True,53,True,160,True,16.2,True,0,,,,,,,,
20180420,GRASSY PLAINS HUB,actual,True,5.5,True,54,True,151,True,10,True,0,,,,,,,,
20180421,GRASSY PLAINS HUB,actual,True,4.3,True,45,True,241,True,35.1,True,1.4,,,,,,,,
20180422,GRASSY PLAINS HUB,actual,True,7.9,True,35,True,252,True,6.9,True,0,,,,,,,,
20180423,GRASSY PLAINS HUB,actual,True,12,True,32,True,321,True,5.3,True,0,,,,,,,,
20180424,GRASSY PLAINS HUB,actual,True,8,True,51,True,338,True,6.5,True,0,,,,,,,,
20180425,GRASSY PLAINS HUB,actual,True,13.9,True,31,True,210,True,3.2,True,0,,,,,,,,
20180426,GRASSY PLAINS HUB,actual,True,17.1,True,30,True,41,True,9.2,True,0,,,,,,,,
20180427,GRASSY PLAINS HUB,actual,True,17.7,True,22,True,241,True,5.5,True,0,,,,,,,,
20180428,GRASSY PLAINS HUB,actual,True,11.2,True,29,True,254,True,16.9,True,0,,,,,,,,
