weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,HOLY CROSS 2,actual,True,0.6,True,30,True,353,True,9.9,True,0,,,,,,,,
20180402,HOLY CROSS 2,actual,True,1.3,True,20,True,100,True,9.4,True,0,,,,,,,,
20180403,HOLY CROSS 2,actual,True,-0.2,True,56,True,85,True,9,True,0,,,,,,,,
20180404,HOLY CROSS 2,actual,True,0.1,True,45,True,51,True,7.7,True,0,,,,,,,,
20180405,HOLY CROSS 2,actual,True,-4.2,True,38,True,97,True,17.3,True,0,,,,,,,,
20180406,HOLY CROSS 2,actual,True,-3.7,True,51,True,92,True,10.1,True,0,,,,,,,,
20180407,HOLY CROSS 2,actual,True,-0.6,True,54,True,97,True,11,True,0,,,,,,,,
20180408,HOLY CROSS 2,actual,True,10.1,True,27,True,241,True,5,True,0,,,,,,,,
20180409,HOLY CROSS 2,actual,True,8.1,True,61,True,216,True,11.9,True,0,,,,,,,,
20180410,HOLY CROSS 2,actual,True,6.8,True,56,True,105,True,12.8,True,0,,,,,,,,
20180411,HOLY CROSS 2,actual,True,9,True,47,True,91,True,13.6,True,0,,,,,,,,
20180412,HOLY CROSS 2,actual,True,8.7,True,35,True,268,True,14.2,True,0,,,,,,,,
20180413,HOLY CROSS 2,actual,True,2.3,True,67,True,146,True,16.5,True,14.4,,,,,,,,
20180414,HOLY CROSS 2,actual,True,11.7,True,26,True,234,True,9.5,True,1.4,,,,,,,,
20180415,HOLY CROSS 2,actual,True,11.2,True,32,True,34,True,7,True,6.6,,,,,,,,
20180416,HOLY CROSS 2,actual,True,5,True,42,True,26,True,10.9,True,8.8,,,,,,,,
20180417,HOLY CROSS 2,actual,True,6.9,True,35,True,280,True,13.1,True,5.4,,,,,,,,
20180418,HOLY CROSS 2,actual,True,9.3,True,36,True,280,True,13.2,True,10.8,,,,,,,,
20180419,HOLY CROSS 2,actual,True,5.6,True,46,True,187,True,15.6,True,8.8,,,,,,,,
20180420,HOLY CROSS 2,actual,True,5.3,True,77,True,140,True,6.5,True,6.2,,,,,,,,
20180421,HOLY CROSS 2,actual,True,7.8,True,36,True,255,True,22.6,True,18.8,,,,,,,,
20180422,HOLY CROSS 2,actual,True,9.2,True,30,True,291,True,9.6,True,14,,,,,,,,
20180423,HOLY CROSS 2,actual,True,14.3,True,22,True,164,True,10,True,16.8,,,,,,,,
20180424,HOLY CROSS 2,actual,True,9.3,True,46,True,280,True,11.2,True,16.8,,,,,,,,
20180425,HOLY CROSS 2,actual,True,15.2,True,31,True,275,True,11.3,True,0.8,,,,,,,,
20180426,HOLY CROSS 2,actual,True,19.3,True,25,True,104,True,8.1,True,0,,,,,,,,
20180427,HOLY CROSS 2,actual,True,21.2,True,18,True,341,True,6.3,True,0,,,,,,,,
20180428,HOLY CROSS 2,actual,True,16.4,True,24,True,295,True,12.7,True,0,,,,,,,,
20180429,HOLY CROSS 2,actual,True,13,True,24,True,262,True,5.9,True,0,,,,,,,,
20180430,HOLY CROSS 2,actual,True,14.1,True,28,True,275,True,13.2,True,0,,,,,,,,
20180501,HOLY CROSS 2,actual,True,12.4,True,34,True,296,True,14.6,True,0,,,,,,,,
20180502,HOLY CROSS 2,actual,True,14.2,True,36,True,279,True,20.1,True,0,,,,,,,,
20180503,HOLY CROSS 2,actual,True,10.6,True,54,True,217,True,7.2,True,0,,,,,,,,
20180504,HOLY CROSS 2,actual,True,10.1,True,56,True,283,True,12.1,True,0.4,,,,,,,,
20180505,HOLY CROSS 2,actual,True,14.9,True,42,True,294,True,10.3,True,0,,,,,,,,
20180506,HOLY CROSS 2,actual,True,19.3,True,31,True,273,True,6.7,True,0,,,,,,,,
20180507,HOLY CROSS 2,actual,True,13.8,True,66,True,273,True,8.9,True,0.8,,,,,,,,
20180508,HOLY CROSS 2,actual,True,19.4,True,37,True,95,True,9.4,True,0,,,,,,,,
20180509,HOLY CROSS 2,actual,True,8.2,True,98,True,282,True,5.4,True,5.6,,,,,,,,
20180510,HOLY CROSS 2,actual,True,15.2,True,39,True,272,True,14.3,True,1.4,,,,,,,,
20180511,HOLY CROSS 2,actual,True,16.9,True,35,True,294,True,12.7,True,0,,,,,,,,
20180512,HOLY CROSS 2,actual,True,18.7,True,33,True,303,True,12.5,True,0,,,,,,,,
20180513,HOLY CROSS 2,actual,True,20.7,True,28,True,38,True,8.3,True,0,,,,,,,,
20180514,HOLY CROSS 2,actual,True,24.5,True,20,True,270,True,11.1,True,0,,,,,,,,
20180515,HOLY CROSS 2,startup,True,21.3,True,26,True,315,True,11.1,True,0,,85,15,15,,,,
20180516,HOLY CROSS 2,actual,True,21.2,True,25,True,307,True,8.4,True,0,,91.00935,19.40312,21.22,7.562092,19.01298,10.97225,2
