weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,HOUSTON,actual,True,0.9,True,31,True,18,True,2.2,True,0,,,,,,,,
20180402,HOUSTON,actual,True,2.8,True,24,True,259,True,1.6,True,0,,,,,,,,
20180403,HOUSTON,actual,True,-2,True,77,True,22,True,13.4,True,0,,,,,,,,
20180404,HOUSTON,actual,True,-1.3,True,54,True,39,True,13.9,True,1.8,,,,,,,,
20180405,HOUSTON,actual,True,-2.9,True,37,True,75,True,13.1,True,0.2,,,,,,,,
20180406,HOUSTON,actual,True,-4.4,True,70,True,33,True,10.5,True,0,,,,,,,,
20180407,HOUSTON,actual,True,1.6,True,65,True,44,True,6.3,True,0.8,,,,,,,,
20180408,HOUSTON,actual,True,7.4,True,54,True,327,True,7.3,True,0,,,,,,,,
20180409,HOUSTON,actual,True,9.8,True,59,True,198,True,10.6,True,0,,,,,,,,
20180410,HOUSTON,actual,True,6.4,True,73,True,279,True,4.3,True,0.6,,,,,,,,
20180411,HOUSTON,actual,True,8,True,48,True,76,True,16.3,True,1.6,,,,,,,,
20180412,HOUSTON,actual,True,7.8,True,39,True,222,True,14.9,True,0.4,,,,,,,,
20180413,HOUSTON,actual,True,5.1,True,52,True,151,True,12.7,True,0,,,,,,,,
20180414,HOUSTON,actual,True,8,True,41,True,214,True,10.4,True,1.6,,,,,,,,
20180415,HOUSTON,actual,True,8.5,True,49,True,242,True,7.2,True,0,,,,,,,,
20180416,HOUSTON,actual,True,5.1,True,49,True,12,True,11.1,True,0,,,,,,,,
20180417,HOUSTON,actual,True,7.5,True,42,True,250,True,12.6,True,0,,,,,,,,
20180418,HOUSTON,actual,True,8.6,True,48,True,183,True,8.9,True,0,,,,,,,,
20180419,HOUSTON,actual,True,7.6,True,51,True,177,True,14,True,0,,,,,,,,
20180420,HOUSTON,actual,True,9,True,45,True,161,True,13.1,True,0,,,,,,,,
20180421,HOUSTON,actual,True,8.2,True,40,True,222,True,19.6,True,1.2,,,,,,,,
20180422,HOUSTON,actual,True,8.5,True,40,True,268,True,8.8,True,0,,,,,,,,
20180423,HOUSTON,actual,True,9.6,True,44,True,267,True,11.3,True,0,,,,,,,,
20180424,HOUSTON,actual,True,11.1,True,47,True,332,True,5.6,True,0,,,,,,,,
20180425,HOUSTON,startup,True,13.8,True,35,True,208,True,8,True,0,,60,6,15,,,,
20180426,HOUSTON,actual,True,19,True,33,True,272,True,3.4,True,0,,80.71638,9.264832,19.374,1.457642,9.18095,0.8400595,2
20180427,HOUSTON,actual,True,18.3,True,33,True,203,True,7.2,True,0,,87.84648,12.41596,23.622,4.524564,12.28623,5.496141,2
20180428,HOUSTON,actual,True,14.5,True,29,True,324,True,24.3,True,0,,89.92733,15.10114,27.186,14.43566,14.94326,16.23573,2
20180429,HOUSTON,actual,True,11.3,True,24,True,303,True,9.3,True,0,,90.70882,17.38582,30.174,7.580941,17.20825,10.45003,2
20180430,HOUSTON,actual,True,14.6,True,32,True,271,True,14.8,True,0,,90.75842,19.97402,33.756,10.07302,19.78054,14.06212,3
20180501,HOUSTON,actual,True,13.5,True,43,True,279,True,6.9,True,0,,89.71825,22.16492,38.59,5.829577,21.98302,9.538284,3
20180502,HOUSTON,actual,True,15.7,True,35,True,211,True,15.3,True,0,,89.76751,25.03979,43.82,8.964609,24.85649,14.39253,3
20180503,HOUSTON,actual,True,12.7,True,52,True,259,True,12.8,True,0,,88.12978,26.78366,48.51,6.24823,26.6154,11.20301,3
20180504,HOUSTON,actual,True,12.4,True,53,True,274,True,10.6,True,0,,87.49476,28.45408,53.146,5.106601,28.29957,9.80551,3
20180505,HOUSTON,actual,True,17.4,True,41,True,214,True,10.8,True,0,,88.31399,31.32763,58.682,5.800445,31.17086,11.49058,3
20180506,HOUSTON,actual,True,18.6,True,37,True,262,True,5.6,True,0,,89.21146,34.59502,64.434,5.077033,34.43054,10.89248,3
20180507,HOUSTON,actual,True,19.5,True,41,True,271,True,11.1,True,0,,89.26056,37.79476,70.348,6.745795,37.62503,14.33466,3
20180508,HOUSTON,actual,True,20.4,True,38,True,314,True,6.7,True,0,,89.55081,41.30409,76.424,5.634189,41.12518,13.07165,3
20180509,HOUSTON,actual,True,9.4,True,96,True,272,True,6.7,True,3.6,,44.15875,30.66694,76.44693,0.1009522,30.66537,0.1209737,2
20180510,HOUSTON,actual,True,16.2,True,51,True,210,True,9.9,True,3.6,,58.39805,24.53394,77.69363,0.6054631,27.42072,0.6732563,2
20180511,HOUSTON,actual,True,17.3,True,48,True,156,True,7.1,True,0,,77.4456,27.05286,83.21162,1.288087,29.84694,2.455831,2
20180512,HOUSTON,actual,True,18.2,True,45,True,251,True,9.9,True,0,,85.20291,29.84743,88.89162,3.56872,32.45286,7.789872,3
20180513,HOUSTON,actual,True,20.6,True,42,True,257,True,7.8,True,0,,88.06026,33.1609,95.00362,4.80848,35.41655,10.58336,3
20180514,HOUSTON,actual,True,24.4,True,26,True,223,True,13.9,True,0,,92.1394,38.12873,101.7996,11.71216,39.38171,22.08177,3
20180515,HOUSTON,actual,True,19.6,True,27,True,206,True,7.4,True,0,,92.18947,42.10695,107.7316,8.500813,42.59409,18.21627,4
20180516,HOUSTON,actual,True,21.4,True,26,True,246,True,4.9,True,0,,92.23955,46.49032,113.9876,7.547789,46.47808,17.45822,4
20180517,HOUSTON,actual,True,22.2,True,34,True,246,True,6.7,True,0,,92.21226,50.53883,120.3876,8.232629,50.50714,19.43679,4
20180518,HOUSTON,actual,True,21.3,True,30,True,336,True,9.4,True,0,,92.26234,54.66684,126.6256,9.499373,54.61468,22.42837,4
20180519,HOUSTON,actual,True,24.3,True,41,True,37,True,7.5,True,0,,91.49726,58.61214,133.4036,7.746152,58.54537,20.08523,4
20180520,HOUSTON,actual,True,18.2,True,58,True,248,True,8.6,True,6.8,,60.57356,36.5345,127.242,0.6539698,42.536,0.9815327,3
20180521,HOUSTON,actual,True,15.4,True,45,True,199,True,8.6,True,0,,78.3615,38.92363,132.418,1.498813,44.87228,4.157727,3
20180522,HOUSTON,actual,True,16.3,True,53,True,188,True,7.1,True,0,,83.62411,41.07662,137.756,2.50397,47.06682,7.143282,3
