weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,KLUSKUS,actual,True,-1.2,True,41,True,321,True,11.6,True,5,,,,,,,,
20180402,KLUSKUS,actual,True,1.4,True,22,True,50,True,6.3,True,0,,,,,,,,
20180403,KLUSKUS,actual,True,3.5,True,45,True,132,True,14.7,True,0,,,,,,,,
20180404,KLUSKUS,actual,True,-2,True,54,True,18,True,9,True,0.4,,,,,,,,
20180405,KLUSKUS,actual,True,-6,True,47,True,35,True,10.3,True,0,,,,,,,,
20180406,KLUSKUS,actual,True,-0.4,True,60,True,62,True,5,True,3.8,,,,,,,,
20180407,KLUSKUS,actual,True,-1,True,80,True,341,True,6.9,True,2.6,,,,,,,,
20180408,KLUSKUS,actual,True,5.6,True,68,True,260,True,3.1,True,6,,,,,,,,
20180409,KLUSKUS,actual,True,7.7,True,60,True,208,True,8.4,True,0.2,,,,,,,,
20180410,KLUSKUS,actual,True,11,True,43,True,124,True,20.5,True,0,,,,,,,,
20180411,KLUSKUS,actual,True,7.7,True,38,True,106,True,14.2,True,0.6,,,,,,,,
20180412,KLUSKUS,actual,True,4.7,True,48,True,278,True,9.3,True,3,,,,,,,,
20180413,KLUSKUS,actual,True,-0.6,True,91,True,99,True,11,True,0,,,,,,,,
20180414,KLUSKUS,actual,True,7.2,True,29,True,221,True,13.7,True,1,,,,,,,,
20180415,KLUSKUS,actual,True,4.5,True,48,True,50,True,4.8,True,2,,,,,,,,
20180416,KLUSKUS,actual,True,4,True,46,True,0,True,11.8,True,0,,,,,,,,
20180417,KLUSKUS,actual,True,4.4,True,40,True,251,True,13.1,True,0,,,,,,,,
20180418,KLUSKUS,actual,True,7.4,True,45,True,1,True,8.4,True,0,,,,,,,,
20180419,KLUSKUS,actual,True,6.2,True,36,True,174,True,11.2,True,0,,,,,,,,
20180420,KLUSKUS,actual,True,7.2,True,59,True,140,True,9.6,True,0.4,,,,,,,,
20180421,KLUSKUS,actual,True,6,True,44,True,249,True,14.2,True,3.8,,,,,,,,
20180422,KLUSKUS,actual,True,8.1,True,30,True,266,True,7.4,True,0,,,,,,,,
20180423,KLUSKUS,actual,True,14.8,True,19,True,115,True,11,True,0,,,,,,,,
20180424,KLUSKUS,actual,True,13.3,True,23,True,254,True,11,True,0,,,,,,,,
20180425,KLUSKUS,actual,True,14.7,True,26,True,338,True,8.5,True,0,,,,,,,,
20180426,KLUSKUS,actual,True,19.7,True,22,True,58,True,8.4,True,0,,,,,,,,
20180427,KLUSKUS,actual,True,21.3,True,19,True,14,True,7.7,True,0,,,,,,,,
20180428,KLUSKUS,actual,True,14.4,True,28,True,244,True,10,True,0,,,,,,,,
20180429,KLUSKUS,actual,True,10,True,27,True,325,True,9,True,0,,,,,,,,
20180430,KLUSKUS,actual,True,12.8,True,25,True,245,True,11.1,True,0,,,,,,,,
20180501,KLUSKUS,actual,True,11.8,True,36,True,225,True,11.4,True,0,,,,,,,,
20180502,KLUSKUS,actual,True,13.4,True,36,True,272,True,11.5,True,0,,,,,,,,
20180503,KLUSKUS,actual,True,11.8,True,64,True,62,True,4.8,True,0.4,,,,,,,,
20180504,KLUSKUS,actual,True,8.7,True,65,True,222,True,9.4,True,1.8,,,,,,,,
20180505,KLUSKUS,actual,True,14.9,True,39,True,90,True,6.7,True,0,,,,,,,,
20180506,KLUSKUS,actual,True,18.4,True,33,True,112,True,9.1,True,0,,,,,,,,
20180507,KLUSKUS,actual,True,14.7,True,54,True,240,True,8.9,True,1.6,,,,,,,,
20180508,KLUSKUS,actual,True,16.6,True,35,True,130,True,10,True,0,,,,,,,,
20180509,KLUSKUS,actual,True,10.5,True,79,True,17,True,4.5,True,1.2,,,,,,,,
20180510,KLUSKUS,startup,True,11.5,True,48,True,310,True,8.7,True,4.6,,60,6,15,,,,
20180511,KLUSKUS,actual,True,16.3,True,32,True,312,True,7.2,True,0,,80.79424,9.114964,20.338,1.780591,9.0615,1.129468,2
20180512,KLUSKUS,actual,True,19.1,True,25,True,252,True,8.5,True,0,,89.59799,13.10344,26.18,6.211006,12.99635,7.624858,2
20180513,KLUSKUS,actual,True,20.7,True,26,True,299,True,7.9,True,0,,91.6274,17.35045,32.31,8.051188,17.20663,10.98022,2
20180514,KLUSKUS,actual,True,23,True,23,True,281,True,11,True,0,,92.94422,22.23588,38.854,11.33315,22.05566,16.22394,3
20180515,KLUSKUS,actual,True,21.2,True,25,True,234,True,11,True,0,,92.99455,26.639,45.074,11.41336,26.43627,17.81106,3
20180516,KLUSKUS,actual,True,19.5,True,27,True,344,True,8.6,True,0,,93.0449,30.598,50.988,10.18483,30.38053,17.5335,3
20180517,KLUSKUS,actual,True,20.8,True,20,True,56,True,12.9,True,0,,93.44632,35.21041,57.136,13.37865,34.96955,22.89538,3
20180518,KLUSKUS,actual,True,19.2,True,35,True,327,True,6.9,True,0,,92.16248,38.68421,62.996,8.257791,38.43751,16.90516,3
20180519,KLUSKUS,actual,True,23.5,True,24,True,125,True,12,True,0,,92.90848,43.60623,69.63,11.8593,43.33621,23.3587,4
20180520,KLUSKUS,actual,True,10.5,True,89,True,252,True,8.1,True,2.4,,61.00428,37.47099,73.924,0.6540194,37.3348,0.8964094,2
20180521,KLUSKUS,actual,True,16,True,43,True,105,True,7.2,True,0,,78.85599,40.03704,79.208,1.460414,39.89918,3.685797,2
20180522,KLUSKUS,actual,True,21.7,True,30,True,55,True,5,True,0,,88.57848,44.23877,85.518,4.497969,44.08118,11.35027,3
20180523,KLUSKUS,actual,True,22.4,True,33,True,97,True,6.6,True,0,,90.47485,48.38389,91.95399,6.399123,48.20901,15.72636,3
20180524,KLUSKUS,actual,True,19.1,True,39,True,222,True,6.2,True,0,,90.52436,51.62786,97.796,6.315973,51.44505,16.12654,3
20180525,KLUSKUS,actual,True,10.3,True,57,True,304,True,7,True,0,,87.77309,52.91839,102.054,4.432378,52.74501,12.42766,3
20180526,KLUSKUS,actual,True,7.2,True,70,True,189,True,8.8,True,1.2,,76.58732,53.57392,105.754,1.317116,53.41491,4.133977,3
20180527,KLUSKUS,actual,True,14.9,True,45,True,154,True,10.2,True,0.6,,83.43333,55.89066,110.84,2.8551,55.73102,8.927135,3
20180528,KLUSKUS,actual,True,11,True,29,True,277,True,15.1,True,0.4,,88.03557,58.15238,115.224,6.9219,57.98839,18.40886,4
20180529,KLUSKUS,actual,True,8.6,True,38,True,223,True,10.2,True,0,,88.08427,59.73566,119.176,5.445341,59.57386,15.61286,3
20180530,KLUSKUS,actual,True,8.2,True,52,True,157,True,7.4,True,0,,87.25736,60.91088,123.056,4.201299,60.75615,12.91398,3
20180531,KLUSKUS,actual,True,9.6,True,46,True,132,True,5.5,True,1,,81.80204,62.43204,127.188,1.836397,62.28098,6.458591,3
20180601,KLUSKUS,actual,True,9.2,True,58,True,137,True,13,True,2.6,,66.74504,52.50382,132.248,1.083491,52.70077,3.271532,3
20180602,KLUSKUS,actual,True,9.9,True,60,True,337,True,3.4,True,1,,70.27147,53.66219,137.434,0.7489919,54.30998,2.038796,3
20180603,KLUSKUS,actual,True,8.4,True,75,True,245,True,8.3,True,0.6,,74.03654,54.28745,142.35,1.10754,55.5821,3.512826,3
20180604,KLUSKUS,actual,True,9.2,True,51,True,273,True,9.7,True,6.8,,51.62639,33.29321,135.3046,0.3233886,41.22607,0.4748565,2
20180605,KLUSKUS,actual,True,9.5,True,64,True,119,True,7.7,True,0.8,,64.58802,34.29784,140.4186,0.7644416,42.58919,1.553851,3
20180606,KLUSKUS,actual,True,13.5,True,35,True,129,True,13.5,True,0,,81.71039,36.79623,146.2526,2.718253,45.1769,7.495426,3
20180607,KLUSKUS,actual,True,13.3,True,52,True,62,True,4.4,True,0,,84.2794,38.61592,152.0506,2.384599,47.23894,6.846558,3
20180608,KLUSKUS,actual,True,6.5,True,91,True,241,True,7.7,True,1.4,,67.80765,38.796,156.6246,0.8597553,47.91843,2.197211,3
20180609,KLUSKUS,actual,True,9.3,True,61,True,274,True,10.6,True,3.6,,56.12296,29.67614,156.7308,0.5253747,40.28358,0.7590966,2
20180610,KLUSKUS,actual,True,11.8,True,38,True,236,True,12.2,True,2.4,,66.5948,27.10558,162.2588,1.035231,38.24073,2.288431,2
20180611,KLUSKUS,actual,True,10.7,True,40,True,262,True,19,True,1.4,,75.58064,28.9695,167.5888,2.063146,40.45592,5.371253,2
20180612,KLUSKUS,actual,True,12.9,True,39,True,192,True,8.5,True,0,,84.00127,31.21779,173.3148,2.824591,43.04998,7.525343,3
20180613,KLUSKUS,actual,True,10.9,True,75,True,271,True,9.3,True,3.6,,56.35217,23.50685,173.4986,0.5015973,35.11845,0.6591339,2
20180614,KLUSKUS,actual,True,13.5,True,55,True,236,True,12.5,True,0,,74.56281,25.23651,179.3326,1.404851,37.33732,3.339056,2
20180615,KLUSKUS,actual,True,11.5,True,44,True,303,True,8.2,True,0,,82.45936,27.09412,184.8066,2.279864,39.65419,5.843123,2
20180616,KLUSKUS,actual,True,20.9,True,29,True,216,True,6.7,True,0,,89.56206,31.20633,191.9726,5.643282,44.37791,13.64786,3
20180617,KLUSKUS,actual,True,23.9,True,26,True,298,True,8,True,0,,92.1591,36.07675,199.6786,8.724266,49.70327,20.1052,4
20180618,KLUSKUS,actual,True,28,True,23,True,4,True,10.3,True,0,,93.80805,41.97575,208.1226,12.34165,55.81069,27.2199,4
20180619,KLUSKUS,actual,True,29.9,True,18,True,2,True,7.3,True,0,,95.29523,48.66798,216.9086,13.02143,62.35778,29.82128,4
20180620,KLUSKUS,actual,True,28.3,True,27,True,96,True,7.5,True,0,,94.80109,54.31819,225.4066,12.29292,67.79407,29.88991,4
20180621,KLUSKUS,actual,True,24.5,True,29,True,268,True,9,True,2.6,,84.58074,49.76064,233.2206,3.131722,64.90205,10.59042,3
20180622,KLUSKUS,actual,True,21.3,True,30,True,267,True,10.7,True,0,,90.1265,53.88865,240.4586,7.485186,69.07607,21.37065,4
20180623,KLUSKUS,actual,True,20.2,True,35,True,165,True,7.2,True,0,,90.1759,57.53357,247.4986,6.319454,72.77431,19.44186,4
20180624,KLUSKUS,actual,True,12.6,True,80,True,70,True,3.2,True,1.4,,73.73416,58.25491,253.1706,0.8445153,73.96259,3.260443,3
20180625,KLUSKUS,actual,True,13.4,True,43,True,247,True,12.2,True,6.6,,59.75346,36.74687,243.6844,0.7452297,53.37265,1.982266,3
20180626,KLUSKUS,actual,True,14.9,True,37,True,234,True,18.3,True,0,,81.09598,39.40059,249.7704,3.222881,56.5139,9.978079,3
20180627,KLUSKUS,actual,True,14,True,42,True,210,True,9,True,0,,85.72997,41.70628,255.6944,3.669657,59.25135,11.4214,3
20180628,KLUSKUS,actual,True,13.5,True,48,True,236,True,11.4,True,0,,86.3998,43.70499,261.5284,4.550196,61.65252,13.86233,3
20180629,KLUSKUS,actual,True,13.8,True,58,True,207,True,10,True,0.2,,86.44797,45.35251,267.4164,4.269223,63.69789,13.43617,3
20180630,KLUSKUS,actual,True,11.2,True,75,True,242,True,11.8,True,4.2,,55.45774,32.62917,264.4134,0.5269681,49.87243,0.8850942,3
20180701,KLUSKUS,actual,True,13.2,True,48,True,252,True,14,True,0.2,,75.76945,34.37556,270.4933,1.622212,52.17463,5.054236,3
20180702,KLUSKUS,actual,True,13.1,True,58,True,301,True,9.9,True,1.2,,75.93753,35.77624,276.5554,1.33337,54.06678,4.229069,3
20180703,KLUSKUS,actual,True,15.7,True,54,True,354,True,8,True,15,,50.19953,16.758,241.3969,0.2515443,28.55943,0.2873863,2
20180704,KLUSKUS,actual,True,18.7,True,49,True,23,True,5.5,True,0.8,,72.37173,19.12957,248.4669,0.8957662,32.08378,1.434136,2
20180705,KLUSKUS,actual,True,20.1,True,42,True,210,True,8.5,True,0,,84.72047,22.01736,255.7889,3.112461,36.23688,7.372554,2
20180706,KLUSKUS,actual,True,18.7,True,46,True,230,True,11.1,True,1.4,,81.90479,24.52844,262.8589,2.465334,39.7774,6.30961,2
20180707,KLUSKUS,actual,True,16.4,True,53,True,253,True,13.7,True,9.8,,58.62745,14.04556,244.2612,0.7452489,24.56042,0.7707435,2
20180708,KLUSKUS,actual,True,18.9,True,37,True,210,True,7.3,True,1.6,,75.28355,16.18143,251.3672,1.124344,27.87657,1.858551,2
20180709,KLUSKUS,actual,True,22.1,True,40,True,63,True,5.1,True,0,,86.01619,19.45063,259.0492,3.138276,32.75312,6.974763,2
20180710,KLUSKUS,actual,True,20.2,True,43,True,263,True,12.7,True,0.2,,88.12839,22.30202,266.3892,6.21558,36.8842,13.30637,3
20180711,KLUSKUS,actual,True,19.2,True,40,True,224,True,7.4,True,0,,88.83444,25.16256,273.5492,5.266174,40.91594,12.35539,3
20180712,KLUSKUS,actual,True,19.5,True,35,True,272,True,10.7,True,0,,89.80803,28.30729,280.7632,7.151335,45.21726,16.52675,4
20180713,KLUSKUS,actual,True,16.4,True,39,True,297,True,8.8,True,0,,89.85732,30.81437,287.4192,6.544492,48.6021,16.06601,3
20180714,KLUSKUS,actual,True,21.6,True,23,True,130,True,9.6,True,0,,92.41386,34.91942,295.0112,9.802754,53.89148,22.7787,4
20180715,KLUSKUS,actual,True,23.6,True,23,True,279,True,7.3,True,0,,93.1341,39.38615,302.9632,9.658861,59.45044,23.6966,4
20180716,KLUSKUS,actual,True,25.8,True,29,True,262,True,8.9,True,0,,93.18449,43.87167,311.3112,10.54389,64.88387,26.33007,4
20180717,KLUSKUS,actual,True,22.6,True,44,True,356,True,6.4,True,0,,91.14055,46.98867,319.0832,6.966074,68.68917,20.2336,4
20180718,KLUSKUS,actual,True,20.1,True,38,True,242,True,9.9,True,0.8,,88.25795,50.07562,326.4052,5.498886,72.38773,17.50086,4
20180719,KLUSKUS,actual,True,17.4,True,35,True,278,True,7.7,True,0,,89.34528,52.89977,333.2411,5.753174,75.74108,18.54666,4
20180720,KLUSKUS,actual,True,8.2,True,87,True,240,True,11.1,True,1.6,,69.46836,51.08202,338.4211,1.076054,74.17406,4.301129,3
20180721,KLUSKUS,actual,True,18.1,True,55,True,283,True,9.6,True,8.8,,56.34763,29.46877,318.6182,0.5090456,47.8691,0.8304202,3
20180722,KLUSKUS,actual,True,22.4,True,44,True,307,True,9.1,True,2.2,,74.10661,28.65309,326.3542,1.156988,46.99178,3.208717,3
20180723,KLUSKUS,actual,True,14.7,True,60,True,292,True,6.6,True,3.6,,60.2892,22.26285,325.1294,0.581188,38.01767,0.8066351,2
20180724,KLUSKUS,actual,True,20.2,True,36,True,35,True,5.3,True,0,,81.56701,25.46441,332.4694,1.767938,42.74419,4.776317,3
20180725,KLUSKUS,actual,True,23.2,True,30,True,298,True,6.1,True,0,,89.70783,29.45931,340.3494,5.590894,48.43727,14.21743,3
20180726,KLUSKUS,actual,True,25.6,True,25,True,275,True,4.6,True,0,,92.58562,34.1623,348.6614,7.805977,54.88126,19.52585,4
20180727,KLUSKUS,actual,True,28.6,True,20,True,316,True,6.9,True,0,,94.53404,39.74248,357.5134,11.49675,62.19923,27.36038,4
20180728,KLUSKUS,actual,True,29.8,True,20,True,288,True,7.2,True,0,,94.93186,45.54812,366.5814,12.3277,69.50581,30.31895,4
20180729,KLUSKUS,actual,True,31.3,True,17,True,183,True,10.6,True,0,,95.83874,51.86386,375.9194,16.55733,77.12595,38.77455,5
20180730,KLUSKUS,actual,True,30.5,True,21,True,304,True,9,True,0,,95.89002,57.72681,385.1134,15.38137,83.98221,38.49752,5
20180731,KLUSKUS,actual,True,28.5,True,32,True,127,True,10.2,True,0,,94.12061,62.45399,393.9474,12.8234,89.45419,35.23774,5
20180801,KLUSKUS,actual,True,24.9,True,38,True,356,True,7,True,0.2,,92.45944,65.7819,401.4334,8.654412,93.32958,27.62429,4
20180802,KLUSKUS,actual,True,22.1,True,36,True,232,True,8.8,True,10,,69.2455,36.8038,372.3401,0.9515557,59.02247,3.084687,3
20180803,KLUSKUS,actual,True,18.6,True,46,True,235,True,10.3,True,0,,82.83081,38.99997,378.692,2.655444,62.02952,8.965274,3
20180804,KLUSKUS,actual,True,20.6,True,38,True,98,True,7.6,True,0,,88.1094,41.77749,385.4041,4.793915,65.73967,14.96236,3
20180805,KLUSKUS,actual,True,21.7,True,41,True,278,True,3.2,True,0,,88.98525,44.5546,392.3141,4.35497,69.40392,14.32759,3
20180806,KLUSKUS,actual,True,25.2,True,25,True,220,True,9.7,True,0,,92.52888,48.62675,399.8541,10.01313,74.5793,27.26126,4
20180807,KLUSKUS,actual,True,24.5,True,25,True,229,True,9.6,True,0,,92.91042,52.59052,407.2681,10.51127,79.51244,29.10604,4
20180808,KLUSKUS,actual,True,25.7,True,33,True,215,True,8.9,True,0,,92.96073,56.29746,414.8981,10.21878,84.07471,29.35821,4
20180809,KLUSKUS,actual,True,26.9,True,29,True,207,True,9.8,True,0,,93.01107,60.4016,422.7441,10.76855,89.00917,31.2958,5
20180810,KLUSKUS,actual,True,23,True,30,True,189,True,7.4,True,0,,93.06142,63.88435,429.8881,9.609424,93.15865,29.63942,4
20180811,KLUSKUS,actual,True,19.3,True,33,True,299,True,9.5,True,0,,92.27374,66.70605,436.3661,9.56271,96.5238,30.05548,4
20180812,KLUSKUS,actual,True,21.3,True,30,True,307,True,12.1,True,0,,92.32384,69.94312,443.2041,10.97864,100.3106,33.57285,5
20180813,KLUSKUS,actual,True,23.2,True,34,True,264,True,8.1,True,0,,92.3562,73.2541,450.3841,9.015575,104.1562,29.9355,4
20180814,KLUSKUS,actual,True,19.4,True,30,True,211,True,5.2,True,0,,92.40633,76.21661,456.8801,7.845085,107.5709,27.63613,4
20180815,KLUSKUS,actual,True,19,True,44,True,234,True,5.3,True,0,,90.64617,78.54036,463.3041,6.141889,110.3246,23.58736,4
20180816,KLUSKUS,actual,True,22.1,True,26,True,257,True,9.2,True,0,,92.06198,82.08463,470.2861,9.141794,114.2958,31.48075,5
20180817,KLUSKUS,actual,True,17.2,True,26,True,182,True,10.3,True,0,,92.11202,84.88032,476.3861,9.731383,117.4458,33.1942,5
20180818,KLUSKUS,actual,True,18.3,True,36,True,10,True,5.5,True,0,,91.50988,87.44355,482.6841,7.0161,120.3708,26.87077,5
20180819,KLUSKUS,actual,True,20.4,True,30,True,291,True,7.1,True,0,,91.55974,90.55056,489.3601,7.659205,123.8216,28.85648,5
20180820,KLUSKUS,actual,True,23.2,True,19,True,28,True,6.7,True,0,,93.71784,94.61404,496.5401,10.16593,128.1715,35.33328,5
20180821,KLUSKUS,actual,True,27.3,True,17,True,233,True,8.3,True,0,,95.10502,99.48038,504.4581,13.343,133.2619,42.73188,5
