weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180402,MCBRIDE LAKE,actual,True,0.4,True,35,True,164,True,4.6,True,0,,,,,,,,
20180405,MCBRIDE LAKE,actual,True,-5.9,True,73,True,136,True,6.2,True,0,,,,,,,,
20180406,MCBRIDE LAKE,actual,True,-2.2,True,65,True,7,True,4.4,True,0,,,,,,,,
20180407,MCBRIDE LAKE,actual,True,-0.2,True,73,True,105,True,4,True,0,,,,,,,,
20180408,MCBRIDE LAKE,actual,True,8.3,True,59,True,340,True,3.4,True,0,,,,,,,,
20180409,MCBRIDE LAKE,actual,True,8.6,True,69,True,336,True,4.7,True,0.8,,,,,,,,
20180410,MCBRIDE LAKE,actual,True,10.9,True,51,True,11,True,8.9,True,0,,,,,,,,
20180411,MCBRIDE LAKE,actual,True,9.2,True,39,True,119,True,9.9,True,32.2,,,,,,,,
20180412,MCBRIDE LAKE,actual,True,10.1,True,33,True,207,True,6,True,23.8,,,,,,,,
20180413,MCBRIDE LAKE,actual,True,1.7,True,81,True,62,True,5.3,True,15.4,,,,,,,,
20180414,MCBRIDE LAKE,actual,True,6.1,True,59,True,215,True,7.8,True,13,,,,,,,,
20180415,MCBRIDE LAKE,actual,True,11.1,True,34,True,297,True,5.6,True,18.8,,,,,,,,
20180416,MCBRIDE LAKE,actual,True,9.9,True,31,True,104,True,8.5,True,15.4,,,,,,,,
20180417,MCBRIDE LAKE,actual,True,4.4,True,38,True,259,True,12.7,True,0,,,,,,,,
20180418,MCBRIDE LAKE,actual,True,7.6,True,41,True,235,True,8.8,True,0,,,,,,,,
20180419,MCBRIDE LAKE,actual,True,7.6,True,55,True,211,True,7.4,True,0,,,,,,,,
20180420,MCBRIDE LAKE,actual,True,8.5,True,46,True,210,True,13.6,True,0,,,,,,,,
20180421,MCBRIDE LAKE,actual,True,8.2,True,40,True,239,True,13.2,True,0.8,,,,,,,,
20180422,MCBRIDE LAKE,actual,True,8.9,True,34,True,299,True,8.1,True,0,,,,,,,,
20180423,MCBRIDE LAKE,actual,True,10.2,True,42,True,340,True,3.2,True,0,,,,,,,,
20180424,MCBRIDE LAKE,actual,True,13.1,True,41,True,292,True,6.5,True,0,,,,,,,,
20180425,MCBRIDE LAKE,actual,True,17.6,True,27,True,328,True,4.8,True,0,,,,,,,,
20180426,MCBRIDE LAKE,actual,True,19.3,True,26,True,316,True,3.7,True,0,,,,,,,,
20180427,MCBRIDE LAKE,actual,True,20.3,True,19,True,1,True,4,True,0,,,,,,,,
20180428,MCBRIDE LAKE,actual,True,13.2,True,28,True,260,True,13.4,True,0,,,,,,,,
20180429,MCBRIDE LAKE,actual,True,13,True,20,True,295,True,6.4,True,0,,,,,,,,
20180430,MCBRIDE LAKE,actual,True,12.3,True,27,True,263,True,12.8,True,0,,,,,,,,
20180501,MCBRIDE LAKE,actual,True,15.3,True,31,True,328,True,4.5,True,0,,,,,,,,
20180502,MCBRIDE LAKE,actual,True,14.6,True,32,True,263,True,11.4,True,0,,,,,,,,
20180503,MCBRIDE LAKE,actual,True,12.7,True,40,True,275,True,10,True,0,,,,,,,,
20180504,MCBRIDE LAKE,actual,True,11.7,True,48,True,264,True,7.8,True,0,,,,,,,,
20180505,MCBRIDE LAKE,actual,True,16.7,True,37,True,316,True,6.4,True,0,,,,,,,,
20180506,MCBRIDE LAKE,actual,True,19.3,True,33,True,279,True,5,True,0,,,,,,,,
20180507,MCBRIDE LAKE,actual,True,16.8,True,49,True,43,True,3.5,True,0,,,,,,,,
20180508,MCBRIDE LAKE,actual,True,18.4,True,39,True,71,True,4.6,True,0,,,,,,,,
20180509,MCBRIDE LAKE,actual,True,6.4,True,96,True,333,True,2.1,True,10.2,,,,,,,,
20180510,MCBRIDE LAKE,actual,True,14.1,True,40,True,270,True,8.4,True,1.4,,,,,,,,
20180511,MCBRIDE LAKE,actual,True,16.1,True,35,True,250,True,8.9,True,0,,,,,,,,
20180512,MCBRIDE LAKE,actual,True,18,True,42,True,245,True,7.3,True,0,,,,,,,,
20180513,MCBRIDE LAKE,actual,True,18.1,True,41,True,350,True,5.7,True,0,,,,,,,,
20180514,MCBRIDE LAKE,actual,True,21.5,True,25,True,256,True,10.8,True,0,,,,,,,,
20180515,MCBRIDE LAKE,actual,True,19.5,True,29,True,279,True,9.9,True,0,,,,,,,,
20180516,MCBRIDE LAKE,startup,True,19.3,True,30,True,294,True,10,True,0,,60,6,15,,,,
20180517,MCBRIDE LAKE,actual,True,21,True,29,True,117,True,8.1,True,0,,84.18225,10.13091,21.184,2.836063,10.04668,2.89573,2
20180518,MCBRIDE LAKE,actual,True,21.5,True,25,True,124,True,8.1,True,0,,90.89838,14.59327,27.458,7.331749,14.45672,9.304354,2
20180519,MCBRIDE LAKE,actual,True,22.9,True,24,True,279,True,6,True,0,,92.56329,19.39524,33.984,8.350273,19.21992,11.95606,2
20180520,MCBRIDE LAKE,actual,True,14.6,True,50,True,237,True,10.6,True,2.2,,76.09421,18.53078,39.016,1.395179,18.44587,1.699808,2
20180521,MCBRIDE LAKE,actual,True,12,True,56,True,282,True,6.1,True,0,,81.31782,20.04824,43.58,1.787842,19.97835,2.687625,2
20180522,MCBRIDE LAKE,actual,True,11.9,True,69,True,269,True,6.8,True,0,,82.14323,21.10921,48.126,2.043332,21.06275,3.315111,2
20180523,MCBRIDE LAKE,actual,True,20.5,True,43,True,287,True,7.4,True,0,,87.1243,24.35054,54.22001,4.122359,24.29079,7.458064,2
