weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,NADINA,actual,True,0.9,True,41,True,34,True,8.9,True,2,,,,,,,,
20180402,NADINA,actual,True,-0.6,True,39,True,58,True,5.6,True,4.4,,,,,,,,
20180403,NADINA,actual,True,-0.8,True,73,True,51,True,7.1,True,2.2,,,,,,,,
20180404,NADINA,actual,True,-2.1,True,60,True,57,True,10,True,2,,,,,,,,
20180405,NADINA,actual,True,-8,True,73,True,60,True,12.8,True,0,,,,,,,,
20180406,NADINA,actual,True,-5,True,75,True,38,True,11.4,True,0,,,,,,,,
20180407,NADINA,actual,True,-2,True,83,True,44,True,5.7,True,0.6,,,,,,,,
20180408,NADINA,actual,True,6.5,True,67,True,180,True,5.6,True,1.2,,,,,,,,
20180409,NADINA,actual,True,7.3,True,67,True,154,True,7.3,True,4,,,,,,,,
20180410,NADINA,actual,True,7.7,True,54,True,49,True,14.9,True,0,,,,,,,,
20180411,NADINA,actual,True,7.1,True,48,True,49,True,13.6,True,0,,,,,,,,
20180412,NADINA,actual,True,9.7,True,35,True,192,True,11.3,True,3,,,,,,,,
20180413,NADINA,actual,True,2.4,True,68,True,115,True,8,True,0,,,,,,,,
20180414,NADINA,actual,True,5.5,True,55,True,229,True,6.9,True,4.4,,,,,,,,
20180415,NADINA,actual,True,9.3,True,32,True,45,True,8.8,True,0,,,,,,,,
20180416,NADINA,actual,True,6.7,True,40,True,70,True,11.8,True,0,,,,,,,,
20180417,NADINA,actual,True,6.6,True,31,True,251,True,12.7,True,0,,,,,,,,
20180418,NADINA,actual,True,5.5,True,51,True,194,True,8.9,True,0,,,,,,,,
20180419,NADINA,actual,True,5.5,True,64,True,176,True,10.8,True,0,,,,,,,,
20180420,NADINA,actual,True,6.8,True,48,True,201,True,13.3,True,0,,,,,,,,
20180421,NADINA,actual,True,7,True,34,True,263,True,17.9,True,0.4,,,,,,,,
20180422,NADINA,actual,True,9.8,True,34,True,147,True,9.8,True,0,,,,,,,,
20180423,NADINA,actual,True,9,True,38,True,203,True,9.9,True,0,,,,,,,,
20180424,NADINA,actual,True,10.1,True,49,True,153,True,6.5,True,0,,,,,,,,
20180425,NADINA,actual,True,15.7,True,29,True,87,True,6.9,True,0,,,,,,,,
20180426,NADINA,actual,True,18.2,True,27,True,54,True,7.7,True,0,,,,,,,,
20180427,NADINA,actual,True,20.2,True,14,True,80,True,6,True,0,,,,,,,,
20180428,NADINA,actual,True,14.3,True,24,True,299,True,12.6,True,0,,,,,,,,
20180429,NADINA,actual,True,11.4,True,22,True,87,True,6.7,True,0,,,,,,,,
20180430,NADINA,actual,True,14.6,True,23,True,275,True,11.6,True,0,,,,,,,,
20180501,NADINA,actual,True,15.9,True,29,True,294,True,8.2,True,0,,,,,,,,
20180502,NADINA,actual,True,16.1,True,30,True,279,True,10.4,True,0,,,,,,,,
20180503,NADINA,actual,True,11.3,True,50,True,350,True,4.9,True,0,,,,,,,,
20180504,NADINA,actual,True,9.9,True,55,True,326,True,4.8,True,0.2,,,,,,,,
20180505,NADINA,actual,True,15.4,True,40,True,162,True,7.1,True,0,,,,,,,,
20180506,NADINA,actual,True,18.1,True,37,True,327,True,5.3,True,0,,,,,,,,
20180507,NADINA,actual,True,12.7,True,73,True,195,True,7,True,0.2,,,,,,,,
20180508,NADINA,actual,True,18.8,True,40,True,349,True,5.7,True,0,,,,,,,,
20180509,NADINA,actual,True,6.7,True,95,True,39,True,4.3,True,8,,,,,,,,
20180510,NADINA,actual,True,12.9,True,46,True,280,True,6.6,True,0.6,,,,,,,,
20180511,NADINA,actual,True,16.9,True,30,True,279,True,8.2,True,0,,,,,,,,
20180512,NADINA,startup,True,18.6,True,37,True,11,True,9,True,0,,60,6,40,,,,
20180513,NADINA,actual,True,21,True,33,True,299,True,6.5,True,0,,82.9044,9.89818,46.184,2.213293,12.88992,2.507593,2
20180514,NADINA,actual,True,23.4,True,20,True,258,True,11.4,True,0,,92.31925,15.05819,52.8,10.59128,17.58126,13.81085,2
20180515,NADINA,actual,True,21.3,True,22,True,201,True,11.4,True,0,,92.99522,19.65798,59.038,11.64683,21.45565,16.34236,3
20180516,NADINA,actual,True,21,True,23,True,150,True,8.8,True,0,,93.04556,24.13797,65.222,10.28895,25.0755,16.05946,3
20180517,NADINA,actual,True,21.1,True,24,True,83,True,12.6,True,0,,93.09592,28.5798,71.424,12.5485,28.57961,19.83079,3
20180518,NADINA,actual,True,20.6,True,27,True,27,True,7.9,True,0,,93.1463,32.75019,77.536,9.972347,32.72005,17.91573,3
20180519,NADINA,actual,True,23.7,True,25,True,66,True,8,True,0,,93.1967,37.64694,84.206,10.0936,37.58261,19.38103,3
20180520,NADINA,actual,True,16.4,True,47,True,209,True,7.8,True,2,,78.29469,36.32419,89.562,1.431225,36.31628,3.336959,2
20180521,NADINA,actual,True,13.4,True,50,True,179,True,12.4,True,0,,83.74973,38.23287,94.37801,3.325099,38.22549,8.082487,3
20180522,NADINA,actual,True,14.1,True,57,True,155,True,8.2,True,0,,84.72344,39.95358,99.32001,3.067008,39.95023,7.730855,3
20180523,NADINA,actual,True,23.5,True,31,True,199,True,10,True,0.2,,90.41598,44.42226,105.954,7.531325,44.39323,17.0141,4
20180524,NADINA,actual,True,17.1,True,30,True,193,True,12.2,True,0,,90.61504,47.77626,111.436,8.657075,47.73203,19.57961,4
20180525,NADINA,actual,True,9.2,True,51,True,200,True,13.2,True,0,,88.27583,49.10497,115.496,6.510371,49.06554,16.08449,3
20180526,NADINA,actual,True,8.3,True,55,True,187,True,14.1,True,0,,86.92088,50.21859,119.394,5.613007,50.18575,14.54156,3
20180527,NADINA,actual,True,13.9,True,47,True,186,True,16.4,True,0,,86.96922,52.31155,124.3,6.346213,52.27763,16.32541,3
20180528,NADINA,actual,True,8.9,True,39,True,235,True,10,True,0,,87.35225,53.91747,128.306,4.854696,53.88401,13.51549,3
20180529,NADINA,actual,True,10.3,True,33,True,281,True,6.3,True,0,,88.37989,55.9283,132.564,4.667549,55.89139,13.37848,3
20180530,NADINA,actual,True,11.7,True,35,True,330,True,5.6,True,0.8,,85.99428,58.11867,137.074,3.208464,58.07742,10.10574,3
20180531,NADINA,actual,True,7.4,True,91,True,312,True,7,True,4.2,,42.77449,40.82062,134.7116,8.150785E-02,46.45158,0.1301631,2
20180601,NADINA,actual,True,8.3,True,72,True,155,True,11,True,0.8,,57.55,41.51354,139.6096,0.6011404,47.62403,0.9770914,3
20180602,NADINA,actual,True,11.9,True,40,True,210,True,10.2,True,0,,76.68774,43.56701,145.1556,1.423367,49.78091,4.257611,3
20180603,NADINA,actual,True,7.2,True,83,True,351,True,5.6,True,10.8,,30.49229,21.85811,128.6559,5.22616E-03,30.68366,6.265165E-03,2
20180604,NADINA,actual,True,12.4,True,38,True,216,True,13.5,True,0,,65.45581,24.06165,134.2919,1.060043,33.23581,2.04934,2
20180605,NADINA,actual,True,9.5,True,59,True,145,True,7.5,True,0,,75.38697,25.2058,139.4059,1.14256,34.71822,2.396583,2
20180606,NADINA,actual,True,10.9,True,59,True,170,True,10.9,True,1.4,,73.34531,26.50107,144.7719,1.223464,36.36174,2.747015,2
20180607,NADINA,actual,True,12.5,True,51,True,170,True,9.9,True,0.8,,79.11401,28.25548,150.4259,1.714352,38.45352,4.278095,2
20180608,NADINA,actual,True,10.9,True,62,True,139,True,8.2,True,2.2,,67.12958,25.67374,155.7919,0.8620167,36.36539,1.5868,2
20180609,NADINA,actual,True,11,True,46,True,189,True,5.2,True,2.6,,63.29004,22.60668,161.1759,0.6364852,33.47521,0.8094217,2
20180610,NADINA,actual,True,12.1,True,37,True,271,True,10.2,True,0,,79.69822,24.796,166.7579,1.843299,36.15272,4.417001,2
20180611,NADINA,actual,True,9.6,True,44,True,282,True,11.6,True,0,,84.22803,26.37349,171.8899,3.403922,38.12352,8.237385,3
20180612,NADINA,actual,True,13.3,True,41,True,188,True,7.6,True,0,,86.7077,28.6102,177.6879,3.924649,40.79786,9.69472,3
20180613,NADINA,actual,True,13,True,62,True,246,True,6.6,True,0.8,,82.26156,30.02078,183.4319,2.052411,42.60823,5.538523,3
20180614,NADINA,actual,True,16.7,True,42,True,280,True,11.1,True,0,,86.71014,32.73874,189.8419,4.683237,45.75224,11.97744,3
20180615,NADINA,actual,True,12.1,True,46,True,346,True,8,True,0,,86.78596,34.6153,195.424,4.049285,47.98273,10.94001,3
20180616,NADINA,actual,True,24.2,True,22,True,289,True,6.9,True,0,,92.49596,39.81059,203.1839,8.655297,53.44298,20.75285,4
20180617,NADINA,actual,True,27.1,True,25,True,305,True,7.6,True,0,,93.29207,45.37867,211.4659,10.02488,59.06845,24.24373,4
20180618,NADINA,actual,True,30.3,True,23,True,353,True,7.1,True,0,,94.27558,51.74391,220.3239,11.20646,65.20419,27.52574,4
20180619,NADINA,actual,True,29.6,True,24,True,290,True,5.8,True,0,,94.32635,57.88643,229.0559,10.56974,70.94823,27.58817,4
20180620,NADINA,actual,True,26.4,True,35,True,204,True,11.8,True,0,,93.05166,62.59231,237.2119,11.97826,75.42757,30.9668,5
20180621,NADINA,actual,True,27.4,True,24,True,247,True,8.7,True,0,,93.60442,68.29465,245.5479,11.06785,80.56802,30.32574,4
20180622,NADINA,actual,True,21,True,39,True,350,True,7.1,True,0,,91.8052,71.84374,252.7319,7.930439,83.99479,24.64564,4
20180623,NADINA,actual,True,20,True,40,True,1,True,8.8,True,0,,91.02155,75.17669,259.736,7.729485,87.2328,24.68789,4
20180624,NADINA,actual,True,13.9,True,66,True,165,True,5.7,True,2.2,,70.3873,66.02139,265.642,0.8441956,81.44061,3.542181,3
20180625,NADINA,actual,True,15.5,True,37,True,265,True,13.3,True,0.2,,83.99377,68.77462,271.836,3.593891,84.25675,13.78932,4
20180626,NADINA,actual,True,15.6,True,36,True,259,True,15.2,True,0,,87.98028,71.58841,278.048,6.901962,87.10802,22.78172,4
20180627,NADINA,actual,True,16.1,True,35,True,295,True,8.7,True,0,,89.10036,74.53172,284.35,5.841495,90.05322,20.57953,4
20180628,NADINA,actual,True,14.1,True,56,True,200,True,9,True,0,,87.61275,76.29244,290.292,4.791181,92.08325,18.02125,4
20180629,NADINA,actual,True,14,True,77,True,219,True,3.9,True,4.2,,52.30582,53.43906,287.3027,0.2600717,72.95402,0.5754632,3
20180630,NADINA,actual,True,13.3,True,53,True,248,True,9.1,True,0.6,,71.53191,55.22084,293.1007,1.041363,75.07903,4.192027,3
20180701,NADINA,actual,True,12.1,True,49,True,273,True,9.6,True,0,,80.85678,56.80189,298.9827,2.023573,77.02161,8.125442,4
20180702,NADINA,actual,True,18.2,True,46,True,330,True,8.3,True,1.8,,77.91675,55.14133,305.9627,1.421346,76.02785,5.815321,3
20180703,NADINA,actual,True,18.2,True,36,True,78,True,13.6,True,0,,87.05672,58.04227,312.9427,5.580173,79.30998,18.59436,4
20180704,NADINA,actual,True,19.1,True,45,True,59,True,11,True,0,,87.88573,60.65152,320.0847,5.510322,82.31108,18.7914,4
20180705,NADINA,actual,True,17.6,True,70,True,5,True,3.8,True,1,,80.15138,61.96906,326.9567,1.399186,84.09241,6.151262,3
20180706,NADINA,actual,True,14.3,True,87,True,259,True,3,True,3.4,,48.39433,46.96472,326.3753,0.1556519,69.07873,0.3308798,2
20180707,NADINA,actual,True,17.4,True,49,True,268,True,9.4,True,0,,73.93456,49.18058,333.2113,1.165012,71.84947,4.564478,3
20180708,NADINA,actual,True,18.2,True,48,True,5,True,4.9,True,0,,83.0439,51.5376,340.1913,2.078569,74.76044,8.160029,4
20180709,NADINA,actual,True,22.6,True,28,True,194,True,6.9,True,0,,90.29099,55.54518,347.9633,6.328011,79.4028,20.39041,4
20180710,NADINA,actual,True,18.6,True,46,True,304,True,9.2,True,0,,89.65089,58.04358,355.0153,6.483,82.40496,21.15495,4
20180711,NADINA,actual,True,19,True,48,True,303,True,9.8,True,0,,89.26167,60.49829,362.1393,6.319066,85.3504,21.16413,4
20180712,NADINA,actual,True,20.9,True,34,True,323,True,8.4,True,0,,90.24291,63.90841,369.6053,6.778067,89.24043,22.77736,4
20180713,NADINA,actual,True,18.6,True,27,True,319,True,8.5,True,0,,91.27158,67.28587,376.6573,7.88936,93.02631,25.87585,4
20180714,NADINA,actual,True,23.1,True,25,True,206,True,8.9,True,0,,92.50497,71.5485,384.5193,9.585204,97.66504,30.27332,4
20180715,NADINA,actual,True,25.5,True,22,True,284,True,7,True,0,,93.62657,76.4213,392.8133,10.1906,102.8293,32.31451,5
20180716,NADINA,actual,True,25.9,True,30,True,286,True,8.9,True,0,,93.61303,80.86008,401.1793,11.19337,107.5346,35.08825,5
20180717,NADINA,actual,True,26.4,True,31,True,153,True,9.3,True,0,,93.52568,85.31647,409.6353,11.28321,112.2079,35.92289,5
20180718,NADINA,actual,True,19.3,True,37,True,310,True,9.3,True,0.2,,91.86251,88.33484,416.8133,8.932374,115.4838,31.12929,5
20180719,NADINA,actual,True,10.5,True,90,True,283,True,3.4,True,1.2,,75.44695,88.60727,422.4073,0.9325718,116.2506,5.155746,3
20180720,NADINA,actual,True,9.9,True,94,True,311,True,2.2,True,14.6,,18.74575,42.78668,370.7804,8.895466E-05,66.41364,1.837302E-04,2
20180721,NADINA,actual,True,22.8,True,46,True,150,True,5.9,True,5.4,,55.74976,30.28628,362.9227,0.4015667,50.1168,0.6768246,3
20180722,NADINA,actual,True,23.5,True,52,True,38,True,7.2,True,0,,78.93459,33.05946,370.8567,1.471143,54.06913,4.693409,3
20180723,NADINA,actual,True,18.9,True,44,True,39,True,9.3,True,0.2,,85.89758,35.68984,377.9627,3.813968,57.74741,11.6077,3
20180724,NADINA,actual,True,22.2,True,38,True,38,True,7.7,True,0,,89.11057,39.08257,385.6627,5.562585,62.36513,16.27028,3
20180725,NADINA,actual,True,25.4,True,24,True,69,True,7.8,True,0,,92.73555,43.81257,393.9387,9.367149,68.56203,24.9424,4
20180726,NADINA,actual,True,27.2,True,23,True,34,True,8.2,True,0,,93.73079,48.93032,402.5387,10.98386,75.05308,29.1324,4
20180727,NADINA,actual,True,29.5,True,20,True,48,True,8.6,True,0,,94.81226,54.6796,411.5527,13.01349,82.09199,34.11303,5
20180728,NADINA,actual,True,32,True,14,True,205,True,10.4,True,0,,96.59437,61.36501,421.0167,18.15129,89.95258,44.2537,5
20180729,NADINA,actual,True,32.6,True,18,True,237,True,7.2,True,0,,96.6459,67.85502,430.5887,15.5555,97.3553,41.58265,5
20180730,NADINA,actual,True,31.1,True,16,True,96,True,5.6,True,0,,96.69746,74.20741,439.8907,14.45022,104.3897,40.91141,5
20180731,NADINA,actual,True,28.5,True,33,True,205,True,6.4,True,0,,94.23277,78.86507,448.7247,10.75426,109.5817,34.45403,5
20180801,NADINA,actual,True,26.9,True,30,True,24,True,8.4,True,0,,93.8957,82.91141,456.5707,11.35213,114.0467,36.31178,5
20180802,NADINA,actual,True,20.2,True,46,True,279,True,9.6,True,0,,90.72635,85.28595,463.2107,7.715687,116.8062,28.32508,4
20180803,NADINA,actual,True,17,True,58,True,195,True,6.1,True,0,,88.12941,86.85535,469.2747,4.457692,118.7595,19.38087,5
