weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,NORTH CHILCO,actual,TRUE,0.5,TRUE,25,TRUE,3,TRUE,15.5,TRUE,0,,,,,,,,
20180402,NORTH CHILCO,actual,TRUE,3.2,TRUE,15,TRUE,90,TRUE,7.7,TRUE,0,,,,,,,,
20180403,NORTH CHILCO,actual,TRUE,1,TRUE,53,TRUE,69,TRUE,10.8,TRUE,0,,,,,,,,
20180404,NORTH CHILCO,actual,TRUE,0.3,TRUE,36,TRUE,40,TRUE,7.9,TRUE,0,,,,,,,,
20180405,NORTH CHILCO,actual,TRUE,-1.7,TRUE,27,TRUE,23,TRUE,16.9,TRUE,0,,,,,,,,
20180406,NORTH CHILCO,actual,TRUE,-0.4,TRUE,34,TRUE,47,TRUE,9.2,TRUE,0,,,,,,,,
20180407,NORTH CHILCO,actual,TRUE,4.3,TRUE,37,TRUE,15,TRUE,12.5,TRUE,0,,,,,,,,
20180408,NORTH CHILCO,actual,TRUE,8.4,TRUE,25,TRUE,250,TRUE,6.1,TRUE,0,,,,,,,,
20180409,NORTH CHILCO,actual,TRUE,12,TRUE,40,TRUE,187,TRUE,7.9,TRUE,0,,,,,,,,
20180410,NORTH CHILCO,actual,TRUE,7.6,TRUE,55,TRUE,107,TRUE,15.9,TRUE,0,,,,,,,,
20180411,NORTH CHILCO,actual,TRUE,10.9,TRUE,37,TRUE,77,TRUE,11.2,TRUE,0,,,,,,,,
20180412,NORTH CHILCO,actual,TRUE,7.1,TRUE,56,TRUE,246,TRUE,10.5,TRUE,0,,,,,,,,
20180413,NORTH CHILCO,actual,TRUE,4.9,TRUE,41,TRUE,140,TRUE,13.8,TRUE,2.4,,,,,,,,
20180414,NORTH CHILCO,actual,TRUE,8.7,TRUE,33,TRUE,214,TRUE,14.6,TRUE,13.2,,,,,,,,
20180415,NORTH CHILCO,actual,TRUE,8,TRUE,30,TRUE,7,TRUE,7.9,TRUE,9.4,,,,,,,,
20180416,NORTH CHILCO,actual,TRUE,6.2,TRUE,35,TRUE,21,TRUE,13.3,TRUE,0.8,,,,,,,,
20180417,NORTH CHILCO,actual,TRUE,9.3,TRUE,28,TRUE,264,TRUE,12.1,TRUE,0,,,,,,,,
20180418,NORTH CHILCO,actual,TRUE,9.8,TRUE,34,TRUE,252,TRUE,10.3,TRUE,0.2,,,,,,,,
20180419,NORTH CHILCO,actual,TRUE,7,TRUE,41,TRUE,147,TRUE,11.6,TRUE,0.4,,,,,,,,
20180420,NORTH CHILCO,actual,TRUE,4.3,TRUE,81,TRUE,185,TRUE,4.8,TRUE,0,,,,,,,,
20180421,NORTH CHILCO,actual,TRUE,5,TRUE,46,TRUE,241,TRUE,13.3,TRUE,55.8,,,,,,,,
20180422,NORTH CHILCO,actual,TRUE,9.4,TRUE,26,TRUE,283,TRUE,9.2,TRUE,20.8,,,,,,,,
20180423,NORTH CHILCO,actual,TRUE,14.3,TRUE,18,TRUE,162,TRUE,13.1,TRUE,6.4,,,,,,,,
20180424,NORTH CHILCO,actual,TRUE,11.1,TRUE,30,TRUE,265,TRUE,7.5,TRUE,0,,,,,,,,
20180425,NORTH CHILCO,actual,TRUE,13.9,TRUE,31,TRUE,275,TRUE,7.9,TRUE,0,,,,,,,,
20180426,NORTH CHILCO,actual,TRUE,18.9,TRUE,22,TRUE,157,TRUE,9,TRUE,0,,,,,,,,
20180427,NORTH CHILCO,actual,TRUE,21,TRUE,19,TRUE,158,TRUE,4.9,TRUE,0,,,,,,,,
20180428,NORTH CHILCO,actual,TRUE,17.1,TRUE,26,TRUE,248,TRUE,11.2,TRUE,0,,,,,,,,
20180429,NORTH CHILCO,actual,TRUE,11.8,TRUE,27,TRUE,338,TRUE,10.3,TRUE,0,,,,,,,,
20180430,NORTH CHILCO,actual,TRUE,13.7,TRUE,24,TRUE,231,TRUE,16.5,TRUE,0,,,,,,,,
20180501,NORTH CHILCO,actual,TRUE,13.5,TRUE,32,TRUE,291,TRUE,12.1,TRUE,0,,,,,,,,
20180502,NORTH CHILCO,actual,TRUE,16.4,TRUE,29,TRUE,279,TRUE,14.1,TRUE,0,,,,,,,,
20180503,NORTH CHILCO,actual,TRUE,11.7,TRUE,61,TRUE,351,TRUE,8.3,TRUE,0.2,,,,,,,,
20180504,NORTH CHILCO,actual,TRUE,11.8,TRUE,51,TRUE,237,TRUE,11.4,TRUE,0.6,,,,,,,,
20180505,NORTH CHILCO,actual,TRUE,16.4,TRUE,35,TRUE,207,TRUE,9.7,TRUE,0,,,,,,,,
