weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,PARROTT,actual,True,-2.4,True,38,True,15,True,11.4,True,3,,,,,,,,
20180402,PARROTT,actual,True,-1,True,30,True,114,True,12.3,True,3.2,,,,,,,,
20180403,PARROTT,actual,True,-1.5,True,83,True,127,True,19.5,True,1.6,,,,,,,,
20180404,PARROTT,actual,True,-4.8,True,67,True,120,True,11.8,True,1.2,,,,,,,,
20180405,PARROTT,actual,True,-8.8,True,59,True,106,True,29.2,True,0,,,,,,,,
20180406,PARROTT,actual,True,-7.8,True,83,True,113,True,16.1,True,0,,,,,,,,
20180407,PARROTT,actual,True,-4.9,True,93,True,65,True,4.7,True,0,,,,,,,,
20180408,PARROTT,actual,True,4.3,True,80,True,251,True,5.5,True,2,,,,,,,,
20180409,PARROTT,actual,True,3.7,True,89,True,201,True,7.8,True,6.8,,,,,,,,
20180410,PARROTT,actual,True,6,True,61,True,114,True,35.1,True,0.4,,,,,,,,
20180411,PARROTT,actual,True,3.2,True,66,True,110,True,24.6,True,0,,,,,,,,
20180412,PARROTT,actual,True,2.5,True,60,True,265,True,13.2,True,2.6,,,,,,,,
20180413,PARROTT,actual,True,-1.7,True,91,True,135,True,16.3,True,0,,,,,,,,
20180414,PARROTT,actual,True,2.7,True,53,True,255,True,26.2,True,1.8,,,,,,,,
20180415,PARROTT,actual,True,6.4,True,57,True,314,True,8,True,0,,,,,,,,
20180416,PARROTT,actual,True,1.5,True,52,True,7,True,10.1,True,0,,,,,,,,
20180417,PARROTT,actual,True,6.3,True,36,True,281,True,14.6,True,0.2,,,,,,,,
20180418,PARROTT,actual,True,2.4,True,61,True,229,True,17.7,True,0,,,,,,,,
20180419,PARROTT,actual,True,3.2,True,60,True,234,True,9.7,True,0,,,,,,,,
20180420,PARROTT,actual,True,5.4,True,56,True,188,True,6.6,True,0,,,,,,,,
20180421,PARROTT,actual,True,4.5,True,42,True,274,True,37.1,True,2.6,,,,,,,,
20180422,PARROTT,actual,True,6.2,True,40,True,244,True,11.1,True,0,,,,,,,,
20180423,PARROTT,actual,True,6.9,True,34,True,227,True,21.8,True,0,,,,,,,,
20180424,PARROTT,actual,True,4.7,True,74,True,276,True,12.3,True,0,,,,,,,,
20180425,PARROTT,actual,True,15.4,True,31,True,266,True,6.8,True,0,,,,,,,,
20180426,PARROTT,actual,True,17.4,True,29,True,118,True,8.4,True,0,,,,,,,,
20180427,PARROTT,actual,True,17.9,True,24,True,345,True,5.3,True,0,,,,,,,,
20180428,PARROTT,actual,True,12,True,28,True,322,True,14.4,True,0,,,,,,,,
20180429,PARROTT,actual,True,8.7,True,28,True,257,True,8.5,True,0,,,,,,,,
20180430,PARROTT,actual,True,10.7,True,37,True,284,True,17.3,True,0,,,,,,,,
20180501,PARROTT,actual,True,12.1,True,39,True,279,True,9.8,True,0,,,,,,,,
20180502,PARROTT,actual,True,12.1,True,36,True,291,True,15.5,True,0,,,,,,,,
20180503,PARROTT,actual,True,9.6,True,52,True,274,True,14.1,True,0,,,,,,,,
20180504,PARROTT,actual,True,7.8,True,63,True,310,True,7.2,True,0.8,,,,,,,,
20180505,PARROTT,actual,True,12.4,True,48,True,315,True,5.6,True,0,,,,,,,,
20180506,PARROTT,actual,True,16.2,True,40,True,166,True,4.6,True,0,,,,,,,,
20180507,PARROTT,actual,True,9,True,76,True,246,True,16,True,0,,,,,,,,
20180508,PARROTT,actual,True,16.2,True,46,True,107,True,12.7,True,0,,,,,,,,
20180509,PARROTT,actual,True,4.2,True,100,True,285,True,22.3,True,7.6,,,,,,,,
20180510,PARROTT,actual,True,11,True,52,True,309,True,6.9,True,0.4,,,,,,,,
20180511,PARROTT,actual,True,16.3,True,36,True,304,True,8.5,True,0,,,,,,,,
20180512,PARROTT,actual,True,17.3,True,45,True,303,True,8.9,True,0,,,,,,,,
20180513,PARROTT,actual,True,18.2,True,37,True,77,True,6.1,True,0,,,,,,,,
20180514,PARROTT,actual,True,21.6,True,22,True,274,True,15.6,True,0,,,,,,,,
20180515,PARROTT,actual,True,18.4,True,31,True,259,True,13.7,True,0,,,,,,,,
20180516,PARROTT,actual,True,18,True,33,True,211,True,11.7,True,0,,,,,,,,
20180517,PARROTT,actual,True,19.1,True,31,True,110,True,15.6,True,0,,,,,,,,
20180518,PARROTT,actual,True,17.9,True,29,True,134,True,8.3,True,0,,,,,,,,
20180519,PARROTT,actual,True,21.9,True,32,True,103,True,10.3,True,0,,,,,,,,
20180520,PARROTT,actual,True,10.7,True,70,True,231,True,23.6,True,2.8,,,,,,,,
20180521,PARROTT,actual,True,10.4,True,55,True,221,True,15.4,True,0,,,,,,,,
20180522,PARROTT,actual,True,11.2,True,73,True,246,True,5.2,True,0,,,,,,,,
20180523,PARROTT,actual,True,18,True,46,True,143,True,9.5,True,0,,,,,,,,
20180524,PARROTT,actual,True,10.1,True,53,True,259,True,24.5,True,0,,,,,,,,
20180525,PARROTT,startup,True,5.3,True,63,True,249,True,19.9,True,0,,85,6,15,,,,
20180526,PARROTT,actual,True,3,True,84,True,207,True,15.2,True,0,,81.56461,6.172702,17.944,2.910697,6.637331,2.246543,2
20180527,PARROTT,actual,True,9.8,True,62,True,206,True,17.4,True,0,,82.93649,7.26315,22.112,3.84903,7.976324,3.618248,2
20180528,PARROTT,actual,True,8.6,True,38,True,332,True,12.6,True,0,,86.04369,8.846432,26.064,4.597263,9.571317,4.861635,2
20180529,PARROTT,actual,True,6.5,True,48,True,265,True,12.7,True,0,,86.09174,9.886859,29.638,4.651801,10.78193,5.253333,2
