weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,PEDEN,actual,True,0.9,True,29,True,13,True,3.3,True,0,,,,,,,,
20180402,PEDEN,actual,True,-1,True,37,True,134,True,4.1,True,0,,,,,,,,
20180403,PEDEN,actual,True,-0.5,True,61,True,141,True,12.4,True,0,,,,,,,,
20180404,PEDEN,actual,True,-1.6,True,53,True,112,True,9.1,True,0,,,,,,,,
20180405,PEDEN,actual,True,-5.2,True,49,True,111,True,16.9,True,0,,,,,,,,
20180406,PEDEN,actual,True,-5.3,True,79,True,141,True,7.5,True,0,,,,,,,,
20180407,PEDEN,actual,True,-1.3,True,78,True,76,True,0,True,0,,,,,,,,
20180408,PEDEN,actual,True,7.3,True,54,True,156,True,2.8,True,0,,,,,,,,
20180409,PEDEN,actual,True,7.6,True,69,True,156,True,0,True,0,,,,,,,,
20180410,PEDEN,actual,True,7.5,True,54,True,119,True,15,True,0,,,,,,,,
20180411,PEDEN,actual,True,6.6,True,50,True,99,True,13.4,True,0,,,,,,,,
20180412,PEDEN,actual,True,7.4,True,40,True,241,True,9.3,True,0,,,,,,,,
20180413,PEDEN,actual,True,2.9,True,66,True,120,True,11.7,True,0,,,,,,,,
20180414,PEDEN,actual,True,6.8,True,43,True,215,True,11.2,True,0,,,,,,,,
20180415,PEDEN,actual,True,6.8,True,57,True,331,True,10.4,True,0,,,,,,,,
20180416,PEDEN,actual,True,6,True,41,True,33,True,6.2,True,0,,,,,,,,
20180417,PEDEN,actual,True,6.4,True,31,True,288,True,9.7,True,0,,,,,,,,
20180418,PEDEN,actual,True,6.9,True,44,True,228,True,9.8,True,0,,,,,,,,
20180419,PEDEN,actual,True,6.1,True,53,True,110,True,8.4,True,0,,,,,,,,
20180420,PEDEN,actual,True,6.4,True,53,True,135,True,3.9,True,0,,,,,,,,
20180421,PEDEN,actual,True,8,True,31,True,261,True,18.5,True,0,,,,,,,,
20180422,PEDEN,actual,True,7.2,True,35,True,210,True,0,True,0,,,,,,,,
20180423,PEDEN,actual,True,11.1,True,30,True,178,True,0,True,0,,,,,,,,
20180424,PEDEN,actual,True,9.7,True,50,True,239,True,0,True,0,,,,,,,,
20180425,PEDEN,actual,True,15.8,True,28,True,250,True,1.7,True,0,,,,,,,,
20180426,PEDEN,actual,True,15.2,True,32,True,142,True,8.6,True,0,,,,,,,,
20180427,PEDEN,actual,True,19.4,True,17,True,218,True,0,True,0,,,,,,,,
20180428,PEDEN,actual,True,14.3,True,24,True,262,True,11.1,True,0,,,,,,,,
20180429,PEDEN,actual,True,12.2,True,22,True,251,True,3.4,True,0,,,,,,,,
20180430,PEDEN,actual,True,15.4,True,24,True,260,True,15.5,True,0,,,,,,,,
20180501,PEDEN,startup,True,15.3,True,30,True,269,True,10,True,0,,60,6,15,,,,
