weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20180401,VANDERHOOF HUB,actual,True,-1.5,True,32,True,357,True,19.5,True,0,70,,,,,,,
20180402,VANDERHOOF HUB,actual,True,-0.3,True,29,True,301,True,7.9,True,0,70,,,,,,,
20180403,VANDERHOOF HUB,actual,True,0.9,True,56,True,87,True,21.9,True,0,70,,,,,,,
20180404,VANDERHOOF HUB,actual,True,0,True,40,True,25,True,7.4,True,0,70,,,,,,,
20180405,VANDERHOOF HUB,actual,True,-1.8,True,36,True,56,True,21.3,True,0,70,,,,,,,
20180406,VANDERHOOF HUB,actual,True,-0.8,True,46,True,112,True,16,True,0,70,,,,,,,
20180407,VANDERHOOF HUB,actual,True,3.9,True,41,True,41,True,7.2,True,0,70,,,,,,,
20180408,VANDERHOOF HUB,actual,True,5.7,True,31,True,305,True,3.6,True,0,70,,,,,,,
20180409,VANDERHOOF HUB,actual,True,10.8,True,53,True,89,True,0,True,0,70,,,,,,,
20180410,VANDERHOOF HUB,actual,True,6.3,True,58,True,93,True,31.9,True,0,70,,,,,,,
20180411,VANDERHOOF HUB,actual,True,8.5,True,48,True,97,True,22.3,True,1.6,70,,,,,,,
20180412,VANDERHOOF HUB,actual,True,5.5,True,48,True,283,True,19.1,True,3.8,70,,,,,,,
20180413,VANDERHOOF HUB,actual,True,4.9,True,50,True,147,True,24.2,True,0,70,,,,,,,
20180414,VANDERHOOF HUB,actual,True,6.9,True,39,True,272,True,15.9,True,0,70,,,,,,,
20180415,VANDERHOOF HUB,actual,True,6.2,True,54,True,252,True,10.1,True,0,70,,,,,,,
20180416,VANDERHOOF HUB,actual,True,6.1,True,43,True,19,True,16.8,True,0,70,,,,,,,
20180417,VANDERHOOF HUB,actual,True,6.7,True,44,True,250,True,9.1,True,0,70,,,,,,,
20180418,VANDERHOOF HUB,actual,True,8.2,True,45,True,295,True,11.3,True,0,70,,,,,,,
20180419,VANDERHOOF HUB,actual,True,7.1,True,46,True,156,True,9,True,0,70,,,,,,,
20180420,VANDERHOOF HUB,actual,True,4.2,True,87,True,31,True,5.3,True,1.4,70,,,,,,,
20180421,VANDERHOOF HUB,actual,True,6.3,True,48,True,259,True,27.9,True,2.6,70,,,,,,,
20180422,VANDERHOOF HUB,actual,True,8.2,True,36,True,311,True,9.4,True,0,70,,,,,,,
20180423,VANDERHOOF HUB,actual,True,13.7,True,30,True,312,True,5.8,True,0,70,,,,,,,
20180424,VANDERHOOF HUB,actual,True,10.7,True,41,True,312,True,10.2,True,0,70,,,,,,,
20180425,VANDERHOOF HUB,actual,True,13.3,True,38,True,299,True,14.8,True,0,70,,,,,,,
20180426,VANDERHOOF HUB,actual,True,19.2,True,37,True,121,True,11.3,True,0,70,,,,,,,
20180427,VANDERHOOF HUB,actual,True,20.3,True,27,True,300,True,6.8,True,0,70,,,,,,,
20180428,VANDERHOOF HUB,actual,True,17.9,True,26,True,272,True,25.6,True,0,70,,,,,,,
20180429,VANDERHOOF HUB,startup,True,12.5,True,27,True,358,True,10.7,True,0,,80,6,15,,,,
20180430,VANDERHOOF HUB,actual,True,14.9,True,28,True,286,True,24.3,True,0,70,88.54856,8.792816,18.636,11.84444,8.715379,10.97455,2
20180501,VANDERHOOF HUB,actual,True,13.5,True,35,True,259,True,23,True,0,70,88.95088,11.29121,23.47,11.75296,11.20372,12.16823,2
20180502,VANDERHOOF HUB,actual,True,15.7,True,33,True,279,True,28.2,True,0,70,89.66678,14.25453,28.7,16.92635,14.15043,17.84949,3
20180503,VANDERHOOF HUB,actual,True,13.4,True,48,True,195,True,10,True,0,90,88.68562,16.23956,33.516,5.876454,16.1462,8.135436,2
20180504,VANDERHOOF HUB,actual,True,12.1,True,51,True,273,True,22.6,True,0.6,90,86.17995,17.94236,38.098,7.756475,17.86193,10.85231,2
20180505,VANDERHOOF HUB,actual,True,16.9,True,39,True,252,True,9.6,True,0,90,88.17761,20.83302,43.544,5.354342,20.74312,8.591042,3
20180506,VANDERHOOF HUB,actual,True,20.5,True,31,True,116,True,4.9,True,0,90,90.36615,24.75674,49.638,5.783198,24.64287,10.08147,3
20180507,VANDERHOOF HUB,actual,True,17.4,True,51,True,284,True,11.8,True,0,90,88.86133,27.14325,55.174,6.598751,27.03436,11.80778,3
20180508,VANDERHOOF HUB,actual,True,21.8,True,29,True,103,True,6.7,True,0,90,91.10942,31.42369,61.502,7.040907,31.29038,13.43577,3
20180509,VANDERHOOF HUB,actual,True,11.3,True,90,True,100,True,19.1,True,0.2,90,81.46685,31.75014,65.94,3.502345,31.64865,7.544507,3
20180510,VANDERHOOF HUB,actual,True,16.7,True,46,True,293,True,11.7,True,13,90,58.32729,16.35013,49.84019,0.6595955,17.96592,0.5591882,2
20180511,VANDERHOOF HUB,actual,True,17.9,True,39,True,286,True,15.6,True,0,90,81.42874,19.40138,55.46619,2.923008,20.70067,4.860312,2
20180512,VANDERHOOF HUB,actual,True,19.5,True,46,True,262,True,16.2,True,0,90,86.65237,22.32995,61.3802,6.006158,23.38835,10.11396,3
20180513,VANDERHOOF HUB,actual,True,20.6,True,30,True,265,True,6.5,True,0,90,90.25348,26.32896,67.4922,6.168546,26.65874,11.09606,3
20180514,VANDERHOOF HUB,actual,True,23.8,True,25,True,282,True,20.6,True,0,90,92.56985,31.24546,74.1802,17.44255,31.21723,26.11256,3
20180515,VANDERHOOF HUB,actual,True,22.3,True,26,True,307,True,13,True,0,90,92.62006,35.80417,80.5982,11.97725,35.74455,21.38964,3
20180516,VANDERHOOF HUB,actual,True,21.4,True,30,True,251,True,10.1,True,0,90,92.67029,39.95061,86.85419,10.4222,39.86813,20.43473,3
20180517,VANDERHOOF HUB,actual,True,21.8,True,25,True,77,True,19.7,True,0,90,92.72053,44.4722,93.1822,17.02598,44.36342,30.31601,4
20180518,VANDERHOOF HUB,actual,True,21.8,True,32,True,135,True,13.1,True,0,90,92.56751,48.57178,99.5102,11.94912,48.44419,24.81563,4
20180519,VANDERHOOF HUB,actual,True,25.6,True,23,True,55,True,8.9,True,0,90,93.46549,53.98427,106.5222,10.96571,53.82433,24.63159,4
20180520,VANDERHOOF HUB,actual,True,15.7,True,71,True,281,True,14,True,4.4,90,61.91874,38.51182,105.6788,0.9261256,40.30418,2.042383,2
20180521,VANDERHOOF HUB,actual,True,16.6,True,42,True,238,True,14.5,True,0,90,81.10426,41.21451,111.0708,2.663756,42.76112,7.105639,3
20180522,VANDERHOOF HUB,actual,True,23.9,True,30,True,84,True,6.7,True,0,90,89.84486,45.82167,117.7768,5.876838,46.45726,14.442,3
20180523,VANDERHOOF HUB,actual,True,23.9,True,37,True,230,True,7.9,True,0,90,90.3115,49.96811,124.4828,6.674603,49.96582,16.54962,4
20180524,VANDERHOOF HUB,actual,True,21.5,True,38,True,266,True,13,True,0,90,90.36096,53.65699,130.7568,8.691747,53.63969,20.8552,4
20180525,VANDERHOOF HUB,actual,True,14.3,True,41,True,262,True,10.1,True,0,90,89.84466,56.04903,135.7348,6.974885,56.02696,18.17709,4
20180526,VANDERHOOF HUB,actual,True,7,True,83,True,278,True,21.3,True,0.4,90,83.08463,56.41154,139.3988,4.774557,56.40345,13.68788,3
20180527,VANDERHOOF HUB,actual,True,14.2,True,58,True,128,True,19.2,True,1.2,90,79.81815,58.10329,144.3588,2.936645,58.09889,9.382164,3
20180528,VANDERHOOF HUB,actual,True,14.3,True,31,True,290,True,30.7,True,0,90,88.01307,60.90076,149.3368,15.14317,60.88667,32.6224,4
