"OPENING_ID","BroadBurn","DebrisBurn","DebrisMade","DebrisPiled","Soil","WildBurn","FireID"
-633850000,0,0,0,0,1,0,"C10970"
-633230000,0,0,0,0,0,0,"R11498"
-632500000,0,0,0,0,0,0,"R11921"
-632350000,0,1,0,0,1,0,"R11921"
-631790000,0,0,0,0,1,0,"R11498"
-631050000,0,0,0,0,1,0,"C10970"
-631010000,0,0,0,0,1,0,"C10970"
-629020000,0,0,0,0,0,0,"R11921"
-627890000,0,0,0,0,0,0,"R11921"
-627790000,0,0,0,0,1,0,"R11498"
-6.27e+08,0,0,0,0,0,0,"R11498"
-626970000,0,0,0,0,0,0,"R11498"
-626640000,0,0,0,0,1,0,"R11498"
-626260000,0,1,0,1,1,0,"G41607"
-626130000,0,0,0,0,0,0,"R11498"
-626040000,0,1,0,0,1,0,"R11921"
-626030000,0,1,0,0,1,0,"R11921"
-626020000,1,0,0,1,0,0,"R11921"
-625870000,1,0,0,1,0,0,"R11498"
-624610000,0,0,0,0,1,0,"G41607"
-624430000,0,0,0,0,1,0,"R11498"
-623590000,0,0,0,0,1,0,"R11498"
-623550000,0,0,0,0,1,0,"R11498"
-623490000,0,0,0,0,1,0,"R11498"
-623390000,1,0,0,0,0,0,"R11498"
-623320000,0,0,0,0,1,0,"R11498"
-622830000,0,1,0,0,1,1,"G41607"
-622580000,1,1,0,0,0,0,"G41607"
-622290000,0,0,0,0,1,0,"R11498"
-621810000,1,1,0,0,0,0,"R11498"
-621800000,0,0,0,0,0,0,"R11498"
-621790000,0,0,0,0,0,0,"R11498"
-621780000,0,0,0,0,1,1,"R11498"
-621770000,0,0,0,0,0,0,"R11498"
-621760000,0,0,0,0,0,0,"R11498"
-621750000,0,0,0,0,1,0,"R11498"
-621740000,0,1,0,0,1,1,"R11498"
-621730000,0,0,0,0,1,0,"R11498"
-621720000,0,0,0,0,1,0,"R11498"
-621710000,0,0,0,0,0,0,"R11498"
-621700000,0,0,0,0,1,0,"R11498"
-621690000,0,0,0,0,1,0,"R11498"
-621680000,0,0,0,0,0,0,"R11498"
-621670000,0,0,0,0,0,0,"R11498"
-621660000,0,0,0,0,1,0,"R11498"
-621650000,0,0,0,0,1,0,"R11498"
-621640000,0,0,0,0,1,0,"R11498"
-621630000,0,0,0,0,1,0,"R11498"
-621620000,0,0,0,0,0,0,"R11498"
-621610000,1,0,0,0,0,0,"R11498"
-621600000,0,0,0,0,0,0,"R11498"
-621570000,0,0,0,0,0,0,"R11498"
-621550000,0,0,0,0,0,0,"R11498"
-621540000,0,0,0,0,0,0,"R11498"
-621530000,0,0,0,0,1,0,"R11498"
-621520000,0,0,0,0,1,0,"R11498"
-621510000,0,0,0,0,1,0,"R11498"
-621500000,0,0,0,0,1,0,"R11498"
-621490000,0,0,0,0,1,0,"R11498"
-621480000,0,0,0,0,1,0,"R11498"
-621470000,0,0,0,0,0,0,"R11498"
-621460000,0,0,0,0,1,1,"R11498"
-621420000,0,0,0,0,1,0,"R11498"
-621170000,0,0,0,0,0,0,"R11921"
-621140000,0,1,0,0,0,0,"R11921"
-621110000,0,1,0,0,1,0,"R11921"
-621070000,0,1,0,0,1,0,"R11921"
-621050000,1,0,0,0,1,0,"R11921"
-620310000,0,0,0,0,0,0,"R11498"
-620300000,0,0,0,0,0,0,"R11498"
-620290000,0,0,0,0,0,0,"R11498"
-620270000,0,0,0,0,0,0,"R11498"
-620260000,0,0,0,0,0,0,"R11498"
-620220000,1,1,0,0,1,0,"R11498"
-620210000,1,1,0,0,1,0,"R11498"
-620200000,0,0,0,0,1,0,"R11498"
-620190000,0,0,0,0,1,0,"R11498"
-619790000,0,1,0,0,1,0,"R11498"
-619730000,1,0,0,0,1,0,"G41607"
-619690000,0,0,0,0,1,0,"R11498"
