"","OPENING_ID","SP_type","SP_Method","SP_Date","SP_Area","SP_type_meth","FireID"
"1",-23060000,"0",NA,NA,0,"0_NA","C20735"
"2",-23020000,"0",NA,NA,0,"0_NA","C20735"
"3",-23010000,"0",NA,NA,0,"0_NA","C20735"
"4",-2.3e+07,"ME","WING",1994,0.5,"ME_WING","C20735"
"5",-22660000,"0",NA,NA,0,"0_NA","C20735"
"6",-21990000,"0",NA,NA,0,"0_NA","C20735"
"7",-19460000,"0",NA,NA,0,"0_NA","C20735"
"8",-19380000,"0",NA,NA,0,"0_NA","C20735"
"9",-18820000,"ME","TRAIL",1990,17,"ME_TRAIL","C20735"
"10",-18410000,"0",NA,NA,0,"0_NA","C20735"
"11",-14190000,"0",NA,NA,0,"0_NA","C20735"
"12",-14050000,"0",NA,NA,0,"0_NA","C20735"
"13",-13930000,"0",NA,NA,0,"0_NA","C20735"
"14",-12230000,"0",NA,NA,0,"0_NA","C20735"
"15",-12220000,"0",NA,NA,0,"0_NA","C20735"
"16",-12210000,"0",NA,NA,0,"0_NA","C20735"
"17",-11970000,"0",NA,NA,0,"0_NA","C20735"
"18",-11760000,"0",NA,NA,0,"0_NA","C20735"
"19",-11420000,"0",NA,NA,0,"0_NA","C20735"
"20",-11410000,"0",NA,NA,0,"0_NA","C20735"
"21",-11400000,"0",NA,NA,0,"0_NA","C20735"
"22",-11390000,"0",NA,NA,0,"0_NA","C20735"
"23",-11380000,"0",NA,NA,0,"0_NA","C20735"
"24",-11340000,"0",NA,NA,0,"0_NA","C20735"
"25",-11330000,"0",NA,NA,0,"0_NA","C20735"
"26",-11270000,"0",NA,NA,0,"0_NA","C20735"
"27",-11040000,"0",NA,NA,0,"0_NA","C20735"
"28",-11030000,"0",NA,NA,0,"0_NA","C20735"
"29",-11020000,"0",NA,NA,0,"0_NA","C20735"
"30",-11010000,"0",NA,NA,0,"0_NA","C20735"
"31",-10890000,"0",NA,NA,0,"0_NA","C20735"
"32",-10880000,"0",NA,NA,0,"0_NA","C20735"
"33",-10870000,"0",NA,NA,0,"0_NA","C20735"
"34",-10860000,"0",NA,NA,0,"0_NA","C20735"
"35",-10820000,"0",NA,NA,0,"0_NA","C20735"
"36",-10810000,"0",NA,NA,0,"0_NA","C20735"
"37",-10800000,"0",NA,NA,0,"0_NA","C20735"
"38",-10790000,"0",NA,NA,0,"0_NA","C20735"
"39",-10760000,"0",NA,NA,0,"0_NA","C20735"
"40",9418,"ME","MOUND",1997,2.1,"ME_MOUND","C20735"
"41",9419,"0",NA,NA,0,"0_NA","C20735"
"42",9421,"0",NA,NA,0,"0_NA","C20735"
"43",53939,"0",NA,NA,0,"0_NA","C20735"
"44",53955,"0",NA,NA,0,"0_NA","C20735"
"45",53961,"0",NA,NA,0,"0_NA","C20735"
"46",54116,"0",NA,NA,0,"0_NA","C20735"
"47",70968,"0",NA,NA,0,"0_NA","C20735"
"48",73884,"0",NA,NA,0,"0_NA","C20735"
"49",90359,"0",NA,NA,0,"0_NA","C20735"
"50",99676,"0",NA,NA,0,"0_NA","C20735"
"51",100508,"0",NA,NA,0,"0_NA","C20735"
"52",103323,"0",NA,NA,0,"0_NA","C20735"
"53",104602,"0",NA,NA,0,"0_NA","C20735"
"54",104810,"0",NA,NA,0,"0_NA","C20735"
"55",104870,"0",NA,NA,0,"0_NA","C20735"
"56",108128,"0",NA,NA,0,"0_NA","C20735"
"57",108622,"0",NA,NA,0,"0_NA","C20735"
"58",110454,"0",NA,NA,0,"0_NA","C20735"
"59",113247,"0",NA,NA,0,"0_NA","C20735"
"60",115730,"0",NA,NA,0,"0_NA","C20735"
"61",119066,"0",NA,NA,0,"0_NA","C20735"
"62",119070,"0",NA,NA,0,"0_NA","C20735"
"63",119114,"0",NA,NA,0,"0_NA","C20735"
"64",119117,"0",NA,NA,0,"0_NA","C20735"
"65",119118,"0",NA,NA,0,"0_NA","C20735"
"66",119120,"0",NA,NA,0,"0_NA","C20735"
"67",119123,"0",NA,NA,0,"0_NA","C20735"
"68",119126,"0",NA,NA,0,"0_NA","C20735"
"69",119130,"0",NA,NA,0,"0_NA","C20735"
"70",119134,"0",NA,NA,0,"0_NA","C20735"
"71",119135,"0",NA,NA,0,"0_NA","C20735"
"72",119136,"0",NA,NA,0,"0_NA","C20735"
"73",119138,"0",NA,NA,0,"0_NA","C20735"
"74",119143,"0",NA,NA,0,"0_NA","C20735"
"75",119249,"ME","CHAIN",2003,2,"ME_CHAIN","C20735"
"76",119250,"ME","CHAIN",2003,7.1,"ME_CHAIN","C20735"
"77",119251,"ME","CHAIN",2003,3.4,"ME_CHAIN","C20735"
"78",119252,"ME","CHAIN",2003,2.1,"ME_CHAIN","C20735"
"79",119254,"0",NA,NA,0,"0_NA","C20735"
"80",119255,"0",NA,NA,0,"0_NA","C20735"
"81",119256,"ME","CHAIN",2003,4,"ME_CHAIN","C20735"
"82",120316,"0",NA,NA,0,"0_NA","C20735"
"83",121049,"0",NA,NA,0,"0_NA","C20735"
"84",121052,"0",NA,NA,0,"0_NA","C20735"
"85",121053,"0",NA,NA,0,"0_NA","C20735"
"86",121054,"0",NA,NA,0,"0_NA","C20735"
"87",121055,"0",NA,NA,0,"0_NA","C20735"
"88",121057,"0",NA,NA,0,"0_NA","C20735"
"89",121058,"0",NA,NA,0,"0_NA","C20735"
"90",121059,"0",NA,NA,0,"0_NA","C20735"
"91",121060,"0",NA,NA,0,"0_NA","C20735"
"92",121061,"0",NA,NA,0,"0_NA","C20735"
"93",121063,"0",NA,NA,0,"0_NA","C20735"
"94",121064,"0",NA,NA,0,"0_NA","C20735"
"95",121065,"0",NA,NA,0,"0_NA","C20735"
"96",121066,"0",NA,NA,0,"0_NA","C20735"
"97",121166,"0",NA,NA,0,"0_NA","C20735"
"98",121167,"0",NA,NA,0,"0_NA","C20735"
"99",-23060000,NA,NA,NA,0,"NA_NA","C20735"
"100",-23020000,NA,NA,NA,0,"NA_NA","C20735"
"101",-23010000,NA,NA,NA,0,"NA_NA","C20735"
"102",-2.3e+07,NA,NA,NA,0,"NA_NA","C20735"
"103",-22660000,NA,NA,NA,0,"NA_NA","C20735"
"104",-21990000,NA,NA,NA,0,"NA_NA","C20735"
"105",-19460000,NA,NA,NA,0,"NA_NA","C20735"
"106",-19380000,NA,NA,NA,0,"NA_NA","C20735"
"107",-18820000,NA,NA,NA,0,"NA_NA","C20735"
"108",-18410000,NA,NA,NA,0,"NA_NA","C20735"
"109",-14190000,NA,NA,NA,0,"NA_NA","C20735"
"110",-14050000,NA,NA,NA,0,"NA_NA","C20735"
"111",-13930000,NA,NA,NA,0,"NA_NA","C20735"
"112",-12230000,NA,NA,NA,0,"NA_NA","C20735"
"113",-12220000,NA,NA,NA,0,"NA_NA","C20735"
"114",-12210000,NA,NA,NA,0,"NA_NA","C20735"
"115",-11970000,NA,NA,NA,0,"NA_NA","C20735"
"116",-11760000,NA,NA,NA,0,"NA_NA","C20735"
"117",-11420000,NA,NA,NA,0,"NA_NA","C20735"
"118",-11410000,NA,NA,NA,0,"NA_NA","C20735"
"119",-11400000,NA,NA,NA,0,"NA_NA","C20735"
"120",-11390000,NA,NA,NA,0,"NA_NA","C20735"
"121",-11380000,NA,NA,NA,0,"NA_NA","C20735"
"122",-11340000,NA,NA,NA,0,"NA_NA","C20735"
"123",-11330000,NA,NA,NA,0,"NA_NA","C20735"
"124",-11270000,NA,NA,NA,0,"NA_NA","C20735"
"125",-11040000,NA,NA,NA,0,"NA_NA","C20735"
"126",-11030000,NA,NA,NA,0,"NA_NA","C20735"
"127",-11020000,NA,NA,NA,0,"NA_NA","C20735"
"128",-11010000,NA,NA,NA,0,"NA_NA","C20735"
"129",-10890000,NA,NA,NA,0,"NA_NA","C20735"
"130",-10880000,NA,NA,NA,0,"NA_NA","C20735"
"131",-10870000,NA,NA,NA,0,"NA_NA","C20735"
