Type_Method,GroupName,Notes
BU_BROAD,BroadBurn,
BU_LAND,DebrisBurn,
BU_PBURN,DebrisPiledBurn,
BU_PILE,DebrisBurn,
BU_RPILE,DebrisBurn,
BU_SPOT,DebrisBurn,
BU_WFIRE,WildBurn,
BU_WINDR,DebrisBurn,
CA_HELI,Chemical,
GS_BLOCK,NA,
GS_LAND,NA,
GS_PILE,NA,
GS_RANGE,NA,
GS_ROADS,NA,
MA_HAND,DebrisMade,
MA_KNOCK,DebrisMade,
MA_LAYOT,NA,
MA_MANCT,DebrisMade,
MA_POWER,DebrisMade,
MA_SNAG,DebrisMade,
ME_BRIP,Soil,
ME_CHAIN,Soil,
ME_DISC,Soil,
ME_DITCH,Soil,
ME_EXCAV,Soil,
ME_HARV,DebrisMade,not sure what happened to debris
ME_LAYOT,NA,
ME_LRIP,NA,
ME_MDOWN,DebrisMade,
ME_MOUND,Soil,
ME_MULCH,DebrisMade,
ME_NA,MechUnk,
ME_PATCH,Soil,
ME_PILE,DebrisPiled,
ME_POST,Soil,
ME_PRE,Soil,
ME_RESTU,DebrisPiled,
ME_RPILE,DebrisPiled,
ME_RRIP,NA,
ME_SHARK,Soil,
ME_TRAIL,NA,
ME_WINDP,DebrisPiled,
ME_WINDR,DebrisPiled,
ME_WING,Soil,
NA_NA,NA,
