"","Plot_ID","Burn_status","Fire_ID","Fire_Name","Field_Date","Aspect","Slope_.","UTM_Zone","LFH_cov","Moss_cov","Soil_Rock_cov","Fuelbed_cov","CBI_A","herb_cov","shrub_cov","tree_cov","CBI_B","CBI_C","CBI_D","CBI_US","CBI_OS","CBI_TOT","DOB_average","CWD_Pattern","broadcast_burned","disc_trenched","mounded","brushed","spaced","Lv_Pli_BA","Dd_Pli_BA","Lv_Sx_BA","Dd_Sx_BA","Lv_Bl_BA","Dd_Bl_BA","Lv_At_BA","Dd_At_BA","Lv_Ac_BA","Dd_Ac_BA","Lv_W_BA","Dd_W_BA","Lv_oth_BA","Dd_oth_BA","Prism_BA","CanopyBaseHt","PCQ_density","UTM_E","UTM_N","inside_study","FEATURE_ID","MAP_ID","POLYGON_ID","OPENING_IN","OPENING_SO","OPENING_NU","OPENING_ID.x","BASAL_AREA","CROWN_CLOS","CROWN_CL_1","FREE_TO_GR","HARVEST_DA","PROJ_AGE_1","PROJ_AGE_C","PROJ_AGE_2","PROJ_AGE_3","PROJ_HEIGH","PROJ_HEI_1","PROJ_HEI_2","PROJ_HEI_3","SPECIES_CD","SPECIES_PC","SPECIES__1","SPECIES__2","SPECIES__3","SPECIES__4","SPECIES__5","SPECIES__6","SPECIES__7","SPECIES__8","SPECIES__9","SPECIES_10","OPENING_ID.y","OPENING_ST","APPROVE_DA","DISTURBANC","DISTURBA_1","DENUDATION","DENUDATI_1","DENUDATI_2","DENUDATI_3","DENUDATI_4","DENUDATI_5","DENUDATI_6","DENUDATI_7","DENUDATI_8","DENUDATI_9","DENUDAT_10","SITE_PREP_","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","PLANTING_1","PLANTING_2","PLANTING_3","PLANTING_4","PLANTING_5","PLANTING_6","PLANTING_C","BRUSHING_T","BRUSHING_1","BRUSHING_C","BRUSHING_2","SPACING_TR","SPACING_CO","SPACING__1","FERTILIZAT","FERTILIZ_1","FERTILIZ_2","PRUNING_TR","PRUNING_CO","PRUNING__1","SLOPE","ASPECT","dNBR_C10784","dNBR_C10970","dNBR_C11837","dNBR_C11937","dNBR_C12594","dNBR_C20279","dNBR_C20735","dNBR_C50647","dNBR_C50744","dNBR_G41607","dNBR_G51632","dNBR_K20637","dNBR_R11498","dNBR_R11796","dNBR_R11921","dNBR_R12068","dNBR_R21721","dNBR_R91947","dNBR_VA1787","dNBR_VA1964","coords.x1","coords.x2","optional"
"14","NL01","burned","R21721","Nadina",2021-08-23,"131",3,9,25,30,0,3,2.875,75,35,60,3,2.25,2.583333333,2.708333333,2.583333333,2.569444444,20,"sparse",0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,116,5.1,NA,662904,5981052,TRUE,13368864,"093E098",84064923,"Y","11","21",-500540000,23.020769,35,"3","Y","1986/07/01 00:00:00.000",29,"2",29,"2",13.3999996185303,"2",8.5,"1","PLI",90,"SX",5,"AT",5,NA,NA,NA,NA,NA,NA,-500840000,"FG",1986-07-01,1986-07-01,1986-10-01,"L","CLEAR",NA,NA,1986-10-01,NA,NA,NA,NA,NA,1,"ME",2,1986-10-01,"ME",4,1986-10-01,3,"PL",7,1987-06-01,"FP",8,1991-05-01,2,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3.6,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0036346912384,NA,NA,NA,966124.102788916,994393.890770653,TRUE
"15","NL02","unburned","R21721","Nadina",2021-08-23,"112",5,9,25,30,0,3,0,75,35,60,0,0,0,0,0,0,0,"sparse",1,0,0,0,0,25,2,6,0,0,0,0,0,0,0,0,0,0,0,66,3.91,2481,663068,5980852,TRUE,13935107,"093E098",84044668,"Y","11","13",-500740000,47.270081,45,"4","Y","1982/06/01 00:00:00.000",31,"2",25,"2",15.1000003814697,"2",8.39999961853027,"1","PLI",50,"SX",20,"BL",20,"AT",10,NA,NA,NA,NA,-500740000,"FG",1982-06-01,1982-06-01,1982-06-01,"L","CLEAR",NA,NA,1982-06-01,NA,NA,NA,NA,NA,1,"ME",71,1983-09-01,NA,0,NA,1,"PL",67,1984-05-01,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,1,0,NA,0,6.9,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142980873584747,NA,NA,NA,966279.071792817,994186.557334206,TRUE
"15.1","NL02","unburned","R21721","Nadina",2021-08-23,"112",5,9,25,30,0,3,0,75,35,60,0,0,0,0,0,0,0,"sparse",1,0,0,0,0,25,2,6,0,0,0,0,0,0,0,0,0,0,0,66,3.91,2481,663068,5980852,TRUE,13935107,"093E098",84044668,"Y","11","13",-500740000,47.270081,45,"4","Y","1982/06/01 00:00:00.000",31,"2",25,"2",15.1000003814697,"2",8.39999961853027,"1","PLI",50,"SX",20,"BL",20,"AT",10,NA,NA,NA,NA,1730649,"APP",2020-02-12,2018-07-31,2018-07-31,"B",NA,NA,NA,2018-07-31,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,1,NA,0,NA,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,6.9,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142980873584747,NA,NA,NA,966279.071792817,994186.557334206,TRUE
"16","NL03","unburned","R21721","Nadina",2021-08-23,"305",10,9,45,20,1,5,0,35,5,45,0,0,0,0,0,0,0,"large",1,0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,70,2.98,5176,665307,5979866,TRUE,13935133,"093E098",2064060,"Y","11","26",-500860000,39.05814,40,"4","Y","1986/05/31 00:00:00.000",26,"2",22,"2",13.3000001907349,"2",5.40000009536743,"1","PLI",45,"SX",40,"BL",10,"AT",5,NA,NA,NA,NA,-500860000,"FG",1986-06-01,1986-06-01,1987-08-01,"L","CLEAR",NA,NA,1987-08-01,NA,NA,NA,NA,NA,1,"ME",28,1987-08-01,NA,0,NA,1,"PL",96,1988-06-01,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3,338.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0544649697840214,NA,NA,NA,968468.502292666,993103.738917593,TRUE
"17","NL04","burned","R21721","Nadina",2021-08-23,"279",6,9,25,20,5,2,2.625,80,3,45,2.875,1.875,2.25,2.458333333,2.25,2.25,8.2,"sparse",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,1.33,1754,668296,5981127,TRUE,13451892,"093E098",17834887,"Y","11","801",61500,7,40,"4","N","1997/07/01 00:00:00.000",17,"1",NA,NA,7.5,"1",NA,NA,"PLI",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61500,"FG",1996-02-19,1997-07-01,1999-10-01,"L","CLEAR",NA,"REMOV",1997-09-01,"L","CLEAR",NA,"REMOV",1998-10-01,3,NA,0,NA,NA,0,NA,0,"PL",3.4,2000-05-01,"PL",3.1,1998-05-01,3,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.3,337.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682927668094635,NA,NA,NA,971500.209146654,994240.316908536,TRUE
"17.1","NL04","burned","R21721","Nadina",2021-08-23,"279",6,9,25,20,5,2,2.625,80,3,45,2.875,1.875,2.25,2.458333333,2.25,2.25,8.2,"sparse",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,1.33,1754,668296,5981127,TRUE,13451892,"093E098",17834887,"Y","11","801",61500,7,40,"4","N","1997/07/01 00:00:00.000",17,"1",NA,NA,7.5,"1",NA,NA,"PLI",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1727407,"FG",2019-08-22,2018-07-31,2018-09-01,"B",NA,NA,NA,2018-09-01,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.8,339.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682927668094635,NA,NA,NA,971500.209146654,994240.316908536,TRUE
"18","NL05","unburned","R21721","Nadina",2021-08-23,"296",7,9,25,20,5,2,0.625,80,3,45,0.75,0,0.75,0.458333333,0.75,0.458333333,1.5,"few",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.12,2898,668405,5981124,TRUE,13451892,"093E098",17834887,"Y","11","801",61500,7,40,"4","N","1997/07/01 00:00:00.000",17,"1",NA,NA,7.5,"1",NA,NA,"PLI",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61500,"FG",1996-02-19,1997-07-01,1999-10-01,"L","CLEAR",NA,"REMOV",1997-09-01,"L","CLEAR",NA,"REMOV",1998-10-01,3,NA,0,NA,NA,0,NA,0,"PL",3.4,2000-05-01,"PL",3.1,1998-05-01,3,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.3,337.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0993917509913445,NA,NA,NA,971608.695811267,994232.687571318,TRUE
"18.1","NL05","unburned","R21721","Nadina",2021-08-23,"296",7,9,25,20,5,2,0.625,80,3,45,0.75,0,0.75,0.458333333,0.75,0.458333333,1.5,"few",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.12,2898,668405,5981124,TRUE,13451892,"093E098",17834887,"Y","11","801",61500,7,40,"4","N","1997/07/01 00:00:00.000",17,"1",NA,NA,7.5,"1",NA,NA,"PLI",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1727407,"FG",2019-08-22,2018-07-31,2018-09-01,"B",NA,NA,NA,2018-09-01,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.8,339.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0993917509913445,NA,NA,NA,971608.695811267,994232.687571318,TRUE
"19","NL06","unburned","R21721","Nadina",2021-08-23,"302",9,9,25,35,0,1,0,50,3,65,0,0,0,0,0,0,0,"",1,0,0,0,0,28,0,4,0,2,0,2,2,0,0,0,0,0,0,76,5.46,3564,668051,5980826,TRUE,13368100,"093E098",14374594,"Y","11","504",-5.7e+08,22.538862,45,"4","Y","1984/02/01 00:00:00.000",28,"2",28,"2",9.80000019073486,"1",7.5,"1","PLI",95,"SX",3,"AT",2,NA,NA,NA,NA,NA,NA,-5.7e+08,"FG",1984-02-01,1984-02-01,1987-01-01,"L",NA,NA,NA,1987-01-01,NA,NA,NA,NA,NA,1,"ME",11,1988-10-01,"ME",9,1988-10-01,3,"PL",20,1990-05-01,NA,0,NA,1,NA,0,NA,0,0,NA,0,21.3,2012-10-15,1,0,NA,0,11.1,325.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0335028693079948,NA,NA,NA,971243.358582673,993949.148005167,TRUE
"20","NL07","burned","R21721","Nadina",2021-08-23,"215",8,9,15,15,1,1,3,65,3,45,2.625,2.75,2.166666667,2.791666667,2.166666667,2.638888889,11.9,"sparse",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,30,3.19,793,605168,5981216,FALSE,13768924,"093E094",45766618,"N","4",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908592.821659788,997005.765384723,TRUE
