OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
-633850000,ME,MOUND,8.6,15/11/1995,ME,DISC,70.7,15/11/1995,2,NA,NA,NA,NA,NA,NA,NA,NA,PL,77.8,21/05/1996,PLI,110580,SX,8150,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
-631050000,ME,DISC,49,01/07/1992,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,53.4,05/06/1993,PLI,77600,SX,5500,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
-631010000,ME,DISC,30.5,26/10/1989,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,30.5,03/06/1990,PLI,41825,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
-470640000,ME,MOUND,12.9,18/08/2000,ME,MOUND,17,06/08/1996,4,BU,LAND,1.7,10/10/1996,GS,ROADS,1.7,10/10/1996,PL,16,07/06/1997,PLI,10400,SX,10200,,,,,,,,,PL,27.1,07/06/1997,PLI,38200,SX,3300,,,,,3,PL,FP,14.1,06/06/2001,PLI,14400,NA,NA
-470630000,ME,PILE,7,01/09/1990,ME,TRAIL,11,01/09/1990,3,BU,PBURN,11,01/11/1990,NA,NA,NA,NA,PL,10,01/06/1991,PLI,10000,NA,NA,,,,,,,,,PL,3,01/06/1991,SX,4000,NA,NA,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1424,ME,DISC,40,06/11/1996,ME,LRIP,1.2,26/06/1997,4,GS,LAND,1.2,26/06/1997,BU,LAND,1.2,12/12/1995,PL,40,02/06/1997,PLI,51390,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
7285,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,9.7,15/05/1999,PLI,15980,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
7286,ME,MOUND,8.9,01/08/1997,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,2,15/05/1999,PLI,3100,NA,NA,,,,,,,,,PL,45.7,15/05/1998,PLI,65620,SX,8685,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
29268,ME,,87,01/10/1993,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,86.7,01/05/1994,PLI,145200,PLI,1350,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
29270,ME,,96.9,01/10/1993,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,96.9,01/05/1994,PLI,147000,PLI,12000,,,,,,,,,PL,0.9,01/05/1997,PLI,1440,NA,NA,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
