OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
-633850000,ME,MOUND,8.6,1995-11-15,ME,DISC,70.7,1995-11-15,2,NA,NA,NA,NA,NA,NA,NA,NA,PL,77.8,1996-05-21,PLI,110580,SX,8150,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
-631050000,ME,DISC,49,1992-07-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,53.4,1993-06-05,PLI,77600,SX,5500,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
-631010000,ME,DISC,30.5,1989-10-26,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,30.5,1990-06-03,PLI,41825,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
-470640000,ME,MOUND,12.9,2000-08-18,ME,MOUND,17,1996-08-06,4,BU,LAND,1.7,10-10-1996,GS,ROADS,1.7,10-10-1996,PL,16,1997-06-07,PLI,10400,SX,10200,,,,,,,,,PL,27.1,1997-06-07,PLI,38200,SX,3300,,,,,3,PL,FP,14.1,06-06-2001,PLI,14400,NA,NA
-470630000,ME,PILE,7,1990-09-01,ME,TRAIL,11,1990-09-01,3,BU,PBURN,11,01-11-1990,NA,NA,NA,NA,PL,10,1991-06-01,PLI,10000,NA,NA,,,,,,,,,PL,3,1991-06-01,SX,4000,NA,NA,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1424,ME,DISC,40,1996-11-06,ME,LRIP,1.2,1997-06-26,4,GS,LAND,1.2,26-06-1997,BU,LAND,1.2,12-12-1995,PL,40,1997-06-02,PLI,51390,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
7285,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,9.7,1999-05-15,PLI,15980,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
7286,ME,MOUND,8.9,1997-08-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,2,1999-05-15,PLI,3100,NA,NA,,,,,,,,,PL,45.7,1998-05-15,PLI,65620,SX,8685,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
29268,ME,,87,1993-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,86.7,1994-05-01,PLI,145200,PLI,1350,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
29270,ME,,96.9,1993-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,96.9,1994-05-01,PLI,147000,PLI,12000,,,,,,,,,PL,0.9,1997-05-01,PLI,1440,NA,NA,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
