OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2
-42770000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42730000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42710000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42700000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42680000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42670000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42590000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42580000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42540000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-42360000,MA,KNOCK,5,1984-06-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
