OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,SITEPr_6_Type,SITEPr_6_Meth,SITEPr_6_Area,SITEPr_6_Date,SITEPr_7_Type,SITEPr_7_Meth,SITEPr_7_Area,SITEPr_7_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANT_2_SP5,PLANT_2_NUM5,PLANT_2_SP6,PLANT_2_NUM6,PLANT_2_SP7,PLANT_2_NUM7,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_3_SP4,PLANT_3_NUM4,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_4_SP3,PLANT_4_NUM3,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_5_SP3,PLANT_5_NUM3,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2,PLANT_6_SP3,PLANT_6_NUM3,PLANT_6_SP4,PLANT_6_NUM4,PLANT_7_Type,PLANT_7_Meth,PLANT_7_Area,PLANT_7_Date,PLANT_7_SP1,PLANT_7_NUM1,PLANT_7_SP2,PLANT_7_NUM2,PLANT_7_SP3,PLANT_7_NUM3,PLANT_7_SP4,PLANT_7_NUM4,PLANT_8_Type,PLANT_8_Meth,PLANT_8_Area,PLANT_8_Date,PLANT_8_SP1,PLANT_8_NUM1,PLANT_8_SP2,PLANT_8_NUM2,PLANT_8_SP3,PLANT_8_NUM3,PLANT_8_SP4,PLANT_8_NUM4
-379740000,ME,LRIP,4,01/03/1988,BU,LAND,97,01/12/1987,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-379720000,GS,ROADS,13,01/11/1986,BU,LAND,126,01/11/1986,3,ME,LRIP,13,01/11/1986,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-379680000,BU,LAND,88,01/12/1977,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-379670000,BU,LAND,26,01/11/1980,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-379630000,ME,CHAIN,86,01/06/1976,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-376080000,ME,RRIP,1,01/10/1989,GS,ROADS,1,01/11/1989,4,ME,LRIP,1,01/10/1989,BU,LAND,1,01/10/1989,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-376070000,GS,ROADS,0.7,26/03/1996,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-376060000,ME,RRIP,1,01/06/1989,ME,LRIP,2,01/06/1989,4,GS,ROADS,1,01/11/1989,BU,LAND,46,01/06/1989,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-376050000,BU,LAND,28,01/03/1988,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-376040000,BU,SPOT,25,01/11/1988,ME,LRIP,2,01/11/1988,3,ME,PILE,25,01/11/1988,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
