"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-50_50","SurIM-Con","SurM-50_50","SurM-75Con","SurM-Con","SurNA-NF","SurCrClos","SurBA","SurM-75Pine","SurM-Pine","SurM-PineMix","Sur-High","Sur-Low","Sur-Medium","sur_dNBR","SurIM-75Con","Sur-Unburned","SurY-Con","Sur-AgeCl-3","Sur-AgeCl-1","Sur-AgeCl-2","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
-374060000,29,0,0.0757152644678815,0.0704122577545571,0.853872477777561,0,27,56.3333333333333,49.8333333333333,0,6.5,0,21,80,10.9333333333333,7.8447765,0.366958647966385,1,0,1,0,0,1,1,"CC",0.23677914153929,0.0986056513415472,0.23465165386322,0.028534118558599,0.0850321046705544,0.31639733002679,22.3333333333333,22.3333333333333,0.028534118558599,0.0850321046705544,0.23465165386322,0.046565876828843,0.0412841029446937,0.912150020226463,0.370526492595673,NA,NA,NA,NA,NA,NA,271720.542392423,229,0.171584738083184,1.94833285540342,268.019427897135,0.565955061415831
-374050000,29,0,0.00342793835867969,0.408414985842074,0.554165217782107,0.0339918580171396,28.6666666666667,71.3333333333333,24.6666666666667,0,42.6666666666667,4,17.6666666666667,119.333333333333,13.1333333333333,8.816023,0.226200804114342,1,0,1,0,0,1,1,"CC",NA,0.0243305609093797,0.264636427955017,NA,0.0243435516662486,0.112625997722041,14.5,14.5,NA,0.0049067344628268,0.284073245158439,0.153857492955435,0.184265893660291,0.562528353026282,0.312590166926384,0.574063461747314,0.0993482603579918,NA,NA,NA,NA,66005.4712301139,229,0.124945208935865,1.71885489736285,250.18393031529,0.536270575438227
-337470000,25,0,0,0.462421692632989,0.331366540468725,0.206211766898286,0,100,83.8571428571429,2.85714285714286,29,0,23.5714285714286,132.714285714286,15.2142857142857,14.2232885714286,0.159244537353516,0,0,1,0,0,0,1,"CC",NA,0.191250221666125,NA,NA,0.796906979288346,NA,23.2,23.2,0.0215659283526253,0.775341050935721,NA,NA,0.290531280964221,0.601196010471464,0.158740520477295,NA,0.108272708564315,0.0118427990455282,0.111121708481792,NA,NA,94469.1339155976,225,0.157243044827791,4.11797799783594,376.384857776118,0.679484703377181
-337460000,24,0,0,0.346413718759013,0.285603113670576,0.367983167570411,0,92.3076923076923,68.3076923076923,20,22.4615384615385,0,18,104.307692307692,12.5846153846154,10.2920716923077,0.145174339413643,0,0,1,0,0,0,1,"CC",NA,0.0459677239494778,NA,NA,0.951486735050407,0.00254554100011499,24.2666666666667,24.2666666666667,0.0460977576192469,0.905380259931181,NA,NA,0.402529744340053,0.415295929999298,0.14370708912611,NA,0.182174325660649,NA,NA,NA,NA,334347.865529167,225,0.117992425992809,1.69895295523324,373.866155715216,0.512390732607514
-337450000,25,0,0.00757773265462807,0.374574792975301,0.237492224608515,0.380355249761557,0,100,89.5,2,16.5,0,35.6,149.5,16.99,21.5546059,0.0925080925226212,0,0,0,0,0,0,1,"CC",NA,0.0316845017659863,NA,NA,0.968315498234014,NA,34.0909090909091,34.0909090909091,0.0982551650670209,0.854599272808299,0.0154610603586937,0.311599170006522,0.0969053274999023,0.324596006570558,0.109656177461147,NA,0.266899495923017,NA,NA,NA,NA,211317.94616662,225,0.136701277966619,4.54232272194921,382.480994069678,0.557124749080748
-337440000,28,0,0,0.347979292054117,0.0806744156300915,0.571346292315792,0,100,87.5,2.5,10,0,36.25,137.75,16.375,23.32208475,0.134206838905811,0,0,1,0,0,0,1,"CC",NA,0.0969407075441313,NA,NA,0.903059292455869,NA,27.5,27.5,NA,0.903059292455869,NA,NA,0.398813739624754,0.520467730473723,0.146484695374966,NA,0.0807185299015227,NA,1.85791757384664e-05,0.282053284809147,NA,48521.0900671091,225,0.215904206037521,5.39299561296191,337.561353410993,0.620067322892802
-337430000,26,0,0,0.144544989754433,0.127669605726149,0.727785404519418,0,100,71,10,27,0,25.8,125.5,14.27,15.0680727,0.108854539692402,1,0,1,0,0,1,1,"CC",NA,0.139644565943762,NA,NA,0.859881086856764,NA,29.4166666666667,29.4166666666667,0.112901289656092,0.746979797200671,NA,0.00744519230211561,0.410282929529218,0.246383533051962,0.094143345952034,NA,0.335888345116705,0.000474347199473975,0.0900951401779493,NA,NA,156546.050876054,225,0.158937533236184,4.03760665319004,368.173717279544,0.579571538958056
-337420000,29,0,0,0.19196341136381,0.0976892877336466,0.710347300902543,0.625,99.375,96.75,0.5,14.625,0,23.5,134.375,15.125,15.584150125,0.084454607218504,0,0,1,0,0,0,1,"CC",NA,0.0312307740952787,NA,NA,0.734620963929494,0.0949654486202259,22.8333333333333,22.8333333333333,NA,0.683369989101958,0.051250974827536,NA,0.377724628711679,0.522718880103923,0.189480319619179,NA,0.0995564911843986,0.139182813355002,NA,NA,0.301891285459669,219915.88107049,229,0.133904598225824,4.92009041801507,325.509331374872,0.615038022887511
-337390000,26,0,0.000217063081387806,0.165658922865694,0.0392969151684641,0.794827098884454,0,100,70.5833333333333,2.83333333333333,26.5833333333333,0,32.6666666666667,141.75,17.3416666666667,19.9046374166667,0.101567819714546,0,0,1,0,0,1,1,"CC",NA,0.127567029618563,NA,NA,0.872432970381436,NA,30.6111111111111,30.6111111111111,0.0970967925119189,0.61690267235216,0.158433505517358,0.0815845551665908,0.253390158943252,0.220512829157928,0.0973131060600281,NA,0.444512456732229,NA,0.00620906103343153,0.0316690457987285,NA,443350.850743284,225,0.184843954906564,5.23119030975949,331.202449023239,0.595564009515735
-337380000,26,0,0,0.0768119490935551,0.274628722115936,0.648559328790509,0,100,38.6666666666667,12.3333333333333,49,0,28,110,13.8666666666667,18.520097,0.0771617069840431,0,0,1,0,0,1,1,"CC",NA,0.0525340295827643,NA,NA,0.947465970417236,NA,34.8571428571429,34.8571428571429,NA,0.300858176492692,0.646607793924544,6.6143313743046e-05,0.148104086246814,0.368858481301576,0.0718364454805851,NA,0.482971289137867,NA,0.0525340295821587,NA,NA,27458.3095720187,225,0.152132584775488,2.96027781292796,343.421439615885,0.538109080990156
6951,20,0,0,0.259042070782348,0.163479752344757,0.577478176872895,1.14285714285714,98.8571428571429,84.7142857142857,5.85714285714286,32.9285714285714,1.07142857142857,21.7142857142857,96.5,13.6285714285714,11.5971205,0.0501073561608791,0,1,0,0,0,1,1,"CC",NA,0.122754967379814,NA,NA,0.803720611156953,NA,22.375,22.375,0.0308086282611061,0.667805018646848,0.105106964248998,NA,0.156842876521466,0.351148923616918,0.074246846139431,NA,0.492008199861617,0.073524421463233,NA,0.108629546001422,0.070071584052325,455566.140403934,229,0.165587315229117,2.23254044371631,331.356292362741,0.60017997898132
31061,20,0,0.00582287020036432,0.480952969972122,0.353807490287661,0.159416669539853,4.08333333333333,95.9166666666667,75.6666666666667,0,42.1666666666667,3.08333333333333,19.4166666666667,120.583333333333,15.7916666666667,13.0041901666667,0.121722668409348,0,0,1,0,0,1,1,"CC",NA,0.156012939051655,NA,NA,0.74782396644627,0.0102828727537859,17.5555555555556,17.5555555555556,0.15025748092475,0.469449499141592,0.0839924284658706,0.200542098376814,0.235466780055364,0.418955367072896,0.208619058132172,0.085880221748289,0.145035754494927,NA,NA,NA,NA,503293.056868394,216,0.128292090679337,2.37140533610619,321.45630254046,0.603766030936847
31062,20,0,0.0272678259435135,0.551284759264323,0.270605065722356,0.150842349069808,7.625,79.875,71.125,0,18.625,1.375,27,97.5,12.775,13.328723625,0.148016966879368,0,0,1,0,0,1,1,"CC",NA,0.346022546820059,NA,NA,0.442011116449253,0.0282273273175685,27.1666666666667,27.1666666666667,0.164731684962656,0.274534358646033,0.00274507284056449,0.0692062484127519,0.42346402020521,0.470124741976944,0.201506569981575,0.147511336520704,0.037204989405094,0.0362276728924157,NA,NA,0.033819466095695,382000.02218588,216,0.127569401601575,2.60168146269115,313.787375252202,0.606653178778459
31064,24,0,3.76129686955769e-05,0.421456220468612,0.396511823132897,0.181994343429795,0,87.5,79.625,5.375,15,0,27.375,89.75,10.325,11.23833875,0.156623557209969,0,0,1,0,0,0,1,"CC",NA,0.00746939946935812,NA,NA,0.717616626755128,0.135568477753761,27.8235294117647,27.8235294117647,0.0527048983903692,0.664911728364759,NA,0.0223161075777373,0.397077543043853,0.386117774737312,0.113669201731682,NA,0.194488574641098,0.139345496021752,NA,0.168445841341371,0.130121682746493,670540.111543313,225,0.114385164526634,2.74963208703467,325.524566526838,0.600481562125377
55223,18,0,0.0218251968039866,0.206873264868906,0.44909747920941,0.322204059117698,0,81.25,68.0625,1.875,36.9375,0,22.5625,94.90625,10.521875,11.19135525,0.124820083379745,0,0,1,0,0,1,1,"CC",NA,0.0637366011728375,NA,NA,0.71136713818613,0.0843538197556352,18.9117647058824,18.9117647058824,0.0473638600667994,0.520273603854576,0.143729674264754,0.0183262182203883,0.219334767715354,0.701030166219635,0.222353734076023,NA,0.0613088478446223,0.140542440885398,NA,0.231637210878165,0.0995408680675977,2073872.69860789,229,0.132842828096552,3.2427598015055,333.385018624714,0.574581852625003
71171,17,0,0,0.422914631800766,0.438661236333241,0.138424131865993,0,83.3333333333333,83.3333333333333,0,33.3333333333333,0,15.8333333333333,93.6666666666667,9.73333333333333,6.893015,0.143444791436195,0,0,0,0,0,0,1,"CC",NA,NA,NA,NA,0.945136213459334,0.0548475205627922,21.375,21.375,NA,0.945136213459334,NA,NA,0.0799887605215685,0.865857764521351,0.207370325922966,NA,0.0541534749570802,1.62659778739507e-05,NA,NA,NA,306685.824364726,225,0.113070228425869,2.11906390071871,352.110508768778,0.547110162343753
71180,17,0,2.42988185306205e-05,0.0306892715173391,0.96928642966413,0,0,100,88.5555555555556,1.11111111111111,20.3333333333333,0,30.1111111111111,148.666666666667,15.2444444444444,17.3401256666667,0.261204570531845,0,0,0,0,0,0,1,"CC",NA,NA,NA,NA,0.999646381108001,NA,30.2,30.2,0.208034305704837,0.791612075403164,NA,0.0385138785390496,0.308883255700649,0.646628272038937,0.150173105299473,NA,0.00597459372136514,0.000353618891999521,NA,NA,NA,416819.150529314,229,0.138460283739383,3.9270063749158,333.029714456091,0.54648463450647
