OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
-374060000,ME,TRAIL,18,1987-10-01,BU,SPOT,1,1987-11-01,4,MA,SNAG,18,01-12-1987,ME,PILE,1,01-10-1987,PL,19,1988-05-01,PLI,18000,SX,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-374050000,ME,TRAIL,5,1987-10-01,BU,SPOT,1,1987-11-01,4,ME,PILE,1,01-10-1987,MA,SNAG,5,01-12-1987,PL,5,1988-05-01,SX,4000,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-337470000,ME,LRIP,0.6,1993-11-20,BU,LAND,10,1993-11-20,3,GS,ROADS,1,19-10-1994,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-337460000,GS,ROADS,1.7,1996-12-16,GS,ROADS,1.7,1994-10-15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-337450000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-337440000,ME,LRIP,1,1990-08-01,GS,ROADS,1,1992-05-01,3,BU,LAND,9,01-11-1991,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-337430000,BU,LAND,17,1991-12-01,ME,LRIP,1,1990-08-01,3,GS,ROADS,1,01-05-1992,NA,NA,NA,NA,PL,10,1991-06-01,SX,10000,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-337420000,GS,ROADS,1,1992-05-01,BU,LAND,1,1989-12-01,3,ME,LRIP,1,01-06-1990,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-337390000,GS,ROADS,4,1992-05-01,BU,LAND,56,1991-12-01,3,ME,LRIP,4,01-08-1990,NA,NA,NA,NA,PL,30,1991-06-01,SX,31000,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-337380000,ME,LRIP,1,1992-05-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,4,1991-06-01,SX,4000,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6951,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,RP,1,1999-06-01,SX,29,PLI,727,PL,1,1997-06-01,SX,1110,NA,NA,3,PL,FP,11.4,01-06-1999,SX,331,PLI,8288
31061,ME,MOUND,3.9,1998-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,45.9,1999-06-01,PLI,33867,SX,1935,PL,2.2,1997-06-01,PLI,1623,NA,NA,3,PL,PL,2.2,01-06-1997,SX,2790,NA,NA
31062,BU,PBURN,2.1,1993-11-01,ME,DISC,2.5,1998-10-01,3,ME,MOUND,11.8,01-10-1998,NA,NA,NA,NA,PL,9.9,1999-05-01,PLI,7410,NA,NA,PL,9.9,1997-06-01,SX,9060,NA,NA,3,PL,PL,10.4,15-05-1995,PLI,7410,SX,1005
31064,BU,PBURN,3.8,1993-11-01,ME,MOUND,2.3,1998-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
