OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANT_1_SP7,PLANT_1_NUM7,PLANT_1_SP8,PLANT_1_NUM8,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANT_2_SP6,PLANT_2_NUM6,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_5_SP3,PLANT_5_NUM3,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2,PLANT_6_SP3,PLANT_6_NUM3,PLANT_7_Type,PLANT_7_Meth,PLANT_7_Area,PLANT_7_Date,PLANT_7_SP1,PLANT_7_NUM1,PLANT_7_SP2,PLANT_7_NUM2,PLANT_7_SP3,PLANT_7_NUM3
-626260000,ME,WINDR,124,01/10/1982,BU,WINDR,124,01/09/1984,3,ME,MOUND,7.2,01/09/1991,NA,NA,NA,NA,,,,,PL,124,01/06/1985,SX,117000,NA,NA,,,,,,,,,,,,,PL,30,11/06/1994,PLI,20000,NA,NA,,,,,,,,,3,PL,PL,7.2,24/06/1992,SX,3000,SW,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-626260000,ME,WINDR,124,01/10/1982,BU,WINDR,124,01/09/1984,3,ME,MOUND,7.2,01/09/1991,NA,NA,NA,NA,,,,,PL,124,01/06/1985,SX,117000,NA,NA,,,,,,,,,,,,,PL,30,11/06/1994,PLI,20000,NA,NA,,,,,,,,,3,PL,PL,7.2,24/06/1992,SX,3000,SW,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-626260000,ME,WINDR,124,01/10/1982,BU,WINDR,124,01/09/1984,3,ME,MOUND,7.2,01/09/1991,NA,NA,NA,NA,,,,,PL,124,01/06/1985,SX,117000,NA,NA,,,,,,,,,,,,,PL,30,11/06/1994,PLI,20000,NA,NA,,,,,,,,,3,PL,PL,7.2,24/06/1992,SX,3000,SW,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-626260000,ME,WINDR,124,01/10/1982,BU,WINDR,124,01/09/1984,3,ME,MOUND,7.2,01/09/1991,NA,NA,NA,NA,,,,,PL,124,01/06/1985,SX,117000,NA,NA,,,,,,,,,,,,,PL,30,11/06/1994,PLI,20000,NA,NA,,,,,,,,,3,PL,PL,7.2,24/06/1992,SX,3000,SW,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-624610000,ME,TRAIL,80,01/10/1990,ME,CHAIN,88,01/09/1984,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,81.2,01/06/1991,PLI,11000,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-622830000,BU,PBURN,9,01/10/1979,BU,WFIRE,43,01/05/1981,4,ME,CHAIN,77,01/10/1979,ME,DISC,21.6,01/11/1991,,,,,PL,21.6,15/07/1993,PLI,28600,NA,NA,,,,,,,,,,,,,FP,10.3,04/06/1999,PLI,8400,NA,NA,,,,,,,,,3,PL,PL,0.6,21/05/1996,SX,375,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-622580000,BU,BROAD,166,01/10/1979,ME,TRAIL,32,01/09/1988,3,BU,WINDR,51,01/10/1980,NA,NA,NA,NA,,,,,PL,32.2,24/06/1989,PLI,6400,PLI,13420,,,,,,,,,,,,,PL,111,01/05/1980,SX,183000,PLI,0,,,,,,,,,3,PL,PL,15,01/05/1980,SX,25000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-619730000,ME,MOUND,5.9,01/09/1991,BU,BROAD,133.5,01/09/1980,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,5.9,01/06/1992,SX,5000,NA,NA,,,,,,,,,,,,,FP,4.7,21/05/1996,SX,3885,NA,NA,,,,,,,,,3,PL,PL,133.5,01/06/1983,SX,199000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-470450000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7183,ME,MOUND,2.7,01/10/1992,BU,PILE,54.7,01/10/1992,5,BU,SPOT,54.7,01/10/1992,BU,SPOT,7.3,01/11/1991,ME,PILE,7.3,01/09/1991,PL,21.9,15/05/1994,PLI,34395,NA,NA,,,,,,,,,,,,,PL,40.9,15/06/1993,PLI,58845,SX,1080,,,,,,,,,3,PL,PL,2.8,15/05/1992,SX,3730,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
