"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
-211890000,"BU",NA,95,1985-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",118,1987-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
12828,"ME",NA,3.6,1996-08-01,"ME",NA,80.1,1991-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",13.9,1992-07-01,NA,NA,NA,NA,"PL",144,1993-05-01,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
12829,"ME",NA,56.4,1991-10-01,"ME",NA,5.6,1991-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",32.4,1992-07-01,NA,NA,NA,NA,"PL",36.7,1993-05-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
12883,"ME",NA,2.2,1991-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",2.2,1993-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
30490,"ME",NA,22.3,1994-09-01,"ME",NA,19.4,1993-11-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",76.7,1994-06-01,NA,NA,NA,NA,"PL",24.6,1993-07-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
30491,"BU",NA,73.5,1993-09-01,"ME",NA,4.2,1994-09-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",4.1,1998-06-01,NA,NA,NA,NA,"PL",73.6,1994-08-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
30492,"ME",NA,19.8,1994-09-01,"ME",NA,40.2,1993-09-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",39.1,1995-06-01,NA,NA,NA,NA,"PL",60.4,1994-06-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
30509,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",1,1995-06-01,NA,NA,NA,NA,"FP",1,1998-06-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
48739,"ME",NA,5.3,1996-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",26.9,1997-06-01,NA,NA,NA,NA,"PL",15.2,1997-08-01,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
48746,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",4.5,1997-06-01,NA,NA,NA,NA,"PL",1.5,1997-08-01,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
