OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANT_1_SP7,PLANT_1_NUM7,PLANT_1_SP8,PLANT_1_NUM8,PLANT_1_SP9,PLANT_1_NUM9,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_3_SP4,PLANT_3_NUM4,PLANT_3_SP5,PLANT_3_NUM5,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_4_SP3,PLANT_4_NUM3,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2,PLANT_7_Type,PLANT_7_Meth,PLANT_7_Area,PLANT_7_Date,PLANT_7_SP1,PLANT_7_NUM1,PLANT_7_SP2,PLANT_7_NUM2
-211890000,BU,BROAD,95,1985-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,118,1987-06-01,PLI,136000,SW,0,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12828,ME,MOUND,3.6,1996-08-01,ME,,80.1,1991-10-01,3,ME,,64.5,01-09-1991,NA,NA,NA,NA,,,,,PL,13.9,1992-07-01,SW,14140,NA,NA,,,,,,,,,,,,,,,PL,144,1993-05-01,PLI,186390,NA,NA,,,,,,,4,PL,PL,3.7,01-06-1997,SX,4080,NA,NA,,,,,,,PL,PL,10.6,01-08-1997,SX,12980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12829,ME,,56.4,1991-10-01,ME,,5.6,1991-09-01,3,ME,,6.1,01-09-1992,NA,NA,NA,NA,,,,,PL,32.4,1992-07-01,SW,47920,NA,NA,,,,,,,,,,,,,,,PL,36.7,1993-05-01,SW,23645,PLI,19825,,,,,,,3,PL,FP,6,01-06-2003,SX,8260,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12883,ME,,2.2,1991-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,2.2,1993-06-01,SW,2800,NA,NA,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30490,ME,DISC,22.3,1994-09-01,ME,DISC,19.4,1993-11-01,5,ME,MOUND,11.8,01-09-1994,ME,,119.1,01-09-1993,ME,,27.1,01-06-1993,PL,76.7,1994-06-01,PLI,46080,SX,90000,,,,,,,,,,,,,,,PL,24.6,1993-07-01,SW,20680,NA,NA,,,,,,,3,PL,PL,116.8,01-06-1995,SX,73346,PLI,54707,PLI,45820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30491,BU,BROAD,73.5,1993-09-01,ME,WINDR,4.2,1994-09-01,4,ME,MOUND,4.6,01-09-1994,ME,,10.7,01-10-1993,,,,,FP,4.1,1998-06-01,SX,2760,NA,NA,,,,,,,,,,,,,,,PL,73.6,1994-08-01,PLI,39260,SX,58735,,,,,,,3,PL,PL,9.5,01-06-1995,SX,9315,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30492,ME,DISC,19.8,1994-09-01,ME,,40.2,1993-09-01,4,ME,MOUND,7.8,01-09-1994,ME,DISC,2.8,01-07-1993,,,,,PL,39.1,1995-06-01,PLI,956,PLI,3911,SX,7921,SX,27880,,,,,,,,,,,PL,60.4,1994-06-01,SX,34020,SX,25830,SX,6315,SX,2160,,,3,PL,PL,21.8,01-07-1993,SW,33700,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30509,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,1,1995-06-01,PLI,880,FDI,880,,,,,,,,,,,,,,,FP,1,1998-06-01,SX,1410,NA,NA,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48739,ME,MOUND,5.3,1996-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,26.9,1997-06-01,PLI,21830,PLI,13947,,,,,,,,,,,,,,,PL,15.2,1997-08-01,SX,21310,NA,NA,,,,,,,4,PL,PL,0.3,01-06-1997,SX,550,NA,NA,,,,,,,PL,FP,16.2,01-06-2000,PLI,7050,SX,2820,,,,,,,,,,,,,,,,,,,,,,,,,,
48746,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,4.5,1997-06-01,PLI,5793,NA,NA,,,,,,,,,,,,,,,PL,1.5,1997-08-01,SX,15525,NA,NA,,,,,,,5,PL,PL,0.2,01-06-1997,SX,292,NA,NA,,,,,,,PL,FP,1.2,01-07-2000,SX,2520,,,,,PL,FP,16.1,15-10-2015,PLI,12650,,,,,,,,,,,,,,,,,,
