"FIRE_NUMBE","BURN_SEVER","FireSevArea","PlantAreaSev"
"K20637","High",16534,395
"K20637","Low",50687,912
"K20637","Medium",87027,682
"K20637","Unburned",37768,649
"C20735","High",2285,72
"C20735","Low",4144,68
"C20735","Medium",4979,62
"C20735","Unburned",1789,74
"C50647","High",9264,934
"C50647","Low",78020,1388
"C50647","Medium",93042,1221
"C50647","Unburned",58910,1420
"C50744","High",1084,5
"C50744","Low",7641,50
"C50744","Medium",10380,56
"C50744","Unburned",5852,57
"C20729","High",3053,73
"C20729","Low",3208,60
"C20729","Medium",5307,43
"C20729","Unburned",1135,29
"C10784","High",26339,1271
"C10784","Low",129205,2701
"C10784","Medium",219855,2100
"C10784","Unburned",145486,1998
"C10970","High",44,NA
"C10970","Low",7571,134
"C10970","Medium",4838,59
"C10970","Unburned",8236,53
"R11796","High",304,27
"R11796","Low",14383,290
"R11796","Medium",19788,178
"R11796","Unburned",15757,153
"R11498","High",7755,284
"R11498","Low",23309,848
"R11498","Medium",43915,372
"R11498","Unburned",17699,557
"G41607","High",1695,39
"G41607","Low",4211,131
"G41607","Medium",8476,39
"G41607","Unburned",6366,67
"G51632","High",202,NA
"G51632","Low",4026,88
"G51632","Medium",2562,50
"G51632","Unburned",3800,117
"R21721","High",15560,343
"R21721","Low",18366,1073
"R21721","Medium",27813,461
"R21721","Unburned",26323,440
"C11937","High",16,NA
"C11937","Low",5138,98
"C11937","Medium",2873,17
"C11937","Unburned",5396,15
"C12594","High",3609,NA
"C12594","Low",758,8
"C12594","Medium",5075,4
"C12594","Unburned",1089,11
"VA1964","High",9374,NA
"VA1964","Low",6849,NA
"VA1964","Medium",20778,NA
"VA1964","Unburned",7816,0
"VA1787","High",23530,NA
"VA1787","Low",9104,1
"VA1787","Medium",30888,1
"VA1787","Unburned",15872,NA
"R11921","High",146,8
"R11921","Low",6171,210
"R11921","Medium",7891,114
"R11921","Unburned",7149,128
