"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-75Con","SurIM-Con","SurM-50_50","SurM-75Con","SurY-Con","SurCrClos","SurBA","SurM-PineMix","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","SurM-Con","SurNA-NF","SurM-Pine","Sur-AgeCl-2","SurM-75Pine","Sur-AgeCl-4","Sur-AgeCl-3","Sur-AgeCl-5","SurIM-50_50","SurY-50_50","SurY-75Con","SurIM-Dec","SurM-Dec","TotArea","1922","1930","1941","1985","2009","2013","2014","2016","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
-633230000,27,0,0.0538653774455412,0.000107446668018221,0.946027175886441,0,20,80,24.5,3.75,76.25,0,24.75,76,18.275,14.696852,0.663405895233154,0,0,0,0,0,0,1,"CC",0.411970498537039,0.389304045837412,0.0260972618642267,0.0370081955010802,0.135619998260242,24.1666666666667,24.1666666666667,0.0260972618642267,0.036429855087676,0.0898724103170324,0.869980258908167,0.003717475687125,0.731015056371689,0.00532181480127505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122790.754536446,NA,NA,NA,NA,NA,NA,NA,NA,230,0.120138113727739,3.06958076924733,199.212241794752,0.624573251475459
-631790000,26,0,0,0.0483243772930209,0.142866988251148,0.808808634455831,1.875,98.125,62.625,0,98.125,0,21,61.25,11.9125,10.031115,0.18593142926693,0,1,1,0,0,1,1,"PC",NA,0.183859607380691,NA,NA,0.583682119853889,16.6428571428571,16.6428571428571,0.0681891671891527,NA,0.267071814990944,0.392625624398914,0.340302560610142,0.488968938589096,0.142379062300471,0.232457091527592,1.18123782692931e-06,0.033651496520596,0.561222283366311,NA,NA,NA,NA,NA,NA,NA,NA,NA,589345.633970734,NA,NA,NA,NA,NA,NA,NA,NA,226,0.0957609124377244,2.8067186366997,213.843441636515,0.567831660607993
-627790000,32,0,0.201324450615803,0.374659663817102,0.0997341980665687,0.324281687500527,0.714285714285714,99.2857142857143,24.2857142857143,4.28571428571429,95,0,38,70.8571428571429,15.6142857142857,16.4945041428571,0.269827574491501,1,0,1,0,0,1,1,"CC",NA,0.831410380998973,NA,NA,NA,32.1111111111111,32.1111111111111,NA,0.201406149883592,0.177881871030677,0.510677497863088,0.110034481222643,0.428302228450775,0.383795884727964,0.168589619001027,NA,NA,NA,0.0256412857913443,9.23055658517775e-07,NA,NA,NA,NA,NA,NA,NA,477579.334230949,NA,NA,NA,NA,NA,0.0584235842445507,NA,NA,224,0.085527374821416,4.573899330666,222.622951701536,0.608273286940688
-6.27e+08,27,0,0,0.381425170702951,0.606368357233733,0.0122064720633165,21,79,47,2,77,0,33.2,67.8,14.82,18.9710402,0.561403512954712,0,0,0,0,0,0,1,"CC",NA,0.0457386345981017,0.260780760954718,0.0507715510596495,0.397246420418741,28.625,28.625,0.24546263296879,NA,0.359654253822308,0.560621150138467,0.079724596039225,0.554819494485855,0.225069455963331,0.24546263296879,NA,NA,0.0829583303199617,NA,NA,NA,NA,NA,NA,NA,NA,NA,224924.099355653,NA,NA,NA,NA,NA,NA,NA,NA,230,0.089698509277087,3.01624262412964,202.92430518454,0.602547506286093
-626970000,42,0,0,0.456222149295899,0.0701910239218332,0.473586826782268,4.28571428571429,81.4285714285714,53.9285714285714,0.714285714285714,80,0.714285714285714,25.2142857142857,58.5,13.0071428571429,12.2352307142857,0.395060509443283,1,0,0,0,0,0,1,"CC",0.0277815369203285,0.111699723739695,NA,NA,0.42050170687516,23,23,0.157726593438038,NA,0.40380722698934,0.312307123666342,0.283885649344318,0.460597932338715,0.633016309768687,0.231111361340059,0.208905671124757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840752.535679391,NA,NA,NA,NA,NA,NA,NA,NA,229,0.0787337836732753,2.59452891807536,203.690351982806,0.583946092000803
-626640000,26,0,0,0.0678331508585834,0.151205523042595,0.780961326098821,2.5,85,70.25,3.125,81.875,0,36.25,72.5,16.5625,17.086460125,0.229131475090981,0,0,1,0,0,1,1,"CC",NA,0.792563667351567,NA,NA,NA,31,31,NA,NA,0.329306254162789,0.215032154937287,0.455661590899924,0.594377040863037,0.802570842083596,NA,0.207436332648433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224764.47233211,NA,NA,NA,NA,NA,NA,NA,NA,227,0.120824549656977,3.76148087290987,244.927644791142,0.654744627254625
-626130000,50,0,3.70241035816647e-05,0.406357513415265,0.474692464010467,0.118912998470686,8.54838709677419,91.4516129032258,65.0032258064516,0,91.4516129032258,0,27.6129032258065,47,11.7774193548387,10.8799067741935,0.667805731296539,1,0,0,0,0,1,1,"CC",NA,0.542756870785192,0.0215329282075541,NA,0.414776534549738,25.9714285714286,25.9714285714286,0.038600543188675,0.00553173411266089,0.346797032030646,0.361644878938718,0.286026354917975,0.506188988685608,NA,0.0209336664575165,NA,NA,0.0281806515420059,NA,NA,0.0345317069690413,NA,NA,NA,NA,NA,NA,2962807.12906401,NA,NA,NA,NA,NA,NA,NA,NA,229,0.0737322191983742,3.23482387376456,201.198882560039,0.602207656347885
-625870000,29,0,0.0161864947665547,0.00875830476900407,0.0485583205110933,0.926496879953348,0,90,40,15,75,0,48,99.7,17.61,21.4313658,0.116295784711838,0,0,1,1,0,1,1,"CC",NA,0.474718233651432,NA,NA,NA,43.5714285714286,43.5714285714286,0.350914904977333,0.206381847700129,0.0538790615783119,0.335747935189393,0.403991155532166,0.408315032720566,0.0820149446127451,0.405574163611078,0.11970760273749,NA,NA,0.0546592586337448,NA,NA,0.414524339406213,NA,NA,NA,NA,NA,588697.630959541,NA,NA,NA,NA,NA,NA,NA,NA,227,0.180064305002536,3.17817559741902,288.697964138455,0.672681060374418
-624430000,42,0,0,0.0577059042757954,0.10396266831357,0.838331427410634,3.33333333333333,96.6666666666667,72.5,0,87.5,9.16666666666667,23,37.8333333333333,8.55,9.1067785,0.262720733880997,1,0,1,0,0,0,1,"CC",NA,0.0248161069768978,NA,NA,0.789533832657543,23.9,23.9,0.185650060365559,NA,0.508696482552181,0.164577098177778,0.326726419270041,0.556994438171387,0.963210555821953,0.185650060365559,NA,NA,0.0097692253720126,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059309.10776792,NA,NA,NA,NA,NA,NA,NA,NA,229,0.113521655373032,1.68679312865792,211.258305396483,0.519291821382971
-623590000,42,0,0,0.0251906298882405,0.0660778819774952,0.908731488134264,13.75,86.25,43.125,0,74.375,11.875,35.375,88.875,20.0375,27.003521,0.200567871332169,1,0,1,0,0,0,1,"CC",NA,0.667499393739448,0.0468652969134415,NA,0.0168226601546131,31.6428571428571,31.6428571428571,0.108099148467815,NA,0.33025858407913,0.372580536073379,0.297160879847491,0.571231544017792,0.231825353432511,0.268812649192498,NA,0.160713500724683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321803.080726271,NA,NA,NA,NA,NA,NA,NA,NA,226,0.204149005146147,3.54861397973516,234.704540772872,0.705206313255158
-623550000,40,0,0,0.0370334424051872,0.0360306966050032,0.92693586098981,2.66666666666667,90.6666666666667,68.6666666666667,0.333333333333333,90.3333333333333,0,24.3333333333333,58.4666666666667,10.7933333333333,9.45004286666667,0.225637003779411,1,0,1,0,0,0,1,"CC",NA,0.013350881087233,NA,NA,0.635035930958276,23.5,23.5,0.145926467217637,NA,0.369347521539345,0.301527810381429,0.329124668079225,0.472100555896759,0.428460307355928,0.329307099280355,0.0223060886741363,0.103211947432592,0.227044858295898,0.0801686846301254,NA,NA,NA,NA,NA,NA,NA,NA,634562.980286578,NA,NA,NA,NA,NA,NA,NA,NA,226,0.0981151941031497,3.82256031413912,202.107851451998,0.618350383584536
-623490000,31,0,0.0384579230125021,0.0748120667315581,0.191705234510142,0.695024775745797,1.81818181818182,98.1818181818182,55.0909090909091,6.36363636363636,91.8181818181818,0,22.6363636363636,55.8181818181818,10.8,10.9473449090909,0.257131665945053,1,0,1,0,0,1,1,"CC",NA,0.171177650043671,NA,NA,0.432444165342468,22.0625,22.0625,0.396378184613861,0.0400877887006166,0.0490749539127318,0.902107068267898,0.00873018911875305,0.699159324169159,0.254370623022112,0.396378184613861,NA,NA,0.101582844449786,NA,NA,NA,NA,NA,NA,NA,NA,NA,433919.963788175,NA,NA,NA,NA,NA,NA,NA,NA,226,0.0941867433561039,2.35538401396742,216.8937696265,0.576030917603377
