"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
-585380000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-585350000,"BU",NA,5,1989-10-01,"ME",NA,5,1989-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",5,1990-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-585300000,"MA",NA,37,1989-03-01,"BU",NA,37,1989-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",36,1990-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-585290000,"MA",NA,3,1989-03-01,"ME",NA,3,1989-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",3,1990-05-01,NA,NA,NA,NA,"FP",3,1993-06-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-585200000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-585160000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584690000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584550000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",1.1,1995-05-27,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584540000,"GS",NA,1.1,1994-05-10,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",1.1,1995-05-27,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584520000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",1.6,1995-06-02,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584490000,"ME",NA,2.5,1994-10-15,"GS",NA,0.1,1994-05-10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",2.4,1995-05-26,NA,NA,NA,NA,"FP",2.7,2009-07-15,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-584480000,"GS",NA,0.3,1995-04-10,"ME",NA,7.5,1994-10-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",7.2,1995-05-26,NA,NA,NA,NA,"FP",7.9,2009-07-15,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-584380000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",7,1992-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584350000,"ME",NA,10,1993-09-01,"GS",NA,10.6,1993-05-15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",8.7,1994-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584340000,"ME",NA,8,1992-11-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",8,1993-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584330000,"ME",NA,5,1992-04-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",5,1993-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584320000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",19.2,1995-05-19,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584310000,"GS",NA,25.8,1994-05-15,"BU",NA,24.8,1994-10-20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",24.8,1995-05-24,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584300000,"ME",NA,15.9,1994-10-25,"GS",NA,15.9,1994-05-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",15.1,1995-05-24,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584290000,"ME",NA,18.8,1994-10-15,"BU",NA,25.5,1994-10-22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",32.2,1995-05-20,NA,NA,NA,NA,"PL",3.9,2003-06-15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-584270000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RP",1.6,2004-06-15,NA,NA,NA,NA,"PL",1.5,1993-06-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-584250000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",3,1993-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584240000,"GS",NA,0.2,1993-05-15,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",15.8,1995-05-26,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584230000,"GS",NA,17.3,1993-05-15,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",14.1,1995-05-06,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584220000,"ME",NA,43.5,1994-10-25,"GS",NA,47.3,1994-05-15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",45,1995-05-21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584200000,"BU",NA,8,1970-01-01,"MA",NA,8,1970-01-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584190000,"BU",NA,28,1970-01-01,"MA",NA,20,1970-01-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584180000,"ME",NA,21,1991-07-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",21,1992-05-01,NA,NA,NA,NA,"FP",14.9,1995-05-29,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-584170000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",12,1993-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584150000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584140000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-584110000,"ME",NA,13,1989-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",13,1990-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-584080000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",2,1991-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
