"OPENING_ID","OPENING_ID.1","PropResOverlap"
-667740000,90231,0.300021325202407
-164630000,1700461,0.627283289254107
-164460000,1700485,0.258049358402926
-158760000,6114,1
6743,1377279,0.361261723492246
20990,1666237,1
21172,21173,0.287625579819539
21173,21172,0.887646197299824
21175,82388,0.94594897911743
53738,6114,0.780585048122898
54890,1166752,0.693576902457831
54896,1309280,0.744605155743919
54900,1378684,0.301207872714701
69793,6743,0.627348609279296
69793,1377279,0.444472566012584
82388,21175,0.538415435497481
85508,57202,0.684450925302779
105446,45112,0.336743669102387
105925,-677980000,1
1006478,70738,0.313082659844714
1576441,85270,0.332986572933221
1660109,-158430000,0.833693205799447
1666237,20990,1
1686490,2923,0.303886829156925
1686496,2923,0.709639660098339
1700483,-164320000,0.33738447693456
1700485,-164460000,0.745124954062202
1700489,-164460000,1
108622,-11390000,0.488678999527892
119252,-11390000,0.386353313384094
121058,-10760000,0.987170983560385
-23430000,-14330000,0.26450398574594
-23410000,-14570000,0.42813630409132
-18840000,1469835,0.286127840783569
-18830000,1469835,0.30845196460807
-14330000,119140,0.262814136437478
31146,31147,0.931570530136141
31147,31146,0.68792066951677
119140,-14330000,0.949035767541454
1101054,9674,0.319549359115455
1101055,9672,0.714705186810975
1469831,-12010000,1
1469832,-12010000,1
1469836,-12010000,0.997879139024149
1469837,-12010000,0.351066529395266
1649179,-14070000,0.484446481468912
1649180,-11290000,0.918579942541247
1651111,-12010000,1
1670991,10074,0.789235269214206
1670993,10073,1
1672260,63379,0.992490560363667
75468,88702,0.515660319554074
88702,75468,0.932019049909726
95666,75147,0.497627308638736
92951,-42360000,1
1684075,-15210000,0.420706406025565
-478620000,8132,0.7085381430155
-478590000,87005,0.889157635361573
-478280000,1665071,0.810864413579519
-472820000,68294,0.294594615217426
-470760000,1247110,0.303543692357389
-469510000,85681,0.267858559594917
-467180000,1665082,0.571094555492032
-467150000,-465860000,0.999645639028605
-467120000,1179950,0.905847205927988
-465860000,-467150000,0.586897609625368
-464490000,7827,0.744013848204325
-460220000,1665159,0.298175211447936
-460180000,1665084,0.998182119773086
-460070000,1665085,0.55985809968706
-459980000,1646148,0.353034940832153
-456900000,1665088,0.708925345988579
-379160000,8976,0.383806964429182
-379130000,7048,0.954570883172006
-3.74e+08,8629,0.808597236702903
-373970000,8602,0.948150730690376
7048,-379130000,0.869520466165828
7106,6973,0.298913274189227
7475,7619,0.497900170282431
7814,1666729,0.869868659500066
7827,-464490000,0.81627197910673
7828,-464430000,1
7830,1526797,0.954601422064151
7839,57374,0.557816346346711
7844,-464330000,0.999892639240253
8132,-478620000,0.621865189026184
8602,-373970000,0.653488921561679
8615,84496,0.390149292830012
8629,-3.74e+08,0.546887043149745
8958,91416,0.440579395095689
8976,-379160000,0.938935403918247
9987,1053107,0.551134508726182
50905,89711,0.899549561606858
52520,52521,0.462022014282576
52521,52520,0.956417936994732
57374,7839,0.843922786507362
68294,-472820000,0.933193329736531
76883,79967,0.348882719921727
84496,8615,0.853606640989518
87005,-478590000,0.786734734789557
89711,50905,0.330763904235688
91201,-379280000,0.663005467005655
91416,8958,0.779246610604324
91433,1668885,0.252253117224042
1665071,-478280000,0.999188827105101
1665082,-467180000,1
1665084,-460180000,1
1665085,-460070000,0.978686980789262
1665086,-459990000,0.999999986576333
1665088,-456900000,1
1665098,7950,0.936941362425834
1665103,8556,1
1665159,-460220000,0.999998947484707
1669699,8926,0.463961756614984
1669705,8896,0.362713988690631
1664934,29270,0.995397101633256
-587230000,1168170,0.614653788594911
-587050000,1697448,0.302161334961157
-586870000,1656059,0.916937778885307
14701,14702,0.964266483059552
14702,14701,0.96871499992475
14720,-587590000,0.989464895680694
107003,1070398,1
118745,115756,0.784470034106695
1074382,-586500000,0.999161527418839
1156255,-586500000,1
1156261,-585690000,0.878859373507896
1156264,-586500000,0.499855233742342
1156266,-586500000,1
1156267,-586780000,0.2638215730939
1156268,-586500000,1
1168170,-587230000,0.25198031642242
1447272,-585690000,0.396744916638782
1656059,-586870000,0.894489210506869
1682423,-586500000,0.390687173400018
1682423,-586780000,0.58295264127418
1682424,-586500000,1
1682425,-586780000,0.943859315625994
1682426,-586780000,0.549150953504882
-578730000,-578570000,0.383264616017395
-578570000,-578730000,0.996083264374519
-577140000,1656064,1
14573,14577,0.996099026765252
14577,14573,0.254930827973054
81851,1047819,0.768567189227645
104798,-626130000,1
1572159,1672531,1
1656064,-577140000,1
1672531,1572159,1
1663668,30492,1
-584540000,1050692,0.560821766158906
-584490000,-583840000,0.365951380854073
-569920000,1070712,0.285670161197103
-513340000,1417510,0.993795905487343
-512750000,1658741,0.743520037182755
-512650000,1656066,1
-512030000,1669539,0.353842761662055
3790,1260822,0.305913224233914
3792,1663144,0.273360065632104
3794,-583900000,0.565505911044278
15614,1657040,0.363082897480023
15751,1656089,0.313532520785972
45219,-584310000,0.323583751128554
1050561,1069592,1
1065822,1050687,0.366159239502168
1071942,1456634,0.999990195134044
1240791,1065685,0.981147632434147
1279798,1255340,0.26062133057025
1417510,-513340000,0.500834452888104
1456678,-514250000,0.297004618646748
1656066,-512650000,1
1656089,15751,0.998127128020739
1657040,15614,0.926401066474636
1658741,-512750000,1
