"OPENING_ID","FireID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurNA-NF","SurCrClos","SurBA","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-2","Sur-AgeCl-5","Sur-AgeCl-3","SurIM-75Con","SurY-Con","SurM-Pine","SurM-PineMix","Sur-AgeCl-1","Sur-AgeCl-4","SurY-50_50","SurY-75Con","SurIM-50_50","SurM-75Con","SurM-75Pine","SurM-50_50","TotArea","1932","1958","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli","SurIM-Dec","SurM-Dec","1919","1920","1921","1922","1923","1924","1925","1928","1929","1930","1931","1937","1938","1940","1946","1947","1949","1950","1951","1953","1957","1959","1961","1963","1965","1967","1969","1970","1972","1973","1974","1980","1986","1998","2000","2007","2009","2010","2012","2013","2015","2016","1926","1956","1978","1979","1985","1987","1988","1990","1991","1995","1999","2006","2008","2011","2014","2018","2017","1941","SurY-Dec","1960","2002","1934","1936","1944","FireName","StartDate","OfficialEndDate","AnalysisEndDate","Total_Area","Burned_Percent","dNBR_sc","sur_dNBR_sc","PlantAgeCat","BroadBurn","Chemical","DebrisMade","DebrisPiled","GrassSeed","Landings","Layout","MechUnk","None","PileBurn","Soil","SpotBurn","Trail","WBurn","BroadBurn_Area","Chemical_Area","DebrisMade_Area","DebrisPiled_Area","GrassSeed_Area","Landings_Area","Layout_Area","MechUnk_Area","None_Area","PileBurn_Area","Soil_Area","SpotBurn_Area","Trail_Area","WBurn_Area","NoBurn","AnyBurn","PileNoBurn","DebrisMade_Burn","SoilDist_Burn"
-23060000,"C20735",21,0,0.00819864217281543,0.136401543504351,0.0809888733221787,0.774410941000655,0,77.7777777777778,33.3333333333333,0,11.1111111111111,44.4444444444444,15.7777777777778,39.6666666666667,9.06666666666667,6.51083444444444,0.0457307361066341,0,0,0,0,0,0,2,"CC",0.61142929001609,0.285411144432499,0.103159565551411,15.1818181818182,15.1818181818182,0.0582933551282325,0.391853067256541,0.379636693423194,0.170216884192032,0.12211149930954,0.0520282833041245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474782.058107302,NA,NA,198,0.072593297382432,3.33648676457094,214.171489299825,0.581429733600945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,45.7307361066341,122.11149930954,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-23020000,"C20735",26,0,0,0.71004986357124,0.0474228395883963,0.242527296840364,0,100,25,0,0,75,33.75,45.25,11.775,20.5367875,0.0434248261153698,1,0,0,0,0,0,2,"PC",1,NA,NA,33.75,33.75,0.00134971598751121,0.714318146905188,0.169371688500263,0.114960448607037,0.0662595555186272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94752.9410350472,NA,NA,198,0.0451447938657587,1.99081974570595,223.846010870683,0.574878289586022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,43.4248261153698,66.2595555186272,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-23010000,"C20735",26,0,0.115307259234584,0.591469660318445,0.15317011177725,0.14005296866972,5.66666666666667,94.3333333333333,0,0,0,94.3333333333333,45,55.3333333333333,13.0666666666667,28.7070873333333,0.0884285271167755,1,0,0,0,0,0,2,"PC",1,NA,NA,43.75,43.75,0.177640916534864,0.368282140441843,0.367758346005212,0.0863185970180814,0.0846248939633369,NA,0.0797559197820488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110183.285034933,NA,NA,198,0.117616834463317,2.53917974383891,221.111350484414,0.569797094128713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,88.4285271167755,84.6248939633369,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-2.3e+07,"C20735",19,0,0.00740522562608322,0.0415771981072821,0.152717375880052,0.798300200386583,0,100,76,0,36,24,12.2,29,8.18,2.28144,0.0573057103902102,0,0,1,0,0,1,2,"PC",0.977918270523083,NA,0.0220817294769175,11.5714285714286,11.5714285714286,0.104150213480471,0.290429704668286,0.4734202616998,0.131999820151443,0.192521564662457,NA,NA,0.101328494701742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144664.968634238,NA,NA,198,0.0573250628454844,2.74036742346361,212.787710571289,0.581227475591004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,57.3057103902102,192.521564662457,2,"0","0","0","0","0","0","0","0","1","0","1","0","0","0",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,"1","0","0","0","0"
-22660000,"C20735",28,0,0.150399950484894,0.404791252295819,0.0946615828401708,0.350147214379116,0,83.3333333333333,4.83333333333333,0,0,78.5,30,50.5,11.7333333333333,14.0067668333333,0.0511744134128094,1,0,0,0,0,0,2,"PC",0.998553340082361,NA,0.00144665991763866,33.75,33.75,0.0502328668806605,0.400906298744679,0.54710865526796,0.00175217910670072,0.1172787360847,NA,0.998542239265035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262171.886947364,NA,NA,198,0.0987395518786299,3.0941443521185,219.223182991759,0.593858746326949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,51.1744134128094,117.2787360847,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-21990000,"C20735",25,0,0.237251088689546,0.0354148603330448,0.727136077923371,0.000197973054038329,9.5625,77.9375,17.1875,0,15.625,53.875,35.6875,62.0625,12.9625,15.6248719375,0.343172430992126,0,0,0,0,0,1,2,"CC",0.660217081740423,0.0633750643224977,0.151675176226621,34.1818181818182,34.1818181818182,0.24264336352443,0.0850513252953252,0.655289998061739,0.0170153131185059,0.323904633522034,0.0536881375827545,NA,NA,0.083954925268756,0.040777752441702,0.00738673836467285,0.0131530632386861,0.00163801760223918,0.13720820437992,NA,NA,NA,NA,NA,NA,973599.76070204,NA,NA,196,0.0650653056305654,4.03196880210519,205.062776175652,0.597176091721484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,343.172430992126,323.904633522034,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-19460000,"C20735",34,0,0,0.646204955288729,0.190086697030623,0.163708347680648,8.57142857142857,48.5714285714286,5.71428571428571,0,1.42857142857143,41.4285714285714,26.4285714285714,49,9.42857142857143,13.3533057142857,0.0467697605490685,1,0,0,0,0,0,1,"CC",0.384750192743952,0.357854276489719,0.208474501263867,29.5454545454545,29.5454545454545,NA,0.460642720070032,0.424584688135186,0.114772591794782,0.0735274069011211,NA,0.0923472029649619,NA,0.0489210295024619,NA,NA,NA,NA,0.475001150017355,NA,NA,NA,NA,NA,NA,884891.92583907,NA,NA,189,0.0631725877324164,3.61245880068252,227.752198515065,0.595258858760279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,46.7697605490685,73.5274069011211,4,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-18820000,"C20735",26,0,0.0180112389125419,0.275035745971993,0.0372073357619692,0.669745679353495,0,86.6666666666667,12.6,0,5.93333333333333,74.0666666666667,28.7333333333333,52,12.1066666666667,16.4342768666667,0.069160807877779,1,0,1,0,0,1,1,"CC",0.817159039308686,0.101061998850231,0.0784918723877617,28.7142857142857,28.7142857142857,0.0760396378765604,0.337718336574456,0.356956011717713,0.229286013831271,0.109855126589537,0.0436264264073861,0.213213566372803,NA,NA,0.00328708945332114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954691.8734493,NA,NA,198,0.0899436538519571,2.75961369011575,214.947149199881,0.575602801584881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,69.160807877779,109.855126589537,3,"0","0","0","0","0","0","0","0","1","0","0","0","1","0",0,0,0,0,0,0,0,0,0,0,0,0,17,0,"1","0","0","0","0"
-18410000,"C20735",29,0,0.967528954647252,0,0.0324710453527477,0,0,100,0,0,0,100,49.1666666666667,85.8333333333333,17.3333333333333,26.3122416666667,0.364634945988655,1,0,0,0,0,0,1,"CC",0.883344444694924,0.0929249838620946,NA,51.25,51.25,0.916043594306081,NA,0.0839564056939193,NA,0.351472616195679,NA,NA,NA,0.023730571442981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327321.765101433,0.0256085658196074,NA,197,0.142930591156363,4.45954315562072,230.913192834268,0.668318932449351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,364.634945988655,351.472616195679,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-14190000,"C20735",34,0,0.0254620552380061,0.407946140470367,0.421316502824009,0.145275301467618,3.125,96.875,8.75,0,3.125,87.5,35.125,77.875,14.05,13.507571125,0.121289364993572,1,0,0,0,0,0,1,"CC",0.554146565586212,0.419950861116803,0.0216123263674439,28.9285714285714,28.9285714285714,0.00581447114911026,0.488720137354872,0.485897121166908,0.0195682703291094,0.120083335787058,0.0863860985513208,0.00423363224419932,NA,NA,0.00429024692954056,NA,NA,0.00426598209497896,0.315241225526244,NA,NA,NA,NA,NA,NA,563621.215555429,NA,NA,196,0.0359791756961758,2.53797517660387,221.922437140539,0.575786409408184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lake","07/07/2017","11/06/2018","31/10/2017","13,212",79.9,121.289364993572,120.083335787058,4,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
